"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014761","1948","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    111.7","","     111.7","0","       159","0","        97","0","        10","0","       70","","        16","0","        18","0","       169","0","        61","0","       123","0","         3","0","       155"," ","","","        41"," ","  -32.8","0,0119, ","   381"," ,0,0125, ","   246"," ,0,0124, ","  53.1"," ,0,0619, ","   33.3","0,0828,+","-1.7","0,0901","-3.9","0,0922","-4.4","0,1018","-8.9","0,1019","-8.9","0,1019","0.0","0,0617","-2.2","0,0606","-6.1","X,0410","-8.3","X,0404","-12.8","X,0329","","","","","   1200.5"," ,0","     1424"," ,0","      7.01","0","     13.37","0","      0.66","0"
"USW00014761","1949","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    181.6","","     181.6","0","       155","0","        83","0","         4","0","       58","","        13","0","         4","0","       179","0","        37","0","       125","0","         4","0","       205"," ","","","        31"," ","  -25.0","0,0203, ","   203"," ,0,0104,+","    76"," ,0,0101, ","  41.4"," ,0,0706, ","   32.2","0,0811,+","-0.6","0,0820","-2.2","0,0902","-6.1","0,1027","-7.8","0,1102","-10.6","0,1122","-1.1","0,0609","-3.9","0,0530","-6.1","0,0417","-8.9","0,0405","-8.9","0,0405","    3824.2","2","    3824.2","0","    893.9"," ,0","      508"," ,0","      8.22","0","     14.55","0","      1.89","0"
"USW00014761","1950","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","     82.0","","      82.0","0","       173","0","        97","0","        11","0","       75","","        16","0","        10","0","       165","0","        55","0","       110","0","         0","0","       229"," ","","","        36"," ","  -26.1","0,1227, ","   483"," ,0,0324, ","   272"," ,0,0323, ","  77.2"," ,0,1125, ","   31.7","0,0817, ","-0.6","0,0918","-4.4","0,1005","-4.4","0,1005","-8.3","0,1112","-8.9","0,1113","-1.1","0,0521","-4.4","0,0508","-4.4","0,0508","-6.7","0,0421","-11.7","0,0414","    3991.8","8","    3991.8","0","   1197.2"," ,0","     1902"," ,0","      6.86","0","     12.50","0","      1.22","0"
"USW00014761","1951","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    112.9","","     112.9","0","       145","0","        86","0","         7","0","       79","","        14","0","        12","0","       164","0","        54","0","       119","0","         0","0","       208"," ","","","        37"," ","  -25.0","0,0203, ","   610"," ,0,1228,+","   259"," ,0,1218, ","  64.3"," ,0,0613, ","   31.1","0,0830, ","-0.6","0,0805","-2.2","0,0929","-4.4","0,0930","-7.2","0,1013","-11.1","0,1103","-2.8","0,0514","-2.8","0,0514","-4.4","0,0420","-9.4","0,0327","-9.4","0,0327","    4177.7","7","    4177.7","0","    970.2"," ,0","     1254"," ,0","      7.37","0","     13.36","0","      1.39","0"
"USW00014761","1952","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    182.2","","     182.2","0","       140","0","        87","0","        13","0","       55","","        13","0","         4","0","       165","0","        44","0","       111","0","        11","0","       212"," ","","","        34"," ","  -18.3","0,0130, ","   203"," ,0,0309,+","   191"," ,0,0319, ","  66.3"," ,0,0915, ","   33.3","0,0626, ","0.0","0,0823","-3.9","0,1004","-6.7","0,1008","-6.7","0,1008","-12.2","0,1111","0.0","0,0613","-2.2","0,0509","-5.6","0,0404","-6.7","0,0330","-10.6","0,0315","    4056.2","2","    4056.2","0","   1194.4"," ,0","     1071"," ,0","      7.83","0","     13.67","0","      2.00","0"
"USW00014761","1953","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    151.4","","     151.4","0","       142","0","        87","0","         6","0","","","","","         1","0","       160","0","        38","0","       130","0","         5","0","        74"," ","","","         5"," ","  -17.8","0,0202, ","","","","","  94.7"," ,0,0526, ","   35.0","0,0902, ","-0.6","0,0909","-5.0","0,1008","-5.0","0,1008","-9.4","0,1106","-9.4","0,1106","-2.2","0,0529","-2.2","0,0529","-5.0","0,0419","-10.0","0,0309","-10.0","0,0309","    3864.0","0","    3864.0","0","   1046.3"," ,0","","","      8.45","0","     14.39","0","      2.50","0"
"USW00014761","1954","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    138.2","","     138.2","0","       165","0","        96","0","         7","0","       68","","        20","0","         5","0","       164","0","        47","0","       123","0","         3","0","","","","","","","  -24.4","0,0118, ","   330"," ,0,1218, ","   122"," ,0,1215, ","  65.8"," ,0,1015, ","   33.3","0,0714, ","0.0","0,0913","-5.0","0,1007","-5.0","0,1007","-10.0","0,1106","-10.0","0,1106","-1.1","0,0523","-2.8","0,0509","-6.7","0,0409","-6.7","0,0409","-11.7","0,0404","    3788.3","3","    3788.3","0","   1101.6"," ,0","     1249"," ,0","      7.76","0","     13.59","0","      1.94","0"
"USW00014761","1955","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    223.5","","     223.5","0","       138","0","        72","0","        10","0","       73","","        16","0","        16","0","       157","0","        62","0","       128","0","         9","0","       202"," ","","","        37"," ","  -23.3","0,0205, ","   381"," ,0,0212, ","   269"," ,0,0211, ","  95.0"," ,0,1014, ","   33.9","0,0805,+","-1.1","0,0908","-2.2","0,0926","-5.6","0,1031","-8.3","0,1106","-15.0","0,1128","0.0","0,0520","-3.3","0,0507","-6.1","0,0408","-7.2","0,0331","-9.4","0,0328","    3960.5","5","    3960.5","0","   1062.3"," ,0","     1235"," ,0","      7.78","0","     13.92","0","      1.63","0"
"USW00014761","1956","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    112.0","","     112.0","0","       201","0","       118","0","         9","0","      100","","        23","0","         4","0","       169","0","        54","0","       104","0","         0","0","","","","","","","  -18.9","0,0321,+","   254"," ,0,0320,+","   178"," ,0,0316, ","  61.2"," ,0,0805, ","   31.7","0,0614,+","0.0","0,0909","-2.2","0,0910","-8.3","0,1011","-8.3","0,1011","-9.4","0,1110","-5.6","0,0525","-5.6","0,0525","-5.6","0,0525","-8.9","0,0425","-8.9","0,0425","    4217.3","3","    4217.3","0","   1402.5"," ,0","     1475"," ,0","      7.31","0","     12.88","0","      1.74","0"
"USW00014761","1957","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    131.8","","     131.8","0","       148","0","        81","0","         6","0","       68","","        18","0","         8","0","       173","0","        46","0","       130","0","         3","0","","","","","","","  -26.7","0,0117,+","   254"," ,0,0405,+","   279"," ,0,0404, ","  50.8"," ,0,0628, ","   33.3","0,0721, ","0.0","0,0906","-7.2","0,0927","-7.2","0,0927","-7.2","0,0927","-9.4","0,1112","-1.1","0,0529","-2.2","0,0505","-5.6","0,0504","-7.2","0,0413","-11.1","0,0331","    3871.2","2","    3871.2","0","    965.1"," ,0","     1601"," ,0","      7.64","0","     13.55","0","      1.73","0"
"USW00014761","1958","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    120.1","","     120.1","0","       168","0","        96","0","         7","0","      100","","        21","0","        19","0","       169","0","        75","0","       102","0","         0","0","","","","","","","  -27.2","0,1211, ","   432"," ,0,0326, ","   254"," ,0,0125, ","  44.5"," ,0,0904, ","   30.6","0,0704, ","0.0","0,0909","-2.2","0,0929","-4.4","0,1002","-7.8","0,1006","-8.9","0,1123","0.0","0,0615","-2.2","0,0607","-4.4","0,0410","-9.4","0,0409","-9.4","0,0409","    4359.2","2","    4359.2","0","   1132.9"," ,0","     1805"," ,0","      6.24","0","     11.80","0","      0.69","0"
"USW00014761","1959","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    222.9","","     222.9","0","       167","0","        97","0","         6","0","       61","","        19","0","         9","0","       166","0","        46","0","       135","0","         0","0","","","","","","","  -22.2","0,1223,+","   432"," ,0,0314, ","   165"," ,0,0116, ","  52.3"," ,0,1024, ","   31.1","0,0815,+","-3.9","0,0917","-3.9","0,0917","-5.6","0,1029","-7.8","0,1107","-11.1","0,1108","-2.8","0,0525","-2.8","0,0525","-5.6","0,0414","-10.6","0,0413","-10.6","0,0413","    4244.7","7","    4244.7","0","   1085.8"," ,0","     1191"," ,0","      7.92","0","     13.68","0","      2.16","0"
"USW00014761","1960","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    103.9","","     103.9","0","       164","0","        78","0","         8","0","","","","","        14","0","       172","0","        80","0","       118","0","         0","0","","","","","","","  -27.2","0,1228, ","","","","","  48.8"," ,0,0508, ","   30.0","0,0901,+","-1.1","0,1001","-2.2","0,1022","-8.3","0,1107","-8.3","0,1107","-10.6","0,1108","0.0","0,0525","-4.4","0,0502","-4.4","0,0502","-14.4","0,0326","-14.4","0,0326","    4112.9","9","    4112.9","0","   1031.9"," ,0","","","      6.77","0","     12.42","0","      1.13","0"
"USW00014761","1961","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    164.5","","     164.5","0","       161","0","        86","0","         2","0","       86","","","","        10","0","       165","0","        55","0","       115","0","         0","0","","","","","","","  -28.9","0,0202, ","   864"," ,0,0214,+","","","  46.5"," ,0,0802, ","   30.0","0,0723,+","-1.1","0,0917","-4.4","0,1023","-4.4","0,1023","-6.7","0,1110","-11.7","0,1213","-1.1","0,0616","-4.4","0,0505","-4.4","0,0505","-7.2","0,0420","-8.9","0,0331","    4298.3","3","    4298.3","0","    922.9"," ,0","","","      7.43","0","     12.83","0","      2.03","0"
"USW00014761","1962","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","     96.9","","      96.9","0","       143","0","        72","0","         4","0","      100","","","","        16","0","       175","0","        62","0","       116","0","         0","0","       109"," ","","","         8"," ","  -25.6","0,0211, ","   381"," ,0,0307, ","","","  46.7"," ,0,0927, ","   31.1","0,0806,+","-1.7","0,0907","-3.9","0,1024","-4.4","0,1025","-8.3","0,1107","-12.2","0,1126","-5.6","0,0510","-5.6","0,0510","-5.6","0,0510","-7.2","0,0417","-9.4","0,0404","    3971.4","4","    3971.4","0","    725.0"," ,0","","","      6.55","0","     12.33","0","      0.76","0"
"USW00014761","1963","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","     91.9","","      91.9","0","       127","0","        56","0","         4","0","","","        15","0","        29","0","       178","0","        69","0","       123","0","         1","0","       221"," ","","","        33"," ","  -31.7","0,0129, ","","","   152"," ,0,1223, ","  48.8"," ,0,1107, ","   32.2","0,0701, ","-0.6","0,0913","-3.9","0,0923","-4.4","0,0924","-6.7","0,1005","-12.2","0,1206","-5.0","0,0524","-5.0","0,0524","-5.0","0,0524","-6.7","0,0416","-10.0","0,0315","    4542.9","9","    4542.9","0","    676.6"," ,0","     1397"," ,0","      6.32","0","     12.56","0","      0.07","0"
"USW00014761","1964","40.9","-78.08333","591.9","PHILIPSBURG MID STATE AIRPORT, PA US","    132.3","","     132.3","0","       131","0","        70","0","         6","0","       73","","        13","0","         6","0","       163","0","        57","0","       112","0","         0","0","       198"," ","","","        35"," ","  -25.0","0,0225, ","   559"," ,0,0116,+","   330"," ,0,0113, ","  60.2"," ,0,0803, ","   31.7","0,0910,+","-2.2","0,0913","-2.2","0,0913","-5.0","0,0914","-7.2","X,1007","-10.6","0,1121","-1.1","0,0605","-4.4","0,0416","-4.4","0,0416","-8.3","0,0405","-9.4","0,0404","    4275.0","0","    4275.0","0","    814.9"," ,0","     1559"," ,0","      7.24","0","     13.19","0","      1.30","0"
