"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00464840","1996","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    410.0","","     410.0","0","       162","0","        95","0","        16","0","       49","","        11","0","         5","0","       141","0","        30","0","       161","0","        21","0","       107"," ","        46"," ","  -18.9","0,0206,+","   737"," ,0,0113, ","   381"," ,0,0108, "," 130.0"," ,0,0907, ","   37.2","0,0520, ","-1.1","0,1004","-2.2","0,1012","-4.4","0,1105","-10.0","0,1115","-10.0","0,1115","-1.1","0,0515","-2.2","0,0514","-6.7","0,0409","-6.7","0,0409","-8.9","0,0313","","","","","   1444.8"," ,0","     1277"," ,0","     10.45","0","     16.82","0","      4.08","0","","","",""
"USC00464840","1997","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    338.1","","     338.1","0","       135","0","        71","0","         8","0","       40","","        10","0","         2","0","       135","0","        12","0","       154","0","        25","0","        89"," ","        22"," ","  -17.8","0,0120,+","   330"," ,0,1230, ","   330"," ,0,1230, ","  49.5"," ,0,0929, ","   36.7","0,0817,+","-0.6","0,1016","-6.1","0,1023","-6.1","0,1023","-9.4","0,1118","-9.4","0,1118","-0.6","0,0422","-3.3","0,0421","-6.1","0,0411","-8.3","0,0217","-8.9","0,0216","    3121.1","1","    3121.1","0","    960.0"," ,0","      889"," ,0","     10.67","0","     17.53","0","      3.80","0","","","",""
"USC00464840","1998","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    523.0","","     523.0","0","       152","0","        82","0","        10","0","","","         7","0","         0","0","       112","0","         6","0","       179","0","        42","0","        95"," ","        35"," ","  -17.2","0,0102, ","","","   206"," ,0,0205, ","  47.5"," ,0,0205, ","   36.1","0,0915,+","0.0","0,1030","-6.7","0,1105","-6.7","0,1105","-6.7","0,1105","-11.1","0,1223","0.0","0,0429","-2.2","0,0413","-5.6","0,0325","-7.8","0,0314","-8.9","0,0313","    2816.7","7","    2816.7","0","   1051.5"," ,0","      746"," ,0","     12.65","0","     19.49","0","      5.80","0","","","",""
"USC00464840","1999","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    495.5","","     495.5","0","       138","0","        70","0","         4","0","       36","","        11","0","         1","0","       121","0","        19","0","       178","0","        55","0","        84"," ","        28"," ","  -20.6","0,0106, ","   406"," ,0,0315, ","   320"," ,0,0315, ","  38.6"," ,0,0315, ","   39.4","0,0814,+","-1.1","0,1015","-2.8","0,1105","-7.2","0,1118","-7.2","0,1118","-10.0","0,1201","-0.6","0,0427","-2.8","0,0401","-6.1","0,0328","-7.8","0,0313","-12.8","0,0309","    2845.9","9","    2845.9","0","    867.4"," ,0","     1250"," ,0","     11.69","0","     19.11","0","      4.27","0","","","",""
"USC00464840","2000","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    453.6","","     453.6","0","       140","0","        73","0","         5","0","       37","","         8","0","         0","0","       129","0","        29","0","       176","0","        25","0","       103"," ","        35"," ","  -15.0","0,0130, ","   152"," ,0,0131, ","   117"," ,0,0131, ","  63.0"," ,0,0807, ","   35.6","0,0612,+","0.0","0,1008","-4.4","0,1106","-4.4","0,1106","-9.4","0,1120","-9.4","0,1120","-1.1","0,0415","-3.9","0,0414","-4.4","0,0413","-7.8","0,0319","-8.9","0,0318","    2735.2","2","    2735.2","0","    868.9"," ,0","      496"," ,0","     11.23","0","     18.04","0","      4.43","0","","","",""
"USC00464840","2001","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    423.4","","     423.4","0","       134","0","        61","0","         8","0","       20","","         3","0","         0","0","       130","0","        11","0","       180","0","        29","0","       106"," ","        33"," ","  -13.3","0,0124,+","   127"," ,0,0223, ","   140"," ,0,0223, ","  57.9"," ,0,0727, ","   36.1","0,0810,+","-4.4","0,1008","-4.4","0,1008","-4.4","0,1008","-8.3","0,1222","-8.9","0,1230","-1.1","0,0430","-2.2","0,0420","-8.9","0,0329","-8.9","0,0329","-8.9","0,0329","    3207.6","6","    3207.6","0","    828.4"," ,0","      413"," ,0","     11.68","0","     18.90","0","      4.46","0","","","",""
"USC00464840","2002","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    617.7","","     617.7","0","       149","0","        78","0","        10","0","       29","","        10","0","         0","0","       125","0","        11","0","       173","0","        59","0","        95"," ","        42"," ","  -16.7","0,1208,+","   203"," ,0,1206, ","   155"," ,0,1205, ","  50.3"," ,0,0502, ","   37.2","0,0709,+","-0.6","0,1018","-2.2","0,1103","-6.1","0,1128","-7.8","0,1203","-13.9","0,1204","-1.7","0,0523","-6.7","0,0408","-6.7","0,0408","-6.7","0,0408","-11.7","0,0305","    2601.7","7","    2601.7","0","   1089.1"," ,0","      821"," ,0","     12.34","0","     19.32","0","      5.37","0","","","",""
"USC00464840","2003","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    433.6","","     433.6","0","       183","0","       105","0","        16","0","       70","","        15","0","         0","0","       123","0","        23","0","       162","0","        22","0","       127"," ","        37"," ","  -16.1","0,0122, ","   787"," ,0,0217, ","   495"," ,0,0217, ","  75.4"," ,0,0919, ","   35.0","0,0626, ","-3.9","0,1003","-3.9","0,1003","-6.7","0,1024","-6.7","0,1024","-11.1","0,1216","-1.1","0,0402","-2.2","0,0401","-5.6","0,0312","-7.8","0,0311","-11.1","0,0304","    3131.2","2","    3131.2","0","   1471.7"," ,0","     1710"," ,0","     11.04","0","     17.15","0","      4.92","0","","","",""
"USC00464840","2004","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    499.9","","     499.9","0","       153","0","        87","0","         7","0","       45","","        10","0","         2","0","       110","0","        24","0","       176","0","        30","0","        94"," ","        28"," ","  -19.4","0,0126,+","   432"," ,0,0204, ","   188"," ,0,0124, "," 110.0"," ,0,0909, ","   35.6","0,0830,+","-1.1","0,1018","-3.3","0,1109","-5.0","0,1110","-10.0","0,1216","-10.0","0,1216","-1.1","0,0417","-2.2","0,0407","-4.4","0,0325","-6.7","0,0324","-11.1","0,0219","    2960.9","9","    2960.9","0","   1071.7"," ,0","      983"," ,0","     11.79","0","     18.44","0","      5.15","0","","","",""
"USC00464840","2005","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    587.6","","     587.6","0","       146","0","        74","0","         8","0","       39","","         8","0","         0","0","       124","0","        24","0","       173","0","        47","0","        98"," ","        35"," ","  -16.7","0,1214, ","   254"," ,0,0301, ","   188"," ,0,1209, ","  43.4"," ,0,0708, ","   36.7","0,0805, ","-1.1","0,1027","-3.3","0,1112","-7.2","0,1118","-7.2","0,1118","-10.6","0,1125","-0.6","0,0506","-2.8","0,0417","-5.6","0,0323","-7.8","0,0311","-11.1","0,0305","    2897.6","6","    2897.6","0","    960.1"," ,0","     1004"," ,0","     11.72","0","     18.49","0","      4.95","0","","","",""
"USC00464840","2006","39.42127","-79.00513","294.1","KEYSER 2 SSW, WV US","","","    496.4","","     496.4","0","       149","0","        77","0","         9","0","        6","","         1","0","         0","0","       124","0","         5","0","       172","0","        48","0","        63"," ","        30"," ","  -15.0","0,0220,+","   152"," ,0,0212, ","   142"," ,0,0212, ","  56.4"," ,0,0515, ","   38.3","0,0804, ","0.0","0,1014","-3.3","0,1015","-8.9","0,1104","-8.9","0,1104","-8.9","0,1104","0.0","0,0430","-2.2","0,0328","-4.4","0,0322","-8.3","0,0227","-15.0","0,0220","    2792.4","4","    2792.4","0","    903.9"," ,0","      249"," ,0","     12.19","0","     19.25","0","      5.12","0","","","",""
