"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00086316","1975","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    911.0"," ,a"
"ASN00086316","1981","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    765.7"," ,a"
"ASN00086316","1983","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    859.0"," ,a"
"ASN00086316","1988","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    774.9"," ,a"
"ASN00086316","1989","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    930.4"," ,a"
"ASN00086316","1990","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    834.7"," ,a"
"ASN00086316","1991","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    998.0"," ,a"
"ASN00086316","1993","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    973.0"," ,a"
"ASN00086316","1994","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    602.9"," ,a"
"ASN00086316","1995","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","   1041.8"," ,a"
"ASN00086316","1998","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    809.2"," ,a"
"ASN00086316","1999","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    759.4"," ,a"
"ASN00086316","2001","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    745.2"," ,a"
"ASN00086316","2003","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    812.0"," ,a"
"ASN00086316","2006","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    583.1"," ,a"
"ASN00086316","2013","-37.8587","145.1847","105.0","VERMONT TRANSPORT RESEARCH, AS","    806.6"," ,a"
