"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYTS","DYTS_ATTRIBUTES"
"USC00293042","1948","35.7","-106.95","1983.0","ESPIRITU SANTO GRANT, NM US","        16"," "
"USC00293042","1960","35.7","-106.95","1983.0","ESPIRITU SANTO GRANT, NM US","        26"," "
