"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205991","1954","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205991","1955","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","","","","","","","","","        67","0","       110","0","        14","0","         9"," ","         1"," ","","","   35.6","0,0819, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     13.02","0","",""
"USC00205991","1956","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205991","1957","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","","","","","","","","","        48","0","        78","0","         0","0","         9"," ","         3"," ","","","   30.0","0,0801,+","","","","","","","","","","","","","","","","","","","","","","","","","","","     11.56","0","",""
"USC00205991","1958","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","    107.6","","     107.6","0","         3","0","       147","0","        62","0","        80","0","         0","0","        10"," ","","","  -20.0","0,0213, ","   29.4","0,0803,+","-1.1","0,1006","-7.2","0,1126","-7.2","0,1126","-7.2","0,1126","-12.8","0,1129","0.0","0,0606","-2.2","0,0506","-4.4","0,0410","-7.2","0,0409","-13.9","0,0220","    4032.7","7","    4032.7","0","      6.99","0","     11.24","0","      2.74","0"
"USC00205991","1959","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","","","","","","","","","","","","","","","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205991","1960","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","     86.0","","      86.0","0","         0","0","       140","0","        80","0","        75","0","         0","0","","","","","  -14.4","0,0302, ","   30.6","0,0831, ","-2.2","0,1025","-2.2","0,1025","-8.9","0,1208","-8.9","0,1208","-8.9","0,1208","0.0","0,0513","-2.8","0,0419","-4.4","0,0406","-6.7","0,0326","-11.1","0,0325","","","","","      7.09","0","     11.13","0","      3.05","0"
"USC00205991","1961","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","    173.5","","     173.5","0","         0","0","       145","0","        50","0","       103","0","         0","0","","","","","  -17.2","0,0202, ","   29.4","0,0808, ","-1.7","0,1108","-3.9","0,1120","-5.0","0,1207","-6.7","0,1208","-8.9","0,1213","0.0","0,0522","-3.9","0,0510","-4.4","0,0501","-11.7","0,0317","-11.7","0,0317","    4016.8","8","    4016.8","0","      7.59","0","     11.72","0","      3.45","0"
"USC00205991","1962","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","    105.5","","     105.5","0","        11","0","       151","0","        68","0","       107","0","         0","0","","","","","  -26.7","0,0302, ","   31.7","0,0828, ","-1.7","0,1025","-2.8","0,1106","-4.4","0,1123","-11.1","0,1210","-11.1","0,1210","-1.7","0,0509","-2.8","0,0420","-4.4","0,0414","-6.7","0,0403","-12.2","0,0305","    4139.0","0","    4139.0","0","      7.01","0","     11.44","0","      2.57","0"
"USC00205991","1963","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","    142.3","","     142.3","0","        12","0","       144","0","        75","0","       108","0","         1","0","","","","","  -25.6","0,0226, ","   32.2","0,0701, ","-1.7","0,1103","-5.0","0,1130","-5.0","0,1130","-7.8","0,1202","-11.1","0,1203","-3.9","0,0523","-3.9","0,0523","-6.7","0,0421","-6.7","0,0421","-11.1","0,0321","    4332.5","5","    4332.5","0","      6.95","0","     11.64","0","      2.26","0"
"USC00205991","1964","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","    173.8","","     173.8","0","         0","0","       147","0","        42","0","        94","0","         3","0","","","","","  -16.1","0,0227, ","   33.9","0,0724, ","0.0","0,1006","-3.9","0,1007","-6.1","6,1120","-8.3","6,1121","-8.9","0,1205","-0.6","6,0424","-2.8","6,0410","-5.0","6,0405","-10.0","6,0404","-10.0","6,0404","    3733.5","5","    3733.5","0","      8.00","0","     12.85","0","      3.16","0"
"USC00205991","1965","45.11667","-85.98333","180.1","NORTH MANITOU ISLAND 2, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4056.7","7","    4056.7","0","","","","","",""
