"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00113694","2013","53.6142","4.9603","0.0","L9 FF 1, NL","     26.1","","      26.1","E","         0","E","        32","E","         3","E","        12","E","         0","E","   -3.2","E,0311, ","   25.7","E,0905, ","","","-0.3","E,0329","-2.4","E,0324","","","    3208.3","3","    3208.3","E","      9.79","E","     11.29","E","      8.29","E"
"NLE00113694","2015","53.6142","4.9603","0.0","L9 FF 1, NL","     17.5","","      17.5","E","         0","E","         0","E","         0","E","        13","E","         0","E","    0.6","E,0123, ","   24.7","E,0702, ","","","","","","","","","    2642.7","7","    2642.7","E","     11.05","E","     12.46","E","      9.65","E"
"NLE00113694","2016","53.6142","4.9603","0.0","L9 FF 1, NL","     48.1","","      48.1","E","         0","E","         2","E","         0","E","        14","E","         0","E","   -0.4","E,0217,+","   27.0","E,0720, ","","","-0.4","E,0217","","","","","    2566.0","0","    2566.0","E","     11.29","E","     12.77","E","      9.80","E"
"NLE00113694","2017","53.6142","4.9603","0.0","L9 FF 1, NL","     19.7","","      19.7","E","         0","E","         6","E","         0","E","        12","E","         0","E","   -1.9","E,0209, ","   26.8","E,0527, ","","","0.0","E,0211","","","","","    2554.3","3","    2554.3","E","     11.23","E","     12.81","E","      9.65","E"
"NLE00113694","2018","53.6142","4.9603","0.0","L9 FF 1, NL","     58.8","","      58.8","E","         0","E","        14","E","         3","E","        22","E","         0","E","   -6.4","E,0228, ","   27.9","E,0728, ","-0.6","E,1216","-0.5","E,0319","-2.4","E,0318","-4.6","E,0303","    2731.2","2","    2731.2","E","     11.03","E","     12.62","E","      9.44","E"
"NLE00113694","2019","53.6142","4.9603","0.0","L9 FF 1, NL","     64.5","","      64.5","E","         0","E","         3","E","         0","E","        20","E","         0","E","   -2.5","E,0125, ","   30.2","E,0724, ","","","-0.4","E,0131","-2.5","E,0125","","","    2519.6","6","    2519.6","E","     11.42","E","     12.91","E","      9.93","E"
"NLE00113694","2020","53.6142","4.9603","0.0","L9 FF 1, NL","     56.9","","      56.9","E","         0","E","         0","E","         0","E","        16","E","         0","E","    1.6","E,1210, ","   25.4","E,0816, ","","","","","","","","","    2532.0","0","    2532.0","E","     11.61","E","     13.10","E","     10.12","E"
"NLE00113694","2021","53.6142","4.9603","0.0","L9 FF 1, NL","      9.6","","       9.6","E","         0","E","        10","E","         2","E","         5","E","         0","E","   -3.4","E,0213, ","   24.7","E,0617, ","-0.1","E,1225","-0.5","E,0405","-2.9","E,0214","","","    2771.5","5","    2771.5","E","     10.74","E","     12.15","E","      9.34","E"
"NLE00113694","2022","53.6142","4.9603","0.0","L9 FF 1, NL","     73.0","","      73.0","E","         0","E","         0","E","         0","E","        23","E","         0","E","    0.2","E,1218, ","   27.1","E,0719, ","","","","","","","","","    2469.1","1","    2469.1","E","     11.78","E","     13.25","E","     10.31","E"
"NLE00113694","2023","53.6142","4.9603","0.0","L9 FF 1, NL","     41.5","","      41.5","E","         0","E","         0","E","         0","E","        13","E","         0","E","    0.7","E,0310, ","   25.1","E,0814, ","","","","","","","","","    2487.0","0","    2487.0","E","     11.61","E","     12.99","E","     10.23","E"
