"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00012015","1947","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        52","m","        47","m","         9","m","","","","","",""," 108.0"," ,m,0831, ","","","","","    977.1"," ,m","",""
"MXN00012015","1948","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       110","m","        91","m","        16","m","","","","","","","  50.3"," ,m,1022, ","","","","","   1241.1"," ,m","",""
"MXN00012015","1949","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        88","m","        75","m","        17","m","","","","","","","  67.8"," ,m,0910, ","","","","","   1207.6"," ,m","",""
"MXN00012015","1950","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        93","m","        75","m","        16","m","","","","","","","  56.9"," ,m,0905, ","","","","","   1208.4"," ,m","",""
"MXN00012015","1951","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       100","m","        73","m","        13","m","","","","","","","  61.5"," ,m,0711, ","","","","","   1226.1"," ,m","",""
"MXN00012015","1952","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       109","m","        88","m","        24","m","","","","","","","  53.8"," ,m,0904, ","","","","","   1685.5"," ,m","",""
"MXN00012015","1953","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        93","m","        65","m","        16","m","","","","","","","  47.8"," ,m,0815, ","","","","","   1096.9"," ,m","",""
"MXN00012015","1954","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       127","m","        96","m","        12","m","","","","","","","  67.8"," ,m,0709, ","","","","","   1510.1"," ,m","",""
"MXN00012015","1955","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       102","m","        89","m","        17","m","","","","","","","  88.9"," ,m,0709, ","","","","","   1460.8"," ,m","",""
"MXN00012015","1958","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       143","m","       113","m","        18","m","","","","","","","  51.3"," ,m,0721, ","","","","","   1716.2"," ,m","",""
"MXN00012015","1959","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       119","m","        94","m","        19","m","","","","","","","  67.3"," ,m,0817, ","","","","","   1592.6"," ,m","",""
"MXN00012015","1960","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       113","m","        76","m","        13","m","","","","","","","  78.0"," ,m,0623, ","","","","","   1246.2"," ,m","",""
"MXN00012015","1961","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        91","m","        70","m","        16","m","","","","","","","  64.8"," ,m,0615, ","","","","","   1246.1"," ,m","",""
"MXN00012015","1962","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       100","m","        72","m","         9","m","","","","","","","  51.8"," ,m,0903, ","","","","","   1043.1"," ,m","",""
"MXN00012015","1963","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       102","m","        86","m","        14","m","","","","","","","  61.0"," ,m,0715, ","","","","","   1336.4"," ,m","",""
"MXN00012015","1964","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       108","m","        83","m","        15","m","","","","","","","  62.5"," ,m,0525, ","","","","","   1270.6"," ,m","",""
"MXN00012015","1973","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       104","m","        82","m","        10","m","","","","","","","  60.5"," ,m,0910, ","","","","","   1093.3"," ,m","",""
"MXN00012015","1976","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       104","m","        74","m","        17","m","","","","","","","  70.4"," ,m,0816, ","","","","","   1201.0"," ,m","",""
"MXN00012015","1978","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       108","m","        89","m","        22","m","","","","","","","  83.3"," ,m,0808, ","","","","","   1619.3"," ,m","",""
"MXN00012015","1979","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        85","m","        65","m","         8","m","","","","","","","  62.0"," ,m,0626, ","","","","","    978.8"," ,m","",""
"MXN00012015","1980","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        94","m","        77","m","        18","m","","","","","","","  58.4"," ,m,0812, ","","","","","   1452.7"," ,m","",""
"MXN00012015","1981","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       109","m","        96","m","        19","m","","","","","","","  68.6"," ,m,0827, ","","","","","   1622.9"," ,m","",""
"MXN00012015","1982","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        81","m","        64","m","         3","m","","","","","","","  62.5"," ,m,0907, ","","","","","    795.8"," ,m","",""
