"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00230760","1904","38.983333","-94.333333",,"BLUE SPRINGS, MO US","    431.1","","     431.1","6","         6","6","       117","6","        30","6","       158","6","         4","6","","","  -25.0","6,0126, ","   35.0","6,0815, ","-2.8","6,1023","-2.8","6,1023","-7.2","6,1112","-7.2","6,1112","-10.0","6,1210","-2.2","6,0417","-2.2","6,0417","-7.2","6,0327","-7.2","6,0327","-9.4","6,0304","    2985.1","1","    2985.1","6","     11.32","6","     17.20","6","      5.45","6"
"USC00230760","1906","38.983333","-94.333333",,"BLUE SPRINGS, MO US","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
