"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00244212","1895","47.416667","-112.016667","1399.0","HOGAN, MT US","        44","6","       197","6","        50","6","       102","6","         9","6","  -30.6","6,0206, ","   36.7","6,0805, ","-6.7","6,0906","-6.7","6,0906","-6.7","6,0906","-6.7","6,0906","-12.2","6,1104","-1.1","6,0610","-2.2","6,0609","-4.4","6,0510","-8.3","6,0319","-10.6","6,0318","","","","","      5.47","6","     13.75","6","     -2.81","6"
"USC00244212","1896","47.416667","-112.016667","1399.0","HOGAN, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4289.6","6","    4289.6"," ","","","","","",""
