"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087532","2012","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        29","S","   -5.0","S,0703, ","-0.2","S,0512","-2.6","S,0606","-5.0","S,0703","-1.2","S,0925","","","","","     10.38","S"
"ARM00087532","2014","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        18","S","   -4.4","S,0619,+","0.0","S,0523","-4.4","S,0618","-4.4","S,0618","-1.8","S,0813","","","","","     10.18","S"
"ARM00087532","2015","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        24","S","   -6.2","S,0618, ","-0.6","S,0612","-6.2","S,0618","-6.2","S,0618","-1.2","S,0912","-5.5","S,0911","-5.5","S,0911","     10.38","S"
"ARM00087532","2016","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        26","S","   -4.5","S,0610, ","0.0","S,0427","-4.5","S,0610","-4.5","S,0610","-1.8","S,0923","-3.6","S,0906","","","      9.91","S"
"ARM00087532","2017","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        10","S","   -3.5","S,0717, ","-0.2","S,0529","-3.0","S,0619","","","0.0","S,0816","","","","","     10.82","S"
"ARM00087532","2018","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        36","S","   -5.3","S,0723, ","0.0","S,0522","-3.4","S,0602","-4.5","S,0614","0.0","S,0901","-2.5","S,0825","-5.2","S,0820","      9.30","S"
"ARM00087532","2019","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        38","S","   -6.3","S,0705, ","-0.4","S,0519","-4.7","S,0701","-4.7","S,0701","-0.9","S,0905","-5.0","S,0904","-5.0","S,0904","      8.82","S"
"ARM00087532","2020","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        31","S","   -6.1","S,0820, ","-1.5","S,0523","-4.0","S,0601","-5.5","S,0714","-0.5","S,0919","-4.8","S,0830","-4.8","S,0830","      9.01","S"
"ARM00087532","2022","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        31","S","   -5.2","S,0610, ","-0.6","S,0515","-3.0","S,0519","-5.0","S,0530","-0.8","S,1009","-2.2","S,0909","-4.7","S,0829","      8.93","S"
"ARM00087532","2023","-35.696","-63.758","139.9","GENERAL PICO, AR","         0","S","        22","S","   -5.7","S,0611, ","-0.5","S,0528","-5.7","S,0611","-5.7","S,0611","-0.6","S,0918","-3.4","S,0826","","","      9.66","S"
