"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00299156","1905","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","        33","0","        33","0","         8","0","","","         8","0","","","","","","","","","","","","","         6"," ","","","","","   127"," ,0,1212,+","  81.3"," ,0,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    609.1"," ,0","      623"," ,0","","","","","","","",""
"USC00299156","1906","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","        25","0","        22","0","         4","0","","","         3","0","","","","","","","","","","","","","","","","","","","   178"," ,0,0102, ","  58.2"," ,0,0716, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    371.4"," ,0","      261"," ,0","","","","","","","",""
"USC00299156","1907","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","        29","0","        26","0","         4","0","","","         3","0","","","","","","","","","","","","","         3"," ","","","","","   254"," ,0,0421, ","  50.8"," ,0,0617, ","","","","","","","","","","","","","","","","","","","","","","","    1789.2","2","","","    1789.2","0","","","","","","","","","","","    419.8"," ,0","      680"," ,0","","","","","","","",""
"USC00299156","1908","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    819.9","","     819.9","0","","","","","","","        4","","         4","0","         0","0","        90","0","         1","0","       234","0","        77","0","","","        18"," ","  -12.2","0,0116, ","   152"," ,0,1128, ","   305"," ,0,1128, ","","","   39.4","0,0621, ","-0.6","0,1021","-3.3","0,1111","-7.2","0,1113","-7.2","0,1113","-10.0","0,1114","-1.1","0,0506","-2.2","0,0402","-5.6","0,0401","-9.4","0,0220","-9.4","0,0220","","","","","","","","","","","","","","","","","    292.0"," ,0","      521"," ,0","     15.38","0","     23.76","0","      7.00","0","",""
"USC00299156","1909","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    894.9","","     894.9","0","        42","0","        26","0","         1","0","","","         9","0","         2","0","        87","0","         5","0","       224","0","        88","0","","","        18"," ","  -19.4","0,1218, ","","","   356"," ,0,0331, ","  28.4"," ,0,0624, ","   40.6","0,0711, ","0.0","0,1108","-2.8","0,1116","-8.3","0,1130","-8.3","0,1130","-12.2","0,1205","-2.8","0,0501","-2.8","0,0501","-5.6","0,0314","-12.8","0,0313","-12.8","0,0313","    1983.2","2","","","    1983.2","0","","","","","","","","","","","    335.4"," ,0","     1052"," ,0","     15.29","0","     23.52","0","      7.07","0","",""
"USC00299156","1910","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    990.7","","     990.7","0","        39","0","        22","0","         1","0","        0","","         4","0","         1","0","        87","0","         3","0","       253","0","        92","0","","","        14"," ","  -19.4","0,0217, ","     0"," ,0,1231,+","    64"," ,0,1229, ","  69.9"," ,0,0809, ","   40.6","0,0608, ","-1.7","0,1020","-4.4","0,1128","-4.4","0,1128","-8.3","0,1218","-10.0","0,1229","0.0","0,0415","-3.3","0,0405","-4.4","0,0331","-11.1","0,0223","-11.1","0,0223","    1897.3","3","","","    1897.3","0","","","","","","","","","","","    263.4"," ,0","      217"," ,0","     16.16","0","     24.86","0","      7.46","0","",""
"USC00299156","1911","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    973.3","","     973.3","0","        46","0","        26","0","         2","0","","","         8","0","         2","0","        92","0","         8","0","       229","0","        93","0","","","        21"," ","  -22.2","0,0103, ","","","   203"," ,0,1219, ","  58.4"," ,0,0823, ","   40.6","0,0821, ","0.0","0,1020","-2.2","0,1021","-4.4","0,1101","-8.3","0,1102","-11.7","0,1112","-1.1","0,0415","-2.8","0,0327","-6.1","0,0302","-13.3","0,0301","-13.3","0,0301","    1749.8","8","","","    1749.8","0","","","","","","","","","","","    467.5"," ,0","      742"," ,0","     15.24","0","     22.95","0","      7.52","0","",""
"USC00299156","1912","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","        42","0","        24","0","         2","0","","","         2","0","","","","","","","","","","","         1"," ","        22"," ","","","","","   152"," ,0,0220, ","  53.3"," ,0,0722, ","","","","","","","","","","","","","","","","","","","","","","","    2549.0","0","","","    2549.0","0","","","","","","","","","","","    347.2"," ,0","      800"," ,0","","","","","","","",""
"USC00299156","1914","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","        44","0","        41","0","         6","0","        0","","         9","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","   102"," ,0,1225,+","  67.3"," ,0,0518, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    635.8"," ,0","      495"," ,0","","","","","","","",""
"USC00299156","1915","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","","","","","        55","0","        37","0","         6","0","","","         6","0","","","","","","","","","","","","","         1"," ","","","","","   152"," ,0,0116, ","  45.7"," ,0,0417, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    468.7"," ,0","      444"," ,0","","","","","","","",""
