"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00260961","1963","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","","","","","","","","","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00260961","1965","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00260961","1971","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    171.3"," ,0","","","","","",""
"USC00260961","1975","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00260961","1977","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","","","","","","","","","","","","","","","","","","","","","","","        13"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00260961","1978","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","    235.4","","     235.4","0","        60","0","        33","0","         1","0","","","         5","0","       199","0","         3","0","       178","0","        52","0","        11"," ","  -23.3","0,1208, ","","","  63.2"," ,0,0906, ","   39.4","0,0802, ","-0.6","0,0819","-3.3","0,0821","-4.4","0,1023","-7.8","0,1024","-11.7","0,1115","0.0","0,0526","-2.8","0,0525","-5.0","0,0524","-6.7","0,0417","-12.2","0,0218","    3041.5","5","    3041.5","0","    324.1"," ,0","      9.81","0","     19.97","0","     -0.34","0"
"USC00260961","1979","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","    321.3","","     321.3","0","        39","0","        18","0","         0","0","","","        23","0","       181","0","        15","0","       190","0","        69","0","         6"," ","  -31.1","0,0129, ","","","  19.8"," ,0,0721, ","   39.4","0,0803,+","-2.8","0,1021","-2.8","0,1021","-5.0","0,1027","-8.3","0,1030","-9.4","0,1031","0.0","0,0619","-5.0","0,0511","-5.0","0,0511","-8.9","0,0411","-8.9","0,0411","    3713.1","1","    3713.1","0","    131.0"," ,0","      9.68","0","     20.28","0","     -0.92","0"
"USC00260961","1980","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","    302.1","","     302.1","0","        46","0","        28","0","         0","0","        1","","         0","0","       179","0","         0","0","       184","0","        72","0","        10"," ","  -16.1","0,1210, ","    25"," ,0,0111, ","  17.0"," ,0,0523, ","   39.4","0,0725, ","-0.6","0,1013","-2.8","0,1015","-7.2","0,1016","-7.2","0,1016","-8.9","0,1029","-1.1","0,0527","-2.2","0,0417","-6.1","0,0412","-6.7","0,0408","-8.9","0,0331","    2977.7","7","    2977.7","0","    214.5"," ,0","     11.04","0","     21.68","0","      0.41","0"
"USC00260961","1981","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","    440.9","","     440.9","0","        46","0","        28","0","         1","0","","","         9","0","       181","0","         2","0","       189","0","        92","0","         5"," ","  -22.8","0,0131, ","","","  37.6"," ,0,1011, ","   40.6","0,0808,+","0.0","0,1005","-2.2","0,1008","-5.0","0,1014","-7.2","0,1030","-13.3","0,1126","0.0","0,0521","-3.3","0,0517","-5.0","0,0411","-8.3","0,0331","-8.9","0,0222","    2941.6","6","    2941.6","0","    231.5"," ,0","     11.39","0","     21.97","0","      0.80","0"
"USC00260961","1982","38.38333","-116.21667","1622.1","BLUE JAY HIGHWAY STATION, NV US","    329.8","","     329.8","0","        58","0","        26","0","         0","0","","","         6","0","       192","0","         1","0","       175","0","        52","0","         3"," ","  -23.9","0,0207,+","","","  20.8"," ,0,0726, ","   37.8","0,0801,+","-2.2","0,1001","-2.2","0,1001","-5.0","0,1028","-6.7","0,1103","-8.9","0,1112","0.0","0,0605","-2.8","0,0511","-8.9","0,0421","-8.9","0,0421","-8.9","0,0421","    3172.0","0","    3172.0","0","    246.8"," ,0","      9.80","0","     19.81","0","     -0.20","0"
