"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00093041","2011","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","         1"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093041","2012","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.5","W","   1067.8","","    1067.8","W","        30","W","         9","W","         0","W","        0","","         0","W","         0","W","        68","W","         0","W","       249","W","       107","W","         1"," ","         2"," ","        22"," ","   -7.1","W,1229, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  15.2"," ,W,0907, ","   40.0","W,0630, ","-2.1","W,1112","-4.3","W,1114","-5.5","W,1210","-7.1","W,1229","-1.0","W,0321","-2.7","W,0311","","","","","","","","","","","     77.1"," ,W","        0"," ,W","     17.28","W","     25.44","W","      9.12","W","       270","W","      19.7","W"
"USW00093041","2013","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.6","W","   1078.7","","    1078.7","W","        35","W","        14","W","         1","W","        0","","         0","W","         0","W","        83","W","         2","W","       241","W","        94","W","         4"," ","         2"," ","        43"," ","  -11.0","W,0113, ","     0"," ,W,1231,+","     0","T,W,0103, ","  28.7"," ,W,0726, ","   41.1","W,0627, ","-2.1","W,1031","-2.7","W,1124","-4.9","W,1208","-7.7","W,1210","0.0","W,0419","-3.8","W,0311","-6.0","W,0228","-7.1","W,0225","-11.0","W,0113","    1601.2","2","    1601.2","W","    125.4"," ,W","        0","T,W","     16.46","W","     24.19","W","      8.72","W","       270","W","      21.0","W"
"USW00093041","2014","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.6","W","   1063.4","","    1063.4","W","        38","W","        16","W","         1","W","        0","","         0","W","         0","W","        63","W","         0","W","       242","W","        89","W","         2"," ","","","        42"," ","   -9.3","W,0107, ","     0"," ,W,1231,+","     0","T,W,1213, ","  32.0"," ,W,0918, ","   40.6","W,0603, ","-2.1","W,1113","-6.0","W,1117","-6.0","W,1117","-7.1","W,1228","-0.5","W,0317","-6.0","W,0206","-6.0","W,0206","-8.2","W,0129","-9.3","W,0107","    1571.3","3","    1571.3","W","    158.3"," ,W","        0","T,W","     17.27","W","     24.95","W","      9.59","W","       230","W","      17.9","W"
"USW00093041","2015","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.1","W","   1047.2","","    1047.2","W","        56","W","        23","W","         3","W","        0","","         0","W","         0","W","        62","W","         0","W","       236","W","       110","W","        16"," ","         5"," ","        54"," ","  -11.0","W,0123, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  33.5"," ,W,0709, ","   39.4","W,0621, ","-0.5","W,1106","-4.3","W,1122","-5.5","W,1203","-7.7","W,1216","-1.0","W,0417","-4.3","W,0306","-5.5","W,0224","-11.0","W,0123","-11.0","W,0123","    1500.9","9","    1500.9","W","    267.6"," ,W","        0"," ,W","     16.88","W","     24.51","W","      9.24","W","       190","W","      17.9","W"
"USW00093041","2016","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.5","W","   1097.6","","    1097.6","W","        37","W","        14","W","         0","W","        0","","         0","W","         0","W","        56","W","         0","W","       256","W","        90","W","         8"," ","         4"," ","        41"," ","   -8.8","W,0203, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  23.6"," ,W,1104, ","   40.6","W,0714,+","0.0","W,1123","-7.7","W,1130","-7.7","W,1130","-7.7","W,1130","-2.7","W,0402","-2.7","W,0402","-5.5","W,0224","-8.2","W,0206","","","    1597.9","9","    1597.9","W","    142.9"," ,W","        0"," ,W","     17.36","W","     25.34","W","      9.37","W","       270","W","      19.2","W"
"USW00093041","2017","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","         1"," ","        48"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1260.7","7","    1260.7","W","","","","","","","","","","","","","",""
"USW00093041","2018","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","         1"," ","        27"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093041","2019","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","        12"," ","         7"," ","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093041","2020","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.5","W","   1289.1","","    1289.1","W","        34","W","        13","W","         0","W","","","","","         0","W","        62","W","         1","W","       245","W","       130","W","         2"," ","         3"," ","        11"," ","   -7.7","W,1224,+","","","","","  19.6"," ,W,0909, ","   42.8","W,0713, ","-2.7","W,1026","-2.7","W,1026","-4.9","W,1201","-7.7","W,1204","0.0","W,0328","-4.9","W,0227","-4.9","W,0227","-7.1","W,0226","","","","","","","    128.1"," ,W","","","     17.89","W","     26.26","W","      9.52","W","       270","W","      17.4","W"
"USW00093041","2021","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","","","","","","","        38","W","        20","W","         1","W","","","","","","","","","","","","","","","         2"," ","         1"," ","        16"," ","","","","","","","  26.4"," ,W,0813, ","","","","","","","","","","","","","","","","","","","","","","","","","    168.9"," ,W","","","","","","","","","","","",""
"USW00093041","2022","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.6","W","   1245.1","","    1245.1","W","        50","W","        18","W","         0","W","","","","","         0","W","        84","W","         0","W","       236","W","       117","W","         6"," ","         2"," ","        15"," ","  -10.5","W,0204, ","","","","","  14.7"," ,W,1006, ","   41.7","W,0611, ","0.0","W,1025","-3.2","W,1112","-4.9","W,1117","-7.7","W,1224","-2.1","W,0324","-3.2","W,0312","-6.0","W,0218","-9.3","W,0205","-9.3","W,0205","    1320.3","3","    1320.3","W","    152.7"," ,W","","","     17.31","W","     25.34","W","      9.28","W","       270","W","      17.4","W"
"USW00093041","2023","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","       3.7","W","   1431.0","","    1431.0","W","        30","W","        16","W","         1","W","","","","","         0","W","        56","W","         0","W","       242","W","       121","W","         2"," ","         3"," ","         5"," ","   -8.2","W,1210, ","","","","","  25.4"," ,W,0825, ","   43.3","W,0720,+","0.0","W,1030","-2.7","W,1031","-8.2","W,1210","-8.2","W,1210","0.0","W,0326","-2.7","W,0227","-6.0","W,0217","","","","","    1479.1","1","    1479.1","W","    121.3"," ,W","","","     18.53","W","     26.63","W","     10.42","W","       270","W","      19.2","W"
"USW00093041","2024","32.28333","-106.91667","1357.6","LAS CRUCES MUNICIPAL AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
