"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053981","2011","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        27"," ","         8"," ","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053981","2012","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        71"," ","        17"," ","        42"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053981","2013","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","","","","","","","        55","W","        31","W","         5","W","","","         0","W","","","","","","","","","","","        86"," ","        15"," ","        44"," ","","","","","     0"," ,W,1231,+","  43.4"," ,W,0920, ","","","","","","","","","","","","","","","","","","","","","","","","","    442.7"," ,W","        0"," ,W","","","","","","","","","","","","","",""
"USW00053981","2014","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        84"," ","        15"," ","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053981","2015","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","       3.8","W","   1503.2","","    1503.2","W","        79","W","        52","W","        13","W","        0","","","","         0","W","        37","W","         3","W","       259","W","       114","W","       133"," ","        16"," ","        49"," ","   -8.8","W,0108, ","     0"," ,W,1231,+","","","  86.1"," ,W,0426, ","   40.0","W,0810,+","-2.1","W,1122","","","","","","","-1.0","W,0307","-3.8","W,0306","-4.9","W,0305","-8.8","W,0108","","","","","","","   1119.5"," ,W","","","     19.11","W","     24.61","W","     13.61","W","        10","W","","","      15.7","W","",""
"USW00053981","2016","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","","","","","","","        78","W","        54","W","        11","W","        0","","         0","W","","","","","","","","","","","       128"," ","        10"," ","        48"," ","","","     0"," ,W,1231,+","     0"," ,W,1231,+","  59.2"," ,W,0417, ","","","","","","","","","","","","","","","","","","","","","    1014.3","3","    1014.3","W","    930.3"," ,W","        0"," ,W","","","","","","","","","","","","","",""
"USW00053981","2017","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","       4.3","W","   1388.0","","    1388.0","W","        45","W","        28","W","         1","W","        0","","","","         0","W","        17","W","         0","W","       270","W","        94","W","       107"," ","        18"," ","        35"," ","  -12.1","W,0107, ","     0"," ,W,1231,+","","","  44.2"," ,W,0402, ","   38.9","W,0728, ","-2.1","W,1028","-7.1","W,1208","-7.1","W,1208","-7.1","W,1208","0.0","W,0225","-7.1","W,0108","-7.1","W,0108","-7.1","W,0108","-12.1","W,0107","","","","","    311.3"," ,W","","","     19.80","W","     25.81","W","     13.80","W","       240","W","","","      14.8","W","",""
"USW00053981","2018","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","       4.4","W","   1630.4","","    1630.4","W","","","","","","","        0","","         0","W","         0","W","        34","W","         2","W","       238","W","       110","W","       116"," ","        21"," ","        60"," ","  -12.7","W,0117, ","     0"," ,W,1231,+","     0"," ,W,1231,+","","","   42.8","W,0722,+","0.0","W,1112","-2.7","W,1113","-6.0","W,1114","","","0.0","W,0307","-2.7","W,0212","-4.9","W,0211","-8.8","W,0118","-12.7","W,0117","    1167.2","2","    1167.2","W","","","        0"," ,W","     18.96","W","     24.75","W","     13.18","W","       180","W","","","      14.8","W","",""
"USW00053981","2019","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","       4.4","W","","","","","        55","W","        33","W","         8","W","        0","","","","","","","","","","","","","","       107"," ","        23"," ","        54"," ","","","     0"," ,W,1231,+","","","  59.9"," ,W,0511, ","","","","","","","","","","","","","","","","","","","","","","","","","    546.9"," ,W","","","","","","","","","       130","W","","","      17.0","W","",""
"USW00053981","2020","32.35389","-97.43389","260.3","CLEBURNE MUNICIPAL AIRPORT, TX US","       4.3","W","   1444.0","","    1444.0","W","","","","","","","","","","","         0","W","        18","W","         0","W","       258","W","       105","W","       133"," ","        18"," ","        46"," ","   -3.8","W,0206, ","","","","","","","   41.1","W,0829,+","-1.0","W,1130","-2.7","W,1224","","","","","-2.1","W,0227","-2.7","W,0214","","","","","","","","","","","","","","","     19.23","W","     25.19","W","     13.27","W","        40","W","","","      14.3","W","",""
