"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00488160","1920","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    207.6","","     207.6","0","        89","0","        37","0","         3","0","","","","","        29","0","       189","0","        50","0","       114","0","        30","0","","","","","  -30.6","0,0124, ","","","","","  34.3"," ,0,0619, ","   38.9","0,0817, ","0.0","0,0829","-4.4","0,0929","-4.4","0,0929","-7.8","0,1024","-12.8","0,1102","-4.4","0,0426","-4.4","0,0426","-4.4","0,0426","-7.2","0,0406","-9.4","0,0405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    339.7"," ,0","","","      6.07","0","     13.30","0","     -1.15","0","",""
"USC00488160","1921","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    316.1","","     316.1","0","        69","0","        31","0","         0","0","","","","","        17","0","       176","0","        46","0","       134","0","        39","0","","","         3"," ","  -24.4","0,1224, ","","","","","  24.1"," ,0,0619, ","   38.3","0,0720,+","-0.6","0,0910","-8.9","0,0911","-8.9","0,0911","-8.9","0,0911","-8.9","0,0911","0.0","0,0514","-8.3","0,0501","-8.3","0,0501","-8.3","0,0501","-10.0","0,0409","    3838.3","3","","","","","    3838.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    256.2"," ,0","","","      7.87","0","     15.86","0","     -0.11","0","",""
"USC00488160","1922","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    258.5","","     258.5","0","        87","0","        45","0","         4","0","","","         6","0","        49","0","       185","0","        67","0","       135","0","        25","0","","","         1"," ","  -34.4","0,0130, ","","","   127"," ,0,0103, ","  30.5"," ,0,0406, ","   37.2","0,0812, ","-1.1","0,0930","-3.3","0,1008","-5.0","0,1016","-10.0","0,1031","-10.0","0,1031","-0.6","0,0512","-2.2","0,0426","-4.4","0,0418","-6.7","0,0411","-8.9","0,0407","    4665.1","1","","","","","    4665.1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    434.1"," ,0","      879"," ,0","      5.66","0","     13.12","0","     -1.79","0","",""
"USC00488160","1923","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    244.4","","     244.4","0","       102","0","        56","0","         5","0","","","        14","0","        23","0","       186","0","        35","0","       118","0","        21","0","         2"," ","        18"," ","  -35.0","0,1231, ","","","   127"," ,0,0407,+","  55.9"," ,0,0928, ","   38.3","0,0717, ","0.0","0,1012","-4.4","0,1020","-4.4","0,1020","-7.8","0,1026","-10.0","0,1027","-2.8","0,0516","-2.8","0,0516","-7.2","0,0409","-7.2","0,0409","-11.7","0,0408","    4008.0","0","","","","","    4008.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    637.4"," ,0","     1197"," ,0","      7.05","0","     14.34","0","     -0.24","0","",""
"USC00488160","1924","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","       101","0","        38","0","         0","0","","","","","        37","0","       187","0","        58","0","       111","0","        18","0","         1"," ","         4"," ","  -35.6","0,1218,+","","","","","  22.9"," ,0,0605, ","   38.3","0,0828, ","-1.1","0,0914","-2.2","0,0927","-5.0","0,1030","-6.7","0,1110","-16.1","0,1111","0.0","0,0527","-2.2","0,0514","-5.6","0,0416","-7.2","0,0402","-10.0","0,0401","    4376.6","6","","","","","    4376.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    364.4"," ,0","     1353"," ,0","      5.48","0","     12.99","0","     -2.02","0","",""
"USC00488160","1925","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","        88","0","        51","0","         3","0","","","        23","0","        14","0","       172","0","        27","0","       117","0","        25","0","","","","","  -25.0","0,0126, ","","","   127"," ,0,1023, ","  64.8"," ,0,0406, ","   40.6","0,0714, ","-0.6","0,0922","-5.0","0,1006","-5.0","0,1006","-6.7","0,1017","-10.0","0,1018","0.0","0,0516","-2.2","0,0509","-4.4","0,0504","-7.2","0,0327","-12.2","0,0315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    454.8"," ,0","     1438"," ,0","      7.70","0","     15.13","0","      0.26","0","",""
"USC00488160","1926","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    226.2","","     226.2","0","        81","0","        46","0","         1","0","","","        15","0","        14","0","       181","0","        32","0","       125","0","        24","0","         1"," ","         5"," ","  -28.9","0,1215,+","","","   152"," ,0,0119, ","  40.1"," ,0,0903, ","   39.4","0,0717,+","-1.1","0,0922","-2.2","0,0923","-7.8","0,0924","-7.8","0,0924","-10.6","0,0925","-3.9","0,0425","-3.9","0,0425","-6.7","0,0408","-6.7","0,0408","-8.9","0,0407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    378.5"," ,0","      946"," ,0","      7.76","0","     15.07","0","      0.44","0","",""
"USC00488160","1927","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    107.9","","     107.9","0","       107","0","        58","0","         2","0","","","        29","0","        43","0","       189","0","        51","0","       110","0","         8","0","         1"," ","         3"," ","  -35.6","0,1231, ","","","   165"," ,0,0415, ","  29.7"," ,0,0522, ","   35.6","0,0626, ","-2.2","0,0919","-2.2","0,0919","-5.6","0,1006","-7.2","0,1101","-18.3","0,1111","0.0","0,0530","-2.2","0,0511","-8.3","0,0510","-8.3","0,0510","-15.6","0,0421","    4335.5","5","","","","","    4335.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    559.6"," ,0","     1968"," ,0","      5.57","0","     12.76","0","     -1.63","0","",""
"USC00488160","1928","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    122.2","","     122.2","0","        92","0","        46","0","         2","0","","","        18","0","        22","0","       194","0","        47","0","       129","0","        12","0","","","         2"," ","  -36.1","0,0101, ","","","   254"," ,0,1128, ","  46.7"," ,0,0612, ","   38.9","0,0811, ","-1.7","0,0921","-2.2","0,0927","-5.0","0,1027","-7.8","0,1030","-11.7","0,1101","-0.6","0,0601","-3.3","0,0430","-4.4","0,0421","-8.9","0,0413","-8.9","0,0413","    4251.7","7","","","","","    4251.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    421.4"," ,0","     1460"," ,0","      6.46","0","     14.07","0","     -1.15","0","",""
"USC00488160","1929","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    296.1","","     296.1","0","        99","0","        40","0","         2","0","","","        22","0","        45","0","       195","0","        62","0","       122","0","        41","0","         2"," ","         1"," ","  -35.0","0,0207,+","","","   203"," ,0,0331, ","  50.8"," ,0,0424, ","   40.6","0,0726, ","0.0","0,0908","-3.3","0,0909","-4.4","0,1020","-9.4","0,1023","-9.4","0,1023","0.0","0,0519","-6.7","0,0509","-6.7","0,0509","-6.7","0,0509","-10.6","0,0408","    4670.2","2","","","","","    4670.2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    432.3"," ,0","     2104"," ,0","      5.22","0","     13.07","0","     -2.63","0","",""
