"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087643","2022","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","         0","S","        53","S","   -5.2","S,0712, ","-1.1","S,0429","-2.5","S,0529","-4.5","S,0531","-0.4","S,1014","-2.2","S,0910","      7.30","S"
"ARM00087643","2023","-36.883","-60.217","166.0","OLAVARRIA AERO, AR","         0","S","        34","S","   -5.5","S,0718, ","-0.1","S,0502","-2.5","S,0528","-4.5","S,0619","0.0","S,1012","-2.2","S,0827","      8.18","S"
