"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00000130","2014","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        24"," ","         6"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000130","2015","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","       2.4","W","   1869.6","","    1869.6","W","        85","W","        42","W","        11","W","         0","W","         8","W","         0","W","       291","W","       133","W","       152"," ","        25"," ","        49"," ","   -2.1","W,1123, ","  63.2"," ,W,0513, ","   40.6","W,0813, ","0.0","W,1122","","","","","","","-0.5","W,0306","","","","","","","","","","","    902.6"," ,W","     21.44","W","     27.61","W","     15.27","W","       310","W","      13.0","W"
"USW00000130","2016","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","       2.4","W","   1958.9","","    1958.9","W","        76","W","        32","W","         3","W","         0","W","        12","W","         0","W","       311","W","       136","W","       138"," ","        31"," ","        51"," ","   -3.8","W,0205, ","  52.3"," ,W,0519, ","   40.0","W,0812,+","-1.0","W,1120","-2.7","W,1219","","","","","-3.2","W,0207","-3.2","W,0207","","","","","     596.9","9","     596.9","W","    423.0"," ,W","     22.14","W","     28.62","W","     15.66","W","       130","W","      12.1","W"
"USW00000130","2017","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","       119"," ","        28"," ","        29"," ","","","","","","","","","","","","","","","","","","","","","","","     377.0","0","     377.0","W","","","","","","","","","","","",""
"USW00000130","2018","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","       2.7","W","   2007.8","","    2007.8","W","        80","W","        44","W","         8","W","         0","W","        18","W","         1","W","       287","W","       144","W","       109"," ","        23"," ","        43"," ","   -6.0","W,0103, ","  47.2"," ,W,0328, ","   42.2","W,0723, ","-2.1","W,1113","-4.9","W,1114","-4.9","W,1114","","","-2.7","W,0125","-2.7","W,0125","-6.0","W,0103","","","","","","","    646.0"," ,W","     21.65","W","     27.90","W","     15.40","W","        90","W","      16.1","W"
"USW00000130","2019","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","       109"," ","        20"," ","        34"," ","","","","","","","","","","","","","","","","","","","","","","","     842.6","6","     842.6","W","","","","","","","","","","","",""
"USW00000130","2020","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","       2.6","W","   2045.2","","    2045.2","W","","","","","","","         0","W","        12","W","         0","W","       316","W","       160","W","        98"," ","        28"," ","        32"," ","   -6.0","W,0227, ","","","   41.7","W,0713, ","-2.7","W,1201","-2.7","W,1201","","","","","-1.6","W,0228","-6.0","W,0227","-6.0","W,0227","","","","","","","","","     22.25","W","     29.24","W","     15.26","W","        80","W","      12.1","W"
"USW00000130","2021","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","       2.5","W","","","","","        74","W","        40","W","         5","W","","","","","","","","","","","       127"," ","        24"," ","        29"," ","","","  66.5"," ,W,0430, ","","","","","","","","","","","","","","","","","","","     665.2","2","     665.2","W","    595.4"," ,W","","","","","","","       290","W","      12.5","W"
"USW00000130","2022","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","       2.8","W","   2275.9","","    2275.9","W","        52","W","        25","W","         1","W","         0","W","        28","W","         0","W","       293","W","       176","W","        73"," ","         8"," ","        19"," ","   -7.1","W,1224,+","  27.7"," ,W,0903, ","   42.8","W,0711, ","0.0","W,1218","-3.8","W,1222","-6.6","W,1223","-7.1","W,1224","-4.3","W,0313","-4.3","W,0313","-7.1","W,0205","-7.1","W,0205","","","","","    296.7"," ,W","     22.40","W","     29.71","W","     15.08","W","       170","W","      13.4","W"
"USW00000130","2023","28.95","-98.517","131.1","PLEASANTON MUNICIPAL AIRPORT, TX US","","","","","","","        60","W","        36","W","         6","W","","","","","","","","","","","       104"," ","        20"," ","        20"," ","","","  53.8"," ,W,0520, ","","","","","","","","","","","","","","","","","","","     600.0","0","     600.0"," ","    559.2"," ,W","","","","","","","","","",""
