"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00139482","1983","60.83","16.0597","348.0","VINTJARN, SW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5040.6","6","    5040.6","E","","","",""
"SWE00139482","1987","60.83","16.0597","348.0","VINTJARN, SW","       166","E","        80","E","         0","E","","","","","","","  22.5"," ,E,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","    650.7"," ,E","",""
"SWE00139482","1988","60.83","16.0597","348.0","VINTJARN, SW","       187","E","        91","E","         4","E","","","","","","","  50.9"," ,E,0702, ","","","","","","","","","","","","","","","","","","","","","","","","","    837.8"," ,E","",""
"SWE00139482","1989","60.83","16.0597","348.0","VINTJARN, SW","       168","E","        74","E","         1","E","","","","","","","  44.0"," ,E,0713, ","","","","","","","","","","","","","","","","","","","","","","","","","    666.2"," ,E","",""
"SWE00139482","1990","60.83","16.0597","348.0","VINTJARN, SW","       181","E","        90","E","         3","E","","","","","","","  29.8"," ,E,0309, ","","","","","","","","","","","","","","","","","","","","","","","","","    804.3"," ,E","",""
"SWE00139482","1991","60.83","16.0597","348.0","VINTJARN, SW","       195","E","        94","E","         3","E","","","","","","","  40.8"," ,E,0514, ","","","","","","","","","","","","","","","","","","","","","","","","","    807.8"," ,E","",""
"SWE00139482","1992","60.83","16.0597","348.0","VINTJARN, SW","       192","E","        99","E","         2","E","","","","","","","  29.9"," ,E,0425, ","","","","","","","","","","","","","","","","","","","","","","","","","    881.6"," ,E","",""
"SWE00139482","1993","60.83","16.0597","348.0","VINTJARN, SW","       174","E","        82","E","         2","E","","","","","","","  31.3"," ,E,0710, ","","","","","","","","","","","","","","","","","","","","","","","","","    723.8"," ,E","",""
"SWE00139482","1994","60.83","16.0597","348.0","VINTJARN, SW","       164","E","        78","E","         2","E","         9","E","       183","E","  -21.0","E,0224, ","  28.2"," ,E,0729, ","-2.1","E,0929","-2.6","E,1003","-4.4","E,1004","-7.4","E,1019","-12.0","E,1111","-1.1","E,0522","-2.9","E,0519","-4.4","E,0418","-7.3","E,0328","-11.7","E,0327","","","","","    703.2"," ,E","     -0.65","E"
"SWE00139482","1995","60.83","16.0597","348.0","VINTJARN, SW","       173","E","        93","E","         5","E","","","","","","","  29.9"," ,E,0621, ","","","","","","","","","","","","","","","","","","","","","","","","","    937.7"," ,E","",""
