"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00085150","1964","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       196","a","       110","a","         1","a","","","","","","","","","","","","","  30.7"," ,a,0408, ","","","","","","","","","","","","","    921.7"," ,a","","","","","",""
"ASN00085150","1965","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       188","a","        67","a","         1","a","         0","a","        15","a","         0","a","       118","a","        14","a","   -3.3","a,0626, ","  35.1"," ,a,1125, ","   39.4","a,0117, ","-1.1","a,0530","-3.3","a,0626","0.0","a,0803","    1920.8","8","    1920.8","a","    593.0"," ,a","     13.51","a","     19.00","a","      8.03","a"
"ASN00085150","1966","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       197","a","        84","a","         3","a","         0","a","         8","a","         0","a","       117","a","        16","a","   -2.5","a,0721, ","  56.6"," ,a,0214, ","   38.1","a,0126, ","0.0","a,0606","-2.5","a,0721","-0.8","a,0809","","","","","    793.6"," ,a","     13.97","a","     18.68","a","      9.25","a"
"ASN00085150","1967","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       167","a","        54","a","         2","a","","","","","","","","","","","","","  34.5"," ,a,0331, ","","","","","","","","","","","","","    539.8"," ,a","","","","","",""
"ASN00085150","1968","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       186","a","        92","a","         0","a","","","","","","","","","","","","","  22.9"," ,a,0519, ","","","","","","","","","","","","","    773.7"," ,a","","","","","",""
"ASN00085150","1969","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       170","a","        70","a","         3","a","","","","","","","","","","","","","  47.2"," ,a,0601, ","","","","","","","","","","","","","    784.0"," ,a","","","","","",""
"ASN00085150","1970","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       171","a","        80","a","         5","a","","","","","","","","","","","","","  54.4"," ,a,0320, ","","","","","","","","","","","","","    873.4"," ,a","","","","","",""
"ASN00085150","1971","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       177","a","        70","a","         3","a","","","","","","","","","","","","","  41.1"," ,a,0130, ","","","","","","","","","","","","","    687.8"," ,a","","","","","",""
"ASN00085150","1972","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       159","a","        54","a","         1","a","","","","","","","","","","","","","  32.0"," ,a,0907, ","","","","","","","","","","","","","    514.5"," ,a","","","","","",""
"ASN00085150","1973","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       172","a","        84","a","         7","a","","","","","","","","","","","","","  41.7"," ,a,0206, ","","","","","","","","","","","","","    819.9"," ,a","","","","","",""
"ASN00085150","1974","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       175","a","        87","a","         2","a","","","","","","","","","","","","","  29.8"," ,a,0516, ","","","","","","","","","","","","","    823.7"," ,a","","","","","",""
"ASN00085150","1975","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       168","a","        91","a","         0","a","","","","","","","","","","","","","  21.6"," ,a,1013, ","","","","","","","","","","","","","    796.4"," ,a","","","","","",""
"ASN00085150","1976","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       158","a","        70","a","         1","a","","","","","","","","","","","","","  36.4"," ,a,0921, ","","","","","","","","","","","","","    655.5"," ,a","","","","","",""
"ASN00085150","1977","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       138","a","        59","a","         2","a","","","","","","","","","","","","","  32.2"," ,a,0115, ","","","","","","","","","","","","","    609.2"," ,a","","","","","",""
