"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UY000001856","1964","-32.683","-57.633","80.0","YOUNG, UY","        40","I","        37","I","        12","I","","","","","",""," 106.0"," ,I,0323, ","","","","","","","    984.0"," ,I","",""
"UY000001856","1973","-32.683","-57.633","80.0","YOUNG, UY","        68","I","        59","I","        25","I","","","","","",""," 115.0"," ,I,0113, ","","","","","","","   1693.0"," ,I","",""
"UY000001856","1975","-32.683","-57.633","80.0","YOUNG, UY","        53","I","        41","I","        15","I","","","","","",""," 159.0"," ,I,0215, ","","","","","","","   1205.0"," ,I","",""
"UY000001856","1976","-32.683","-57.633","80.0","YOUNG, UY","        68","I","        60","I","        25","I","","","","","",""," 193.0"," ,I,0405, ","","","","","","","   1633.0"," ,I","",""
"UY000001856","1977","-32.683","-57.633","80.0","YOUNG, UY","        68","I","        60","I","        23","I","","","","","",""," 115.0"," ,I,0208, ","","","","","","","   1681.0"," ,I","",""
"UY000001856","1978","-32.683","-57.633","80.0","YOUNG, UY","        77","I","        70","I","        28","I","","","","","",""," 205.0"," ,I,0318, ","","","","","","","   2263.0"," ,I","",""
"UY000001856","1979","-32.683","-57.633","80.0","YOUNG, UY","        58","I","        51","I","        18","I","","","","","","","  85.0"," ,I,0305, ","","","","","","","   1173.0"," ,I","",""
"UY000001856","1981","-32.683","-57.633","80.0","YOUNG, UY","        71","I","        58","I","        15","I","","","","","",""," 143.0"," ,I,0201, ","","","","","","","   1178.0"," ,I","",""
"UY000001856","1983","-32.683","-57.633","80.0","YOUNG, UY","        62","I","        54","I","        16","I","","","","","",""," 131.0"," ,I,0828, ","","","","","","","   1235.0"," ,I","",""
"UY000001856","1984","-32.683","-57.633","80.0","YOUNG, UY","        81","I","        70","I","        23","I","","","","","","","  85.0"," ,I,0211, ","","","","","","","   1658.0"," ,I","",""
"UY000001856","1988","-32.683","-57.633","80.0","YOUNG, UY","","","","","","","         0","S","        15","S","   -3.3","S,0711, ","","","-0.2","S,0601","-2.6","S,0707","-1.1","S,0827","","","     11.29","S"
"UY000001856","1995","-32.683","-57.633","80.0","YOUNG, UY","        67","I","        52","I","        13","I","","","","","",""," 106.0"," ,I,0514, ","","","","","","","   1070.0"," ,I","",""
"UY000001856","2008","-32.683","-57.633","80.0","YOUNG, UY","","","","","","","         0","S","         3","S","   -1.5","S,0530, ","","","-1.5","S,0530","","","","","","","     12.93","S"
