"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00261311","1966","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261311","1967","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","        55","0","        34","0","         0","0","","","","","","","        10"," ","","","","","  23.9"," ,0,0121, ","","","","","","","","","","","","","","","","","","","","","","","","","    313.4"," ,0","","","",""
"USC00261311","1968","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","        91","0","        47","0","         0","0","        11","0","","","","","        14"," ","","","    76"," ,0,1226,+","  23.4"," ,0,0820, ","","","","","","","","","","","","","","","","","","","","","","","","","    379.8"," ,0","      578"," ,0","",""
"USC00261311","1969","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","        83","0","        45","0","         2","0","        19","0","         0","0","       139","0","         1"," ","  -15.0","0,0129, ","   279"," ,0,1225, ","  35.6"," ,0,1225, ","-1.1","0,1003","-3.3","0,1004","-4.4","0,1011","-6.7","0,1118","-10.0","0,1227","-5.0","0,0628","-5.0","0,0628","-5.0","0,0628","-6.7","0,0324","-11.1","0,0313","","","","","    466.9"," ,0","     1554"," ,0","      3.52","0"
"USC00261311","1970","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","        91","0","        51","0","         1","0","         8","0","","","","","         8"," ","","","   102"," ,0,0417, ","  27.2"," ,0,0628, ","","","","","","","","","","","","","","","","","","","","","    2951.5","5","    2951.5"," ","    492.2"," ,0","      666"," ,0","",""
"USC00261311","1971","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261311","1972","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","","","","","","","","","","","","","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261311","1974","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","        32","0","        25","0","         1","0","","","","","","","","","","","","","  50.8"," ,0,0302, ","","","","","","","","","","","","","","","","","","","","","","","","","    241.6"," ,0","","","",""
"USC00261311","1975","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261311","1976","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261311","1977","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","","","","","","","","","","","","","        12"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261311","1978","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","        68","0","        45","0","         1","0","","","","","","","         4"," ","","","","","  36.6"," ,0,1129, ","","","","","","","","","","","","","","","","","","","","","","","","","    382.0"," ,0","","","",""
"USC00261311","1979","40.38333","-117.46667","1655.1","BUFFALO RANCH, NV US","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
