"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000087078","1973","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2314.6","","    2314.6","G","         0","G","         2","G","         0","G","       320","G","       140","G","   -1.5","G,0828, ","   42.8","G,0131,+","-0.4","G,0723","","","","","-1.5","G,0828","","","","","     378.9","9","     378.9","G","     23.12","G","     29.40","G","     16.84","G"
"AR000087078","1974","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1830.1","","    1830.1","G","         0","G","         1","G","         0","G","       318","G","       125","G","   -0.1","G,0622, ","   43.1","G,1125, ","-0.1","G,0622","","","","","","","","","","","     301.0","0","     301.0","G","     22.70","G","     29.23","G","     16.18","G"
"AR000087078","1975","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2049.0","","    2049.0","G","         0","G","         5","G","         0","G","       326","G","       141","G","   -5.9","G,0719, ","   41.5","G,0214, ","-3.1","G,0717","-3.1","G,0717","-4.6","G,0718","","","","","","","     259.9","9","     259.9","G","     23.35","G","     29.73","G","     16.95","G"
"AR000087078","1976","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1944.9","","    1944.9","G","         0","G","         6","G","         0","G","       323","G","       156","G","   -5.0","G,0710, ","   40.3","G,0125, ","-1.6","G,0628","-3.7","G,0702","-5.0","G,0710","","","","","","","     331.7","7","     331.7","G","     22.91","G","     29.88","G","     15.95","G"
"AR000087078","1977","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2131.6","","    2131.6","G","         0","G","         3","G","         0","G","       330","G","       155","G","   -0.7","G,0814, ","   41.5","G,1101, ","-0.2","G,0625","","","","","-0.1","G,0818","","","","","     241.1","1","     241.1","G","     24.02","G","     30.31","G","     17.74","G"
"AR000087078","1978","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2294.2","","    2294.2","G","         0","G","         5","G","         0","G","       340","G","       166","G","   -3.9","G,0815, ","   40.2","G,0913, ","-0.2","G,0601","","","","","-0.1","G,0831","-3.9","G,0815","","","     224.6","6","     224.6","G","     24.03","G","     30.97","G","     17.08","G"
"AR000087078","1979","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2172.1","","    2172.1","G","         0","G","         2","G","         0","G","       322","G","       145","G","   -3.7","G,0720, ","   42.6","G,1208, ","-0.7","G,0531","-3.7","G,0720","","","","","","","","","     253.3","3","     253.3","G","     23.45","G","     29.65","G","     17.25","G"
"AR000087078","1980","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2336.2","","    2336.2","G","         0","G","         3","G","         0","G","       320","G","       147","G","   -1.8","G,0703, ","   42.6","G,1027, ","-1.8","G,0703","","","","","0.0","G,0916","","","","","     278.5","5","     278.5","G","     23.28","G","     29.47","G","     17.09","G"
"AR000087078","1981","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1958.5","","    1958.5","G","         0","G","         7","G","         0","G","       327","G","       139","G","   -4.4","G,0719, ","   40.7","G,1029, ","-0.2","G,0618","-4.4","G,0719","-4.4","G,0719","-1.4","G,0915","","","","","     296.0","0","     296.0","G","     23.14","G","     29.30","G","     16.99","G"
"AR000087078","1982","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1941.0","","    1941.0","G","         0","G","         0","G","         0","G","       321","G","       111","G","    1.1","G,0629, ","   40.5","G,0116, ","","","","","","","","","","","","","     267.7","7","     267.7","G","     23.09","G","     28.82","G","     17.35","G"
"AR000087078","1983","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2050.6","","    2050.6","G","         0","G","         3","G","         0","G","       305","G","       139","G","   -0.5","G,0717, ","   40.9","G,1009, ","-0.5","G,0717","","","","","-0.4","G,0802","","","","","     434.9","9","     434.9","G","     22.56","G","     28.89","G","     16.23","G"
"AR000087078","1984","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2065.8","","    2065.8","G","         0","G","         4","G","         0","G","       311","G","       139","G","   -3.1","G,0826, ","   41.8","G,0308, ","-1.7","G,0627","","","","","-0.9","G,0827","-3.1","G,0826","","","     366.3","3","     366.3","G","     23.14","G","     29.15","G","     17.12","G"
"AR000087078","1985","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2080.9","","    2080.9","G","         0","G","         6","G","         0","G","       328","G","       136","G","   -3.5","G,0706, ","   42.2","G,1209, ","-2.9","G,0609","-2.9","G,0609","","","","","","","","","     278.7","7","     278.7","G","     23.28","G","     29.55","G","     17.02","G"
"AR000087078","1986","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2150.6","","    2150.6","G","         0","G","         2","G","         0","G","       330","G","       150","G","   -0.7","G,0722, ","   41.6","G,0108, ","-0.7","G,0722","","","","","","","","","","","     219.8","8","     219.8","G","     23.64","G","     30.10","G","     17.18","G"
"AR000087078","1987","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1967.8","","    1967.8","G","         0","G","         6","G","         0","G","       323","G","       156","G","   -3.3","G,0617, ","   43.1","G,1011, ","-2.1","G,0616","-3.3","G,0617","","","-0.2","G,0807","","","","","     331.2","2","     331.2","G","     22.94","G","     29.78","G","     16.10","G"
"AR000087078","1988","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1982.9","","    1982.9","G","         0","G","        11","G","         0","G","       314","G","       169","G","   -4.6","G,0724, ","   42.7","G,1111,+","-3.0","G,0531","-3.0","G,0531","-4.6","G,0724","","","","","","","     391.5","5","     391.5","G","     22.90","G","     29.98","G","     15.82","G"
"AR000087078","1989","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2066.3","","    2066.3","G","         0","G","         4","G","         0","G","       338","G","       147","G","   -3.0","G,0706, ","   40.7","G,1223, ","-0.7","G,0705","-3.0","G,0706","","","","","","","","","     277.2","2","     277.2","G","     22.78","G","     29.66","G","     15.91","G"
