"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087593","2006","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","         6","S","   -2.0","S,0801, ","0.0","S,0611","","","-1.6","S,0821","","","     11.00","S"
"ARM00087593","2007","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","        17","S","   -3.4","S,0728,+","-0.4","S,0528","-3.4","S,0530","","","","","     10.37","S"
"ARM00087593","2008","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","        15","S","   -2.7","S,0601, ","-0.6","S,0529","-2.2","S,0530","-0.2","S,0818","-2.5","S,0803","     11.11","S"
"ARM00087593","2011","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","        18","S","   -3.8","S,0702, ","-0.6","S,0604","-3.8","S,0702","-0.2","S,0823","-2.2","S,0821","     10.66","S"
"ARM00087593","2014","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","         8","S","   -2.0","S,0614, ","-2.0","S,0614","","","","","","","     11.44","S"
"ARM00087593","2015","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","        10","S","   -3.6","S,0619, ","-1.9","S,0618","-3.6","S,0619","","","","","     11.32","S"
"ARM00087593","2017","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","         7","S","   -2.2","S,0612, ","-0.1","S,0605","-2.2","S,0612","","","","","     11.99","S"
"ARM00087593","2018","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","         9","S","   -2.9","S,0625,+","-2.2","S,0616","-2.2","S,0616","-1.6","S,0821","-2.2","S,0801","     11.55","S"
"ARM00087593","2019","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","        12","S","   -3.8","S,0814, ","-0.5","S,0704","-2.6","S,0706","-1.0","S,0904","-3.8","S,0814","     10.86","S"
"ARM00087593","2020","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","        10","S","   -1.6","S,0820,+","-0.4","S,0602","","","-0.4","S,0921","","","     10.66","S"
"ARM00087593","2022","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","        17","S","   -2.4","S,0603, ","-0.2","S,0519","-2.2","S,0602","-0.9","S,0903","","","     10.27","S"
"ARM00087593","2023","-34.972","-57.895","21.9","LA PLATA, AR","         0","S","         8","S","   -2.5","S,0718, ","-0.2","S,0614","-2.2","S,0618","0.0","S,0827","","","     11.54","S"
