"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053803","2011","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","","","","","","","","","","","","","","","","","","","","","","","","","        41"," ","         4"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053803","2012","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","       3.5","W","   1065.5","","    1065.5","W","        90","W","        52","W","         2","W","        0","","         0","W","        68","W","         3","W","       200","W","        70","W","       144"," ","        12"," ","        49"," ","  -10.5","W,0114, ","     0"," ,W,1231,+","  70.1"," ,W,0702, ","   41.7","W,0629,+","0.0","W,1031","-2.7","W,1115","-6.6","W,1222","-7.1","W,1230","","","-1.0","W,0305","-2.7","W,0225","-4.9","W,0220","-7.7","W,0212","-10.5","W,0114","","","","","    613.1"," ,W","     16.05","W","     22.08","W","     10.02","W","       260","W","","","      22.8","W","",""
"USW00053803","2013","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","       3.3","W","    821.5","","     821.5","W","       106","W","        61","W","        10","W","","","         0","W","        99","W","        17","W","       175","W","        32","W","       177"," ","         9"," ","        49"," ","  -13.8","W,1212, ","","","  71.6"," ,W,0113, ","   36.1","W,0830, ","-1.0","W,1024","-4.3","W,1025","-7.1","W,1113","-7.1","W,1113","-9.3","W,1127","-0.5","W,0402","-3.8","W,0327","-4.9","W,0314","-7.1","W,0217","-11.0","W,0201","    2289.9","9","    2289.9","W","   1000.8"," ,W","     13.67","W","     18.94","W","      8.39","W","       210","W","       250","W","      22.8","W","      25.9","W"
"USW00053803","2014","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","","","    793.0","","     793.0","W","       106","W","        60","W","         8","W","","","         2","W","        97","W","        27","W","       178","W","        29","W","       183"," ","        12"," ","        44"," ","  -19.9","W,0106, ","","","  77.0"," ,W,0403, ","   35.6","W,0726,+","-3.8","W,1102","-3.8","W,1102","-5.5","W,1114","-7.7","W,1117","-12.7","W,1118","-1.0","W,0416","-7.7","W,0326","-7.7","W,0326","-7.7","W,0326","-10.5","W,0304","    2819.8","8","    2819.8","W","    937.3"," ,W","     12.86","W","     18.26","W","      7.45","W","","","","","","","",""
"USW00053803","2015","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","       3.2","W","    904.8","","     904.8","W","       109","W","        77","W","        19","W","        0","","         5","W","        76","W","        20","W","       191","W","        38","W","       189"," ","        21"," ","        40"," ","  -22.1","W,0219,+","     0"," ,W,1231,+","  70.1"," ,W,1027, ","   35.6","W,0904, ","-1.0","W,1018","-3.8","W,1122","","","","","","","-2.7","W,0329","-2.7","W,0329","-6.6","W,0307","-18.8","W,0306","-18.8","W,0306","    2579.9","9","    2579.9","W","   1296.8"," ,W","     14.64","W","     20.02","W","      9.26","W","       190","W","","","      19.7","W","",""
"USW00053803","2016","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","","","","","","","","","","","","","","","","","","","","","","","","","       155"," ","        23"," ","        56"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1951.0","0","    1951.0","W","","","","","","","","","","","","","","","",""
"USW00053803","2017","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","       3.5","W","    875.3","","     875.3","W","       106","W","        68","W","         9","W","        0","","         0","W","        66","W","         8","W","       201","W","        30","W","       142"," ","        18"," ","        59"," ","  -15.5","W,0108, ","     0"," ,W,1231,+","  72.6"," ,W,1008, ","   35.6","W,0722,+","0.0","W,1031","-2.7","W,1119","-4.9","W,1207","-8.8","W,1226","-13.8","W,1227","-1.6","W,0319","-6.0","W,0316","-6.0","W,0316","-8.2","W,0204","-15.5","W,0108","","","","","    939.7"," ,W","     15.25","W","     20.71","W","      9.78","W","       310","W","       160","W","      21.0","W","      38.0","W"
"USW00053803","2018","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","       3.4","W","   1094.7","","    1094.7","W","       136","W","        82","W","        14","W","","","         0","W","        83","W","        16","W","       174","W","        53","W","       172"," ","        15"," ","        54"," ","  -17.7","W,0106,+","","","  60.2"," ,W,0908, ","   35.6","W,0920, ","0.0","W,1109","-5.5","W,1110","-5.5","W,1110","-8.2","W,1127","","","-1.6","W,0417","-2.7","W,0405","-4.9","W,0313","-7.1","W,0208","-9.9","W,0205","    2414.3","3","    2414.3","W","   1258.9"," ,W","     14.56","W","     19.65","W","      9.47","W","       290","W","       290","W","      19.2","W","      23.7","W"
"USW00053803","2019","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","       3.3","W","    976.2","","     976.2","W","       131","W","        86","W","        12","W","","","         0","W","        78","W","        12","W","       189","W","        56","W","       168"," ","        11"," ","        54"," ","  -15.5","W,0130, ","","","  81.8"," ,W,1130, ","   36.1","W,1002,+","-1.6","W,1031","-3.8","W,1101","-11.0","W,1112","-11.0","W,1112","-11.0","W,1112","-2.1","W,0401","-3.8","W,0307","-8.2","W,0306","-8.2","W,0306","-11.0","W,0305","    2341.5","5","    2341.5","W","   1198.8"," ,W","     14.69","W","     20.20","W","      9.18","W","       320","W","       330","W","      20.1","W","      24.1","W"
"USW00053803","2020","37.75","-87.16667","122.8","OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US","       3.2","W","    854.5","","     854.5","W","       123","W","        77","W","        14","W","","","         0","W","        63","W","         4","W","       176","W","        31","W","       167"," ","        14"," ","        51"," ","  -11.0","W,0214, ","","","  89.7"," ,W,0903, ","   34.4","W,0707,+","-0.5","W,1101","-2.7","W,1102","-5.5","W,1201","-7.1","W,1202","-10.5","W,1225","-1.0","W,0415","-5.5","W,0307","-5.5","W,0307","-9.3","W,0215","-9.3","W,0215","    2224.3","3","    2224.3","W","   1322.3"," ,W","     14.69","W","     19.96","W","      9.41","W","       290","W","       290","W","      17.0","W","      20.1","W"
