"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00020158","1956","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","     42.7","","      42.7","m","        94","m","        67","m","         8","m","         0","m","         3","m","         0","m","       132","m","         0","m","   -1.7","m,0113,+","  78.5"," ,m,0617, ","   28.9","m,0419,+","","","","","-0.6","m,0114","    1198.7","7","    1198.7","m","    947.4"," ,m","     14.99","m","     19.98","m","     10.00","m"
"MXN00020158","1957","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","    105.3","","     105.3","m","        97","m","        50","m","         7","m","         0","m","         0","m","         0","m","       201","m","         0","m","    2.8","m,1227,+","  32.5"," ,m,0823, ","   31.7","m,1008, ","","","","","","","    1088.4","4","    1088.4","m","    607.1"," ,m","     16.20","m","     21.92","m","     10.47","m"
"MXN00020158","1958","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","    165.4","","     165.4","m","       118","m","        76","m","        16","m","         0","m","         0","m","         0","m","       200","m","         4","m","    1.1","m,0109, ","  91.9"," ,m,0801, ","   35.0","m,0329, ","","","","","","","     910.1","1","     910.1","m","   1355.1"," ,m","     16.40","m","     22.01","m","     10.79","m"
"MXN00020158","1959","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","     61.6","","      61.6","m","        90","m","        67","m","        11","m","         0","m","         0","m","         0","m","       204","m","         0","m","    2.8","m,1222,+","  57.9"," ,m,1024, ","   30.6","m,0418, ","","","","","","","     880.9","9","     880.9","m","    981.6"," ,m","     15.96","m","     21.66","m","     10.25","m"
"MXN00020158","1960","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","    134.6","","     134.6","m","       101","m","        72","m","        12","m","         0","m","         0","m","         0","m","       186","m","         0","m","    1.1","m,1225, ","  67.8"," ,m,0619, ","   31.1","m,0505,+","","","","","","","     910.6","6","     910.6","m","   1236.7"," ,m","     16.16","m","     21.71","m","     10.62","m"
"MXN00020158","1961","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","     79.1","","      79.1","m","        96","m","        67","m","         9","m","         0","m","         1","m","         0","m","       171","m","         0","m","    0.0","m,0212, ","  65.8"," ,m,0725, ","   31.7","m,0416, ","","","","","0.0","m,0212","     948.7","7","     948.7","m","    875.6"," ,m","     15.67","m","     21.36","m","      9.99","m"
"MXN00020158","1962","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","     90.7","","      90.7","m","        82","m","        45","m","         6","m","         0","m","         0","m","         0","m","       202","m","         0","m","    0.6","m,0130,+","  73.7"," ,m,0901, ","   30.0","m,0410,+","","","","","","","    1073.4","4","    1073.4","m","    649.1"," ,m","     15.81","m","     21.89","m","      9.73","m"
"MXN00020158","1963","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","     45.9","","      45.9","m","       100","m","        67","m","         8","m","         0","m","         1","m","         0","m","       179","m","         0","m","    0.0","m,0205, ","  63.8"," ,m,0505, ","   28.9","m,0423,+","","","","","0.0","m,0205","    1000.7","7","    1000.7","m","    864.0"," ,m","     15.53","m","     21.49","m","      9.56","m"
"MXN00020158","1964","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","     70.9","","      70.9","m","       118","m","        73","m","         4","m","         0","m","         0","m","         0","m","       179","m","         0","m","    0.6","m,0101, ","  39.6"," ,m,1020, ","   31.1","m,0406, ","","","","","","","    1101.4","4","    1101.4","m","    723.7"," ,m","     15.58","m","     21.46","m","      9.70","m"
"MXN00020158","1965","17.7167","-96.8333","2114.7","SAN JUAN TEPEUXILA, MX","     41.7","","      41.7","m","        99","m","        53","m","         3","m","         0","m","         1","m","         0","m","       175","m","         0","m","    0.0","m,0226, ","  52.8"," ,m,1001, ","   30.6","m,0426, ","","","","","0.0","m,0226","    1128.4","4","    1128.4","m","    615.9"," ,m","     15.34","m","     20.98","m","      9.69","m"
