"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049047","1967","34.26667","-118.28333","554.7","TUJUNGA, CA US","    739.2","","     739.2","0","        42","0","        30","0","         9","0","        0","","         0","0","         0","0","         4","0","         0","0","       235","0","        49","0","         5"," ","   -2.8","0,1220, ","     0"," ,0,1231,+","     0","T,0,1219, ","  76.5"," ,0,1121, ","   40.6","0,0830, ","-2.8","0,1220","-2.8","0,1220","-0.6","0,0408","","","","","","","    688.6"," ,0","        0","T,0","     17.12","0","     23.74","0","     10.51","0"
"USC00049047","1968","34.26667","-118.28333","554.7","TUJUNGA, CA US","    613.5","","     613.5","0","        28","0","        19","0","         0","0","        0","","         0","0","         0","0","         5","0","         0","0","       234","0","        47","0","         2"," ","   -3.9","0,1221, ","     0"," ,0,1231,+","     0","T,0,1220, ","  23.1"," ,0,0213, ","   37.8","0,0909, ","-3.9","0,1221","-3.9","0,1221","-0.6","0,0129","","","     966.9","9","     966.9","0","    179.8"," ,0","        0","T,0","     17.19","0","     23.75","0","     10.63","0"
"USC00049047","1969","34.26667","-118.28333","554.7","TUJUNGA, CA US","    674.0","","     674.0","0","        43","0","        28","0","        14","0","        0","","         0","0","         0","0","         4","0","         0","0","       238","0","        67","0","         2"," ","   -1.7","0,0129, ","     0"," ,0,1231,+","     0","T,0,0128, "," 119.9"," ,0,0223, ","   40.6","0,0821, ","0.0","0,1230","","","-0.6","0,0311","","","    1221.1","1","    1221.1","0","    971.1"," ,0","        0","T,0","     16.96","0","     24.00","0","      9.92","0"
"USC00049047","1970","34.26667","-118.28333","554.7","TUJUNGA, CA US","","","","","        42","0","        27","0","         6","0","        0","","         0","0","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","    13"," ,0,1219,+"," 192.3"," ,0,1129, ","","","","","","","","","","","    1033.6","6","    1033.6","0","    668.7"," ,0","       26"," ,0","","","","","",""
"USC00049047","1971","34.26667","-118.28333","554.7","TUJUNGA, CA US","    767.4","","     767.4","0","        32","0","        22","0","         4","0","        0","","         0","0","         0","0","        13","0","         0","0","       216","0","        77","0","         4"," ","   -2.2","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.6"," ,0,1224, ","   44.4","0,0913, ","-1.1","0,1029","","","-0.6","0,0302","-2.2","0,0105","","","","","    340.1"," ,0","        0"," ,0","     16.50","0","     23.93","0","      9.08","0"
"USC00049047","1972","34.26667","-118.28333","554.7","TUJUNGA, CA US","    684.0","","     684.0","0","        25","0","        10","0","         1","0","        0","","         0","0","         0","0","         9","0","         0","0","       261","0","        63","0","         4"," ","   -3.9","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.5"," ,0,1116, ","   42.8","0,0728, ","-3.9","0,1209","-3.9","0,1209","0.0","0,0128","","","    1153.0","0","    1153.0","0","    144.7"," ,0","        0"," ,0","     17.26","0","     24.85","0","      9.66","0"
"USC00049047","1973","34.26667","-118.28333","554.7","TUJUNGA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","    1353.8","8","    1353.8"," ","","","","","","","","","",""
"USC00049047","1974","34.26667","-118.28333","554.7","TUJUNGA, CA US","    643.2","","     643.2","0","        41","0","        23","0","         7","0","        0","","         0","0","         0","0","         1","0","         0","0","       229","0","        70","0","         6"," ","   -1.7","0,0103, ","     0"," ,0,1231,+","     0","T,0,0103, ","  97.5"," ,0,0107, ","   38.3","0,0628, ","","","","","-1.7","0,0103","","","","","","","    549.9"," ,0","        0","T,0","     16.73","0","     23.95","0","      9.51","0"
"USC00049047","1975","34.26667","-118.28333","554.7","TUJUNGA, CA US","    521.5","","     521.5","0","        45","0","        21","0","         3","0","        0","","         0","0","         0","0","         8","0","         0","0","       219","0","        49","0","         5"," ","   -1.7","0,0129,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.7"," ,0,0306, ","   38.3","0,0807, ","0.0","0,1130","","","-1.1","0,0407","","","    1356.1","1","    1356.1","0","    326.5"," ,0","        0"," ,0","     16.11","0","     23.35","0","      8.86","0"
"USC00049047","1976","34.26667","-118.28333","554.7","TUJUNGA, CA US","    532.3","","     532.3","0","        39","0","        26","0","         6","0","        0","","         0","0","         0","0","         5","0","         0","0","       254","0","        41","0","         3"," ","   -1.1","0,0304,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.1"," ,0,0206, ","   38.9","0,0829,+","","","","","-1.1","0,0304","","","    1138.3","3","    1138.3","0","    453.3"," ,0","        0"," ,0","     16.97","0","     23.87","0","     10.08","0"
"USC00049047","1977","34.26667","-118.28333","554.7","TUJUNGA, CA US","    631.5","","     631.5","0","        36","0","        25","0","        10","0","        0","","         0","0","         0","0","         1","0","         0","0","       247","0","        61","0","         1"," ","    0.0","0,0315, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  75.7"," ,0,1228, ","   38.9","0,0725,+","","","","","0.0","0,0315","","","    1031.9","9","    1031.9","0","    535.5"," ,0","        0"," ,0","     17.27","0","     24.67","0","      9.86","0"
