"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NG000061096","1958","13.233","11.983","337.0","MAINE SOROA, NG","   3471.7","","    3471.7","I","         0","I","         0","I","         0","I","       363","I","       310","I","    7.8","I,0109, ","   45.0","I,0415, ","       0.0","0","       0.0","I","     27.93","I","     36.40","I","     19.45","I"
"NG000061096","1995","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","I","       332","I","       253","I","","","   44.8","I,0524, ","","","","","","","     35.99","I","",""
"NG000061096","2010","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       348","S","       306","S","","","   46.2","S,0419, ","","","","","","","     37.50","S","",""
"NG000061096","2011","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       348","S","       295","S","","","   45.2","S,0507, ","","","","","","","     37.00","S","",""
"NG000061096","2012","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       356","S","       300","S","","","   45.6","S,0428, ","","","","","","","     36.67","S","",""
"NG000061096","2013","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       357","S","       309","S","","","   45.3","S,0407, ","","","","","","","     37.44","S","",""
"NG000061096","2016","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       359","S","       307","S","","","   46.0","S,0510, ","","","","","","","     37.21","S","",""
"NG000061096","2017","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       358","S","       304","S","","","   45.4","S,0529, ","","","","","","","     36.76","S","",""
"NG000061096","2018","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       356","S","       280","S","","","   46.0","S,0524, ","","","","","","","     36.86","S","",""
"NG000061096","2019","13.233","11.983","337.0","MAINE SOROA, NG","","","","","","","","","         0","S","       353","S","       286","S","","","   45.5","S,0506, ","","","","","","","     36.78","S","",""
