"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00093063","1960","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","","","        55"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093063","1961","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","    604.2","","     604.2","0","        65","0","        28","0","         1","0","        1","","         1","0","         0","0","       110","0","         0","0","       209","0","        59","0","         9"," ","","","        65"," ","   -8.3","0,0206, ","    25"," ,0,0125, ","   104"," ,0,1114, ","  38.1"," ,0,0615, ","   38.3","0,0808, ","-2.2","0,1103","-2.2","0,1103","-5.6","0,1115","","","","","0.0","0,0427","-2.2","0,0331","-4.4","0,0320","-7.2","0,0301","","","    2134.5","5","    2134.5","0","    274.0"," ,0","      150"," ,0","     14.04","0","     22.20","0","      5.88","0","","","",""
"USW00093063","1962","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","    579.9","","     579.9","0","        64","0","        35","0","         2","0","        7","","         4","0","         1","0","        92","0","         2","0","       220","0","        45","0","         2"," ","","","","","  -22.8","0,0111, ","    76"," ,0,0115,+","    71"," ,0,0113, ","  37.3"," ,0,0704, ","   36.1","0,0808, ","-1.7","0,1108","-2.2","0,1119","-5.6","0,1227","-7.2","0,1229","","","-1.7","0,0331","-2.8","0,0321","-5.6","0,0316","-8.9","0,0315","-8.9","0,0315","    2238.1","1","    2238.1","0","    346.5"," ,0","      200"," ,0","     14.24","0","     22.35","0","      6.14","0","","","",""
"USW00093063","1963","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","    565.3","","     565.3","0","        58","0","        26","0","         1","0","        4","","         2","0","         0","0","       111","0","         2","0","       223","0","        39","0","","","","","         2"," ","  -16.7","0,0120, ","   102"," ,0,0212, ","    86"," ,0,0211, ","  52.8"," ,0,0803, ","   37.2","0,0630, ","-0.6","0,1107","-2.8","0,1122","-5.6","0,1126","-8.3","0,1214","-9.4","0,1215","0.0","0,0423","-2.8","0,0419","-6.1","0,0319","-6.7","0,0305","-11.1","0,0214","    2029.5","5","    2029.5","0","    256.0"," ,0","      172"," ,0","     14.16","0","     22.72","0","      5.60","0","","","",""
"USW00093063","1964","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","    592.7","","     592.7","0","        50","0","        21","0","         1","0","        4","","         2","0","         0","0","       127","0","         0","0","       203","0","        48","0","","","","","         1"," ","  -15.6","0,0113, ","    25"," ,0,1219,+","    76"," ,0,0404, ","  43.9"," ,0,0923, ","   37.8","0,0704, ","-0.6","0,1104","-2.8","0,1105","-5.0","0,1120","-7.8","0,1122","-12.2","0,1214","-0.6","0,0508","-2.8","0,0426","-5.6","0,0321","-9.4","0,0309","-9.4","0,0309","    2370.2","2","    2370.2","0","    259.6"," ,0","      197"," ,0","     13.22","0","     21.42","0","      5.02","0","","","",""
"USW00093063","1965","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","    524.8","","     524.8","0","        69","0","        36","0","         0","0","        3","","         4","0","         0","0","        99","0","         0","0","       202","0","        39","0","","","","","         1"," ","  -12.2","0,0304,+","   102"," ,0,1215, ","    76"," ,0,1214, ","  21.8"," ,0,1209, ","   36.7","0,0629, ","0.0","0,1017","-2.2","0,1127","-5.0","0,1129","-6.7","0,1219","","","0.0","0,0416","-3.9","0,0326","-6.7","0,0306","-6.7","0,0306","-9.4","0,0305","    2244.7","7","    2244.7","0","    290.0"," ,0","      231"," ,0","     13.77","0","     21.75","0","      5.80","0","","","",""
"USW00093063","1966","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","    579.3","","     579.3","0","        60","0","        25","0","         1","0","        8","","         3","0","         0","0","       100","0","         0","0","       213","0","        47","0","","","","","","","  -12.8","0,1229, ","   127"," ,0,0119, ","   122"," ,0,0118, ","  33.8"," ,0,0628, ","   36.7","0,0706, ","0.0","0,1015","-2.8","0,1102","-5.6","0,1127","-6.7","0,1209","-10.0","0,1210","0.0","0,0328","-2.8","0,0323","-7.8","0,0305","-7.8","0,0305","-11.7","0,0304","    2178.3","3","    2178.3","0","    207.6"," ,0","      200"," ,0","     13.77","0","     21.59","0","      5.94","0","","","",""
"USW00093063","1967","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","    493.6","","     493.6","0","        54","0","        31","0","         1","0","       11","","         5","0","         0","0","        98","0","         3","0","       218","0","        21","0","","","","","","","  -14.4","0,0108, ","   203"," ,0,1217, ","   155"," ,0,1215, ","  26.9"," ,0,0804, ","   35.6","0,0701, ","0.0","0,1016","-4.4","0,1030","-4.4","0,1030","-6.7","0,1209","-10.0","0,1221","-3.9","0,0502","-3.9","0,0502","-5.6","0,0308","-6.7","0,0306","-12.2","0,0208","    2053.6","6","    2053.6","0","    260.5"," ,0","      331"," ,0","     13.89","0","     21.67","0","      6.12","0","","","",""
"USW00093063","1968","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2236.5","5","    2236.5","0","","","","","","","","","","","","","",""
"USW00093063","2011","32.63333","-108.16667","1637.7","SILVER CITY GRANT CO AIRPORT, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
