"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00043510","1959","41.86667","-120.5","1491.1","GOOSE LAKE WEST, CA US","","","","","","","","","","","","","         5"," ","","","","","","","","","",""
"USC00043510","1960","41.86667","-120.5","1491.1","GOOSE LAKE WEST, CA US","        60","0","        44","0","         1","0","","","         7","0","","","         6"," ","","","   178"," ,0,1126, ","  30.2"," ,0,0207, ","    397.8"," ,0","      737"," ,0"
"USC00043510","1961","41.86667","-120.5","1491.1","GOOSE LAKE WEST, CA US","        60","0","        49","0","         0","0","        9","","         3","0","","","        10"," ","   178"," ,0,1218,+","   127"," ,0,0217, ","  17.8"," ,0,1219, ","    333.6"," ,0","      458"," ,0"
"USC00043510","1962","41.86667","-120.5","1491.1","GOOSE LAKE WEST, CA US","        52","0","        45","0","         3","0","","","         9","0","         1"," ","        14"," ","","","   203"," ,0,0118, ","  39.4"," ,0,1013, ","    441.2"," ,0","      914"," ,0"
