"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017210","2002","37.917","41.95","896.0","SIIRT, TU","","","","","","","","","","","         5","S","       173","S","        83","S","","","","","   40.3","S,0721, ","","","","","","","","","     21.71","S","",""
"TUM00017210","2003","37.917","41.95","896.0","SIIRT, TU","","","","","","","","","","","         0","S","       180","S","        88","S","","","","","   40.9","S,0811, ","","","","","","","","","     21.60","S","",""
"TUM00017210","2004","37.917","41.95","896.0","SIIRT, TU","","","","","","","","","","","         4","S","       179","S","       100","S","","","","","   39.5","S,0730, ","","","","","","","","","     21.58","S","",""
"TUM00017210","2005","37.917","41.95","896.0","SIIRT, TU","","","","","","","","","","","         1","S","       185","S","        94","S","","","","","   42.3","S,0809, ","","","","","","","","","     22.42","S","",""
"TUM00017210","2010","37.917","41.95","896.0","SIIRT, TU","","","","","","","","","","","         0","S","       201","S","       108","S","","","","","   42.0","S,0728, ","","","","","","","","","     24.30","S","",""
"TUM00017210","2011","37.917","41.95","896.0","SIIRT, TU","        99","S","        68","S","         3","S","","","","","         1","S","       176","S","        99","S","","","  49.8"," ,S,0423, ","   44.0","S,0728, ","","","","","","","    694.7"," ,S","     21.51","S","",""
"TUM00017210","2012","37.917","41.95","896.0","SIIRT, TU","       108","S","        68","S","         3","S","","","","","         0","S","       196","S","       107","S","","","  31.5"," ,S,1208,+","   42.0","S,0723, ","","","","","","","    658.8"," ,S","     22.32","S","",""
"TUM00017210","2013","37.917","41.95","896.0","SIIRT, TU","        96","S","        61","S","         6","S","","","","","","","","","","","","","  39.4"," ,S,0317, ","","","","","","","","","    707.1"," ,S","","","",""
"TUM00017210","2014","37.917","41.95","896.0","SIIRT, TU","       104","S","        62","S","         5","S","","","","","","","","","","","","","  29.2"," ,S,1127, ","","","","","","","","","    660.3"," ,S","","","",""
"TUM00017210","2015","37.917","41.95","896.0","SIIRT, TU","       104","S","        57","S","         6","S","","","","","","","","","","","","","  70.9"," ,S,1027, ","","","","","","","","","    680.5"," ,S","","","",""
"TUM00017210","2018","37.917","41.95","896.0","SIIRT, TU","","","","","","","         0"," ","         3","S","","","","","","","   -0.9","S,0131,+","","","","","-0.6","S,1225","-0.9","S,0131","","","","","","","     13.75","S"
"TUM00017210","2019","37.917","41.95","896.0","SIIRT, TU","","","","","","","         0"," ","        10","S","","","","","","","   -4.3","S,0111, ","","","","","","","-0.1","S,0227","-3.0","S,0121","","","","","     12.70","S"
