"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00365440","2022","40.78298","-75.1825","69.5","MARTINS CREEK, PA US","        11"," ","         6"," ","",""
"USC00365440","2023","40.78298","-75.1825","69.5","MARTINS CREEK, PA US","        50"," ","        16"," ","   1600.9"," ,7"
"USC00365440","2024","40.78298","-75.1825","69.5","MARTINS CREEK, PA US","        32"," ","        10"," ","",""
"USC00365440","2025","40.78298","-75.1825","69.5","MARTINS CREEK, PA US","         4"," ","","","",""
