"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA006122452","1961","43.1","-82.0","218.0","FOREST MCNABB, ON CA","        10","C","    81"," ,C,0211, ","      650"," ,C"
"CA006122452","1962","43.1","-82.0","218.0","FOREST MCNABB, ON CA","        15","C","   127"," ,C,0218, ","     1146"," ,C"
