"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093216","1959","39.13333","-121.43333","38.1","BEALE AFB, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093216","1960","39.13333","-121.43333","38.1","BEALE AFB, CA US","    961.8","","     961.8","X","        65","X","        48","X","         5","X","        0","","         0","X","         0","X","        13","X","         0","X","       205","X","        95","X","        80"," ","         7"," ","   -5.0","X,0102, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  80.3"," ,X,1113, ","   42.8","X,0719, ","-1.1","X,1208","","","","","-1.1","X,0117","-3.3","X,0105","-5.0","X,0102","    1391.7","7","    1391.7","X","    652.1"," ,X","        0"," ,X","     16.93","X","     23.52","X","     10.35","X","","","",""
"USW00093216","1961","39.13333","-121.43333","38.1","BEALE AFB, CA US","    882.5","","     882.5","X","        58","X","        36","X","         4","X","        0","","         0","X","         0","X","        21","X","         1","X","       199","X","        83","X","        77"," ","         7"," ","   -4.4","X,0101, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  33.8"," ,X,0131, ","   43.9","X,0615, ","-1.7","X,1117","-2.2","X,1209","","","-0.6","X,0122","-2.8","X,0102","-4.4","X,0101","    1604.0","0","    1604.0","X","    446.1"," ,X","        0"," ,X","     16.11","X","     22.49","X","      9.73","X","","","",""
"USW00093216","1962","39.13333","-121.43333","38.1","BEALE AFB, CA US","    771.4","","     771.4","X","        54","0","        33","0","         7","0","        0","","         0","0","         0","X","        27","X","         0","X","       209","X","        76","X","        78"," ","         8"," ","   -4.4","X,1226,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 140.2"," ,0,1013, ","   39.4","X,0621,+","0.0","X,1224","-4.4","X,1226","-4.4","X,1226","0.0","X,0313","-2.2","X,0227","-4.4","X,0121","    1633.4","4","    1633.4","X","    803.3"," ,0","        0"," ,0","     16.19","X","     22.47","X","      9.90","X","","","",""
"USW00093216","1963","39.13333","-121.43333","38.1","BEALE AFB, CA US","    662.6","","     662.6","X","        64","0","        41","0","         8","0","        0","","         0","0","         0","X","        33","X","         0","X","       174","X","        66","X","        99"," ","         8"," ","   -5.6","X,0117,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  63.8"," ,0,0130, ","   37.8","X,0927,+","-0.6","X,1206","-3.9","X,1211","","","0.0","X,0315","-2.2","X,0122","-5.6","X,0117","    1623.8","8","    1623.8","X","    706.5"," ,0","        0"," ,0","     15.22","X","     21.23","X","      9.20","X","","","",""
"USW00093216","1964","39.13333","-121.43333","38.1","BEALE AFB, CA US","    837.8","","     837.8","X","        65","X","        37","X","         3","X","        0","","         0","X","         0","X","        23","X","         0","X","       200","X","        90","X","        67"," ","         6"," ","   -3.3","X,0307, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  77.5"," ,X,0120, ","   41.1","X,0923, ","0.0","X,1121","","","","","-2.2","X,0308","-2.2","X,0308","","","    1860.7","7","    1860.7","X","    468.8"," ,X","        0"," ,X","     16.34","X","     23.38","X","      9.31","X","       170","X","      24.7","X"
"USW00093216","1965","39.13333","-121.43333","38.1","BEALE AFB, CA US","    593.6","","     593.6","X","        62","X","        37","X","         5","X","        0","","         0","X","         0","X","        16","X","         1","X","       192","X","        49","X","        84"," ","         8"," ","   -4.4","X,1223,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  44.2"," ,X,1117, ","   37.8","X,0716,+","-1.1","X,1214","-4.4","X,1215","-4.4","X,1215","-1.1","X,0212","-2.8","X,0108","","","    1459.3","3","    1459.3","X","    472.8"," ,X","        0"," ,X","     15.37","X","     21.61","X","      9.12","X","       140","X","      23.1","X"
"USW00093216","1966","39.13333","-121.43333","38.1","BEALE AFB, CA US","    772.0","","     772.0","X","        53","X","        32","X","         6","X","        0","","         0","X","         0","X","        30","X","         0","X","       213","X","        73","X","        86"," ","         5"," ","   -2.2","X,1227,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  65.5"," ,X,1106, ","   41.1","X,0614, ","-0.6","X,1225","-2.2","X,1227","","","0.0","X,0317","-2.2","X,0121","","","    1574.9","9","    1574.9","X","    530.8"," ,X","        0"," ,X","     16.23","X","     22.91","X","      9.54","X","       180","X","      22.1","X"
"USW00093216","1967","39.13333","-121.43333","38.1","BEALE AFB, CA US","    969.6","","     969.6","X","        60","X","        50","X","         2","X","        0","","         0","X","         0","X","        24","X","         0","X","       184","X","       103","X","        83"," ","         9"," ","   -5.0","X,1216, ","     0"," ,X,1231,+","     0","T,X,1217, ","  72.6"," ,X,0121, ","   40.6","X,0814, ","-0.6","X,1206","-5.0","X,1216","-5.0","X,1216","-2.8","X,0117","-2.8","X,0117","","","    1751.8","8","    1751.8","X","    630.1"," ,X","        0","T,X","     16.30","X","     22.85","X","      9.75","X","       160","X","      23.1","X"
"USW00093216","1968","39.13333","-121.43333","38.1","BEALE AFB, CA US","    765.1","","     765.1","X","        73","X","        48","X","         4","X","        0","","         0","X","         0","X","        23","X","         1","X","       216","X","        75","X","        80"," ","         5"," ","   -5.6","X,0103, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  39.9"," ,X,0219, ","   40.6","X,0830,+","-0.6","X,1128","-2.2","X,1220","-5.0","X,1221","0.0","X,0201","-2.8","X,0111","-5.0","X,0105","    1369.4","4","    1369.4","X","    681.9"," ,X","        0"," ,X","     16.32","X","     22.91","X","      9.72","X","       150","X","      20.0","X"
