"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00363831","1898","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","","","","","","","        36"," ","","","",""
"USC00363831","1899","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","","","","","","","        63"," ","","","",""
"USC00363831","1900","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       123","6","        66","6","         3","6","        34"," ","  34.3"," ,6,1126, ","    718.3"," ,6"
"USC00363831","1901","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","","","","","","","        34"," ","","","",""
"USC00363831","1902","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       163","6","        84","6","         2","6","        50"," ","  27.4"," ,6,1012, ","    845.3"," ,6"
"USC00363831","1903","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       129","6","        84","6","         5","6","        53"," ","  47.8"," ,6,0828, ","    965.5"," ,6"
"USC00363831","1904","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       147","6","        95","6","         4","6","        51"," ","  37.3"," ,6,0629, ","    936.1"," ,6"
"USC00363831","1905","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       132","6","        77","6","         8","6","        52"," ","  50.8"," ,6,0617, ","    983.2"," ,6"
"USC00363831","1906","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       155","6","        82","6","         6","6","        30"," ","  58.4"," ,6,0920, ","    890.7"," ,6"
"USC00363831","1907","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       166","6","        92","6","         4","6","        31"," ","  37.6"," ,6,0313, ","    961.9"," ,6"
"USC00363831","1908","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       140","6","        86","6","         2","6","        29"," ","  32.8"," ,6,0725, ","    836.3"," ,6"
"USC00363831","1909","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       149","6","        88","6","         3","6","        19"," ","  37.3"," ,6,0605, ","    884.7"," ,6"
"USC00363831","1910","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       145","6","        78","6","         4","6","        17"," ","  38.6"," ,6,0909, ","    856.5"," ,6"
"USC00363831","1911","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       163","6","       101","6","         7","6","        18"," ","  58.4"," ,6,0915, ","   1093.4"," ,6"
"USC00363831","1912","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       155","6","        84","6","         6","6","        26"," ","  46.2"," ,6,0616, ","    964.6"," ,6"
"USC00363831","1913","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       145","6","        84","6","         6","6","        17"," ","  45.0"," ,6,0326, ","    954.1"," ,6"
"USC00363831","1914","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       143","6","        82","6","         4","6","        16"," ","  51.3"," ,6,0812, ","    865.9"," ,6"
"USC00363831","1915","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       157","6","        80","6","         3","6","        24"," ","  29.5"," ,6,0630, ","    901.5"," ,6"
"USC00363831","1916","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       159","6","        90","6","         4","6","        23"," ","  49.8"," ,6,0806, ","    913.6"," ,6"
"USC00363831","1917","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       154","6","        68","6","         3","6","        32"," ","  38.9"," ,6,0122, ","    871.6"," ,6"
"USC00363831","1918","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       140","6","        85","6","         3","6","        65"," ","  38.4"," ,6,0831, ","    833.3"," ,6"
"USC00363831","1919","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       141","6","        91","6","         8","6","        33"," ","  38.1"," ,6,0715, ","   1096.5"," ,6"
"USC00363831","1920","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","","","","","","","        55"," ","","","",""
"USC00363831","1921","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","       142","6","        99","6","         4","6","        26"," ","  89.2"," ,6,0626, ","   1112.4"," ,6"
"USC00363831","1922","40.45","-79.983333","219.5","HERRS ISLAND DAM, PA US","","","","","","","        43"," ","","","",""
