"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00026082","1975","-37.0951","140.7911","65.0","STRUAN, AS","    649.4"," ,a"
"ASN00026082","1976","-37.0951","140.7911","65.0","STRUAN, AS","    499.0"," ,a"
"ASN00026082","1977","-37.0951","140.7911","65.0","STRUAN, AS","    458.7"," ,a"
"ASN00026082","1978","-37.0951","140.7911","65.0","STRUAN, AS","    501.3"," ,a"
"ASN00026082","1979","-37.0951","140.7911","65.0","STRUAN, AS","    603.1"," ,a"
"ASN00026082","1980","-37.0951","140.7911","65.0","STRUAN, AS","    519.8"," ,a"
"ASN00026082","1981","-37.0951","140.7911","65.0","STRUAN, AS","    616.7"," ,a"
"ASN00026082","1982","-37.0951","140.7911","65.0","STRUAN, AS","    354.4"," ,a"
"ASN00026082","1983","-37.0951","140.7911","65.0","STRUAN, AS","    676.2"," ,a"
"ASN00026082","1984","-37.0951","140.7911","65.0","STRUAN, AS","    602.6"," ,a"
"ASN00026082","1985","-37.0951","140.7911","65.0","STRUAN, AS","    550.4"," ,a"
"ASN00026082","1986","-37.0951","140.7911","65.0","STRUAN, AS","    562.0"," ,a"
"ASN00026082","1987","-37.0951","140.7911","65.0","STRUAN, AS","    496.0"," ,a"
"ASN00026082","1988","-37.0951","140.7911","65.0","STRUAN, AS","    621.8"," ,a"
"ASN00026082","1989","-37.0951","140.7911","65.0","STRUAN, AS","    613.6"," ,a"
"ASN00026082","1990","-37.0951","140.7911","65.0","STRUAN, AS","    523.8"," ,a"
"ASN00026082","1991","-37.0951","140.7911","65.0","STRUAN, AS","    606.3"," ,a"
"ASN00026082","1992","-37.0951","140.7911","65.0","STRUAN, AS","    757.4"," ,a"
"ASN00026082","1993","-37.0951","140.7911","65.0","STRUAN, AS","    504.7"," ,a"
"ASN00026082","1994","-37.0951","140.7911","65.0","STRUAN, AS","    423.4"," ,a"
"ASN00026082","1995","-37.0951","140.7911","65.0","STRUAN, AS","    535.0"," ,a"
"ASN00026082","1996","-37.0951","140.7911","65.0","STRUAN, AS","    576.8"," ,a"
"ASN00026082","1997","-37.0951","140.7911","65.0","STRUAN, AS","    473.5"," ,a"
"ASN00026082","1998","-37.0951","140.7911","65.0","STRUAN, AS","    501.8"," ,a"
