"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NG000061024","1979","16.967","7.967","505.0","AGADEZ, NG","        24","I","        12","I","         0","I","         0","I","         0","I","         0","I","       338","I","       259","I","    7.0","I,1211, ","  23.9"," ,I,0807, ","   44.0","I,0629, ","    111.5"," ,I","     28.68","I","     36.33","I","     21.03","I"
"NG000061024","1980","16.967","7.967","505.0","AGADEZ, NG","        26","I","        13","I","         1","I","","","","","         0","I","       347","I","       261","I","","","  33.0"," ,I,0818, ","   45.0","I,0524, ","    157.9"," ,I","","","     35.93","I","",""
"NG000061024","1993","16.967","7.967","505.0","AGADEZ, NG","","","","","","","","","","","         0","I","       330","I","       257","I","","","","","   44.7","I,0830, ","","","","","     36.28","I","",""
"NG000061024","2010","16.967","7.967","505.0","AGADEZ, NG","","","","","","","","","","","         0","S","       337","S","       284","S","","","","","   47.1","S,0623, ","","","","","     37.80","S","",""
"NG000061024","2011","16.967","7.967","505.0","AGADEZ, NG","","","","","","","         0","S","         0","S","         0","S","       350","S","       280","S","    9.0","S,0117, ","","","   45.3","S,0607, ","","","     29.87","S","     37.19","S","     22.54","S"
"NG000061024","2012","16.967","7.967","505.0","AGADEZ, NG","","","","","","","         0","S","         0","S","         0","S","       350","S","       288","S","    8.0","S,0115, ","","","   45.0","S,0504, ","","","     29.90","S","     37.19","S","     22.60","S"
"NG000061024","2013","16.967","7.967","505.0","AGADEZ, NG","","","","","","","         0","S","         0","S","","","","","","","    8.8","S,0102, ","","","","","","","","","","","     22.79","S"
"NG000061024","2018","16.967","7.967","505.0","AGADEZ, NG","","","","","","","","","","","         0","S","       342","S","       269","S","","","","","   47.0","S,0524, ","","","","","     37.00","S","",""
"NG000061024","2019","16.967","7.967","505.0","AGADEZ, NG","","","","","","","","","","","         0","S","       348","S","       267","S","","","","","   45.5","S,0508,+","","","","","     36.65","S","",""
"NG000061024","2020","16.967","7.967","505.0","AGADEZ, NG","","","","","","","","","","","         0","S","       356","S","       274","S","","","","","   45.5","S,0430, ","","","","","     36.58","S","",""
