"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00040385","1973","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    616.5","","     616.5","0","        96","0","        71","0","        20","0","        0","","         0","0","         0","0","        33","0","         0","0","       187","0","        60","0","   -4.4","0,0107,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.8"," ,0,0112, ","   41.7","0,0628, ","","","-1.1","0,1104","","","","","","","-0.6","0,0314","-2.2","0,0127","-4.4","0,0107","","","    2039.9","9","    2039.9","0","","","","","   1348.8"," ,0","        0"," ,0","     14.71","0","     21.46","0","      7.96","0","",""
"USC00040385","1974","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    609.5","","     609.5","0","        62","0","        47","0","         8","0","        0","","         0","0","         0","0","        51","0","         0","0","       180","0","        68","0","   -5.0","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.3"," ,0,0302, ","   38.9","0,0803, ","","","-0.6","0,1128","-3.9","0,1223","-4.4","0,1224","","","0.0","0,0518","-2.2","0,0304","-5.0","0,0102","","","    2038.0","0","    2038.0","0","      8.95","0","     22.05","0","    780.0"," ,0","        0"," ,0","     14.48","0","     21.73","0","      7.22","0","     17776","0"
"USC00040385","1975","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    524.2","","     524.2","0","        70","0","        56","0","        11","0","        1","","         1","0","         0","0","        44","0","         0","0","       165","0","        48","0","   -5.0","0,0128, ","   102"," ,0,0314, ","   102"," ,0,0314, ","  48.5"," ,0,0213, ","   40.6","0,0727, ","    1724.2","0","-1.1","0,1109","-2.2","0,1118","","","","","0.0","0,0504","-2.2","0,0328","-4.4","0,0130","","","    2087.2","2","    2087.2","0","      7.82","0","     20.73","0","    833.9"," ,0","      102"," ,0","     13.72","0","     20.78","0","      6.66","0","     19463","0"
"USC00040385","1976","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    489.4","","     489.4","0","        39","0","        25","0","         4","0","        0","","         0","0","         0","0","        42","0","         0","0","       200","0","        47","0","   -6.1","0,0101, ","     0"," ,0,1231,+","     0","T,0,0205, ","  35.3"," ,0,0911, ","   38.9","0,0629, ","    1765.0","0","-2.8","0,1128","-2.8","0,1128","","","","","0.0","0,0416","-2.2","0,0401","-4.4","0,0103","","","    2046.7","7","    2046.7","0","      8.31","0","     21.37","0","    299.9"," ,0","        0","T,0","     14.70","0","     22.15","0","      7.26","0","     16729","0"
"USC00040385","1977","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    666.2","","     666.2","0","        55","0","        41","0","         3","0","        0","","         0","0","         0","0","        35","0","         0","0","       186","0","        62","0","   -4.4","0,0109, ","     0"," ,0,1231,+","     0","T,0,0314, ","  61.7"," ,0,1215, ","   40.0","0,0731, ","","","-3.9","0,1119","-3.9","0,1119","","","","","0.0","0,0331","-2.2","0,0301","-4.4","0,0109","","","    1768.0","0","    1768.0","0","      8.46","0","     21.17","0","    518.5"," ,0","        0","T,0","     15.30","0","     22.09","0","      8.51","0","     19954","0"
"USC00040385","1978","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    582.1","","     582.1","0","        73","0","        61","0","        13","0","        0","","         0","0","         0","0","        32","0","         0","0","       190","0","        57","0","   -7.2","0,1231, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  82.3"," ,0,0106, ","   43.3","0,0810, ","","","0.0","0,1110","-2.8","0,1112","-4.4","0,1206","-7.2","0,1231","-1.7","0,0124","","","","","","","    1579.4","4","    1579.4","0","","","     21.25","0","   1087.7"," ,0","        0"," ,0","     14.81","0","     21.38","0","      8.24","0","     15588","0"
"USC00040385","1979","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    595.3","","     595.3","0","        74","0","        61","0","        12","0","        0","","         0","0","         0","0","        43","0","         0","0","       180","0","        60","0","   -6.7","0,0129,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  59.9"," ,0,0301, ","   39.4","0,0913,+","","","0.0","0,1029","-2.8","0,1120","","","","","0.0","0,0410","-2.8","0,0204","-6.7","0,0129","-6.7","0,0129","    2098.0","0","    2098.0","0","      8.60","0","     21.67","0","    942.6"," ,0","        0"," ,0","     14.59","0","     21.84","0","      7.34","0","     19434","0"
"USC00040385","1980","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    459.2","","     459.2","0","        68","0","        46","0","        12","0","        0","","         0","0","         0","0","        32","0","         0","0","       180","0","        42","0","   -4.4","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.0"," ,0,0114, ","   41.1","0,0728, ","","","0.0","0,1113","-2.2","0,1125","-4.4","0,1209","","","-1.1","0,0326","-2.2","0,0129","","","","","    1880.2","2","    1880.2","0","","","","","    808.7"," ,0","        0"," ,0","     14.43","0","     21.74","0","      7.13","0","",""
"USC00040385","1981","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","    563.7","","     563.7","0","        82","0","        56","0","        18","0","        0","","         0","0","         0","0","        43","0","         0","0","       190","0","        72","0","   -5.6","0,0106, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  97.0"," ,0,1220, ","   40.0","0,0809,+","","","-0.6","0,1012","-3.9","0,1129","","","","","-1.1","0,0403","-2.8","0,0201","-5.6","0,0106","","","    1777.6","6","    1777.6","0","","","","","   1165.0"," ,0","        0"," ,0","     14.67","0","     22.41","0","      6.94","0","",""
"USC00040385","1982","38.88333","-121.06667","387.1","AUBURN DAM PROJECT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2021.9","9","    2021.9","0","","","","","","","","","","","","","","","",""
