"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00416104","1935","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        23"," ","        54"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00416104","1936","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","    287.6","","     287.6","0","        97","0","        49","0","         2","0","        0","","         0","0","         0","0","        55","0","         0","0","       170","0","         1","0","        28"," ","        14"," ","  -11.7","0,0119, ","     0","T,0,1123, ","     5"," ,0,1124,+","  45.2"," ,0,0906, ","   32.2","0,0607, ","-0.6","0,0929","-5.0","0,1103","-5.0","0,1103","-7.2","0,1213","","","-2.2","0,0409","-2.2","0,0409","-10.0","0,0406","-10.0","0,0406","-10.0","0,0406","    1924.1","1","    1924.1","0","","","","","    535.0"," ,0","       13"," ,0","     13.47","0","     19.09","0","      7.86","0","",""
"USC00416104","1937","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","    432.0","","     432.0","0","        73","0","        35","0","         6","0","        3","","         2","0","         0","0","        51","0","         0","0","       177","0","         8","0","        45"," ","        39"," ","  -11.1","0,0123, ","    25"," ,0,1205,+","    51"," ,0,0202, ","  68.6"," ,0,0529, ","   35.0","0,0731, ","-2.2","0,1116","-2.2","0,1116","-5.0","0,1123","-8.3","0,1205","","","-3.3","0,0408","-3.3","0,0408","-4.4","0,0330","-6.7","0,0327","-11.1","0,0123","    2038.9","9","    2038.9","0","","","","","    524.1"," ,0","       92"," ,0","     14.13","0","     19.88","0","      8.38","0","",""
"USC00416104","1938","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","    258.2","","     258.2","0","        66","0","        39","0","         6","0","        0","","         1","0","         0","0","        55","0","         0","0","       188","0","         4","0","        35"," ","        36"," ","  -12.2","0,1124, ","     0","T,0,0105, ","    28"," ,0,0221, ","  85.9"," ,0,0624, ","   32.8","0,0603, ","-1.1","0,1020","-5.6","0,1106","-5.6","0,1106","-11.1","0,1107","-11.1","0,1107","-6.1","0,0409","-6.1","0,0409","-6.1","0,0409","-8.3","0,0408","-11.1","0,0407","    1830.7","7","    1830.7","0","","","","","    590.9"," ,0","      122"," ,0","     14.04","0","     19.92","0","      8.17","0","",""
"USC00416104","1939","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","    372.9","","     372.9","0","        78","0","        43","0","         2","0","        4","","         2","0","         0","0","        69","0","         3","0","       183","0","         7","0","        11"," ","         1"," ","  -10.0","0,0217,+","   152"," ,0,0111, ","   165"," ,0,0111, ","  40.1"," ,0,0713, ","   35.0","0,0615, ","-2.2","0,1030","-2.2","0,1030","-8.3","0,1228","-8.3","0,1228","-9.4","0,1229","-2.2","0,0417","-2.2","0,0417","-8.3","0,0406","-8.3","0,0406","-9.4","0,0221","    1969.7","7","    1969.7","0","","","","","    452.9"," ,0","      269"," ,0","     13.69","0","     19.71","0","      7.67","0","",""
"USC00416104","1940","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","    297.9","","     297.9","0","        75","0","        35","0","         3","0","        1","","         2","0","         1","0","        62","0","         2","0","       176","0","         5","0","         5"," ","","","  -19.4","0,0119, ","    51"," ,0,0121, ","    64"," ,0,0122, ","  55.4"," ,0,0812, ","   33.3","0,0711, ","-1.7","0,1111","-9.4","0,1113","-9.4","0,1113","-9.4","0,1113","-9.4","0,1113","-4.4","0,0418","-4.4","0,0418","-4.4","0,0418","-7.2","0,0412","-10.0","0,0313","    2116.4","4","    2116.4","0","","","","","    463.9"," ,0","      175"," ,0","     13.53","0","     19.68","0","      7.38","0","",""
"USC00416104","1941","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","","","","","       130","0","        75","0","        10","0","        2","","         2","0","         0","0","        69","0","","","","","","","        24"," ","","","   -9.4","0,1225, ","    76"," ,0,0102, ","   178"," ,0,0102, ","  42.4"," ,0,0516, ","","","-1.1","0,1031","-3.3","0,1123","-9.4","0,1225","-9.4","0,1225","-9.4","0,1225","0.0","0,0421","-3.3","0,0321","-6.7","0,0318","-6.7","0,0318","","","","","","","","","","","    935.3"," ,0","      216"," ,0","","","","","      6.85","0","",""
"USC00416104","1942","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","    269.2","","     269.2","0","        74","0","        41","0","         4","0","        0","","         4","0","         0","0","        62","0","         1","0","       166","0","         3","0","        16"," ","","","  -10.0","0,0218, ","     0"," ,0,1231,+","    38"," ,0,0210, ","  55.6"," ,0,0601, ","   32.8","0,0810, ","-1.1","0,1110","-2.8","0,1121","-5.6","0,1122","-7.8","0,1227","","","-1.7","0,0424","-2.2","0,0409","-4.4","0,0408","-8.9","0,0308","-8.9","0,0308","    2086.1","1","    2086.1","0","","","","","    509.6"," ,0","      113"," ,0","     13.57","0","     19.48","0","      7.65","0","",""
"USC00416104","1943","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","","","","","        68","0","        38","0","         2","0","        0","","         1","0","         0","0","        49","0","","","","","","","         4"," ","","","  -14.4","0,0119, ","     0"," ,0,1231,+","   117"," ,0,1127, ","  31.8"," ,0,0924, ","","","-5.6","0,1107","-5.6","0,1107","-5.6","0,1107","-7.2","0,1127","","","0.0","0,0325","-7.2","0,0321","-7.2","0,0321","-7.2","0,0321","-11.7","0,0303","","","","","","","","","    416.9"," ,0","      127"," ,0","","","","","      8.21","0","",""
"USC00416104","1944","30.67112","-104.02317","2069.6","MOUNT LOCKE, TX US","","","","","        61","0","        40","0","         4","0","        0","","         0","0","","","","","         1","0","       162","0","        13","0","        23"," ","         2"," ","","","     0"," ,0,1231,+","     5"," ,0,1205, ","  56.4"," ,0,0824, ","   35.6","0,0802,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    575.0"," ,0","        5"," ,0","","","     19.78","0","","","",""
