"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00304472","1949","42.4","-74.8","580.0","KORTRIGHT, NY US","       116","0","        76","0","         7","0","","","","","  45.7"," ,0,0829, ","    847.2"," ,0"
"USC00304472","1951","42.4","-74.8","580.0","KORTRIGHT, NY US","       146","0","        91","0","         7","0","","","","","  39.6"," ,0,0208, ","   1112.0"," ,0"
"USC00304472","1952","42.4","-74.8","580.0","KORTRIGHT, NY US","       138","0","        85","0","         7","0","","","","","  50.8"," ,0,0710, ","    957.3"," ,0"
"USC00304472","1953","42.4","-74.8","580.0","KORTRIGHT, NY US","       157","0","        83","0","         8","0","","","","","  47.2"," ,0,0629, ","    984.1"," ,0"
"USC00304472","1954","42.4","-74.8","580.0","KORTRIGHT, NY US","       166","0","        92","0","         8","0","","","","","  55.9"," ,0,1103, ","   1103.5"," ,0"
"USC00304472","1955","42.4","-74.8","580.0","KORTRIGHT, NY US","       146","0","        86","0","        11","0","","","","","  73.7"," ,0,0819, ","   1181.0"," ,0"
"USC00304472","1956","42.4","-74.8","580.0","KORTRIGHT, NY US","       139","0","       104","0","         6","0","","","","","  65.0"," ,0,0924, ","   1129.0"," ,0"
"USC00304472","1957","42.4","-74.8","580.0","KORTRIGHT, NY US","       123","0","        95","0","         6","0","","","","","  43.9"," ,0,1221, ","    981.7"," ,0"
"USC00304472","1958","42.4","-74.8","580.0","KORTRIGHT, NY US","       142","0","       110","0","         6","0","","","","","  35.6"," ,0,0606, ","   1186.9"," ,0"
"USC00304472","1959","42.4","-74.8","580.0","KORTRIGHT, NY US","       120","0","       103","0","         7","0","        10"," ","         7"," ","  63.2"," ,0,1128, ","   1073.7"," ,0"
"USC00304472","1960","42.4","-74.8","580.0","KORTRIGHT, NY US","","","","","","","        19"," ","         9"," ","","","",""
