"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TS000060765","1887","33.88","10.1","4.0","GABES, TS","        30","E","         9","E","         1","E","         0"," ","        14","E","","","","","","","   -2.6","E,0103, ","  68.2"," ,E,1024, ","","","","","-0.3","E,0201","-2.4","E,0125","","","","","    134.7"," ,E","","","","","     12.20","E"
"TS000060765","1889","33.88","10.1","4.0","GABES, TS","","","","","","","         0"," ","         3","E","","","","","","","   -0.5","E,0214, ","","","","","","","-0.1","E,0224","","","","","","","","","","","","","     13.66","E"
"TS000060765","1907","33.88","10.1","4.0","GABES, TS","        19","E","        12","E","         1","E","","","","","","","","","","","","","  28.0"," ,E,0128, ","","","","","","","","","","","","","    109.0"," ,E","","","","","",""
"TS000060765","1908","33.88","10.1","4.0","GABES, TS","        14","E","         9","E","         0","E","","","","","","","","","","","","","  14.0"," ,E,0115, ","","","","","","","","","","","","","     73.9"," ,E","","","","","",""
"TS000060765","1910","33.88","10.1","4.0","GABES, TS","        25","E","        15","E","         0","E","","","","","","","","","","","","","  25.0"," ,E,1219, ","","","","","","","","","","","","","    147.8"," ,E","","","","","",""
"TS000060765","1911","33.88","10.1","4.0","GABES, TS","        32","E","        17","E","         2","E","","","","","","","","","","","",""," 103.5"," ,E,1020, ","","","","","","","","","","","","","    285.7"," ,E","","","","","",""
"TS000060765","1922","33.88","10.1","4.0","GABES, TS","        13","E","         8","E","         3","E","","","","","","","","","","","","","  96.0"," ,E,1124, ","","","","","","","","","","","","","    306.6"," ,E","","","","","",""
"TS000060765","1923","33.88","10.1","4.0","GABES, TS","        19","E","        13","E","         0","E","","","","","","","","","","","","","   7.5"," ,E,0929, ","","","","","","","","","","","","","     68.6"," ,E","","","","","",""
"TS000060765","1925","33.88","10.1","4.0","GABES, TS","        21","E","        13","E","         0","E","","","","","","","","","","","","","   9.0"," ,E,0512,+","","","","","","","","","","","","","     89.1"," ,E","","","","","",""
"TS000060765","1926","33.88","10.1","4.0","GABES, TS","        21","E","        13","E","         1","E","         0"," ","         1","E","","","","","","","    0.0","E,0110, ","  27.3"," ,E,1128, ","","","","","0.0","E,0110","","","","","","","    122.0"," ,E","","","","","     13.45","E"
"TS000060765","1927","33.88","10.1","4.0","GABES, TS","        23","E","        12","E","         0","E","         0"," ","         1","E","","","","","","","   -1.6","E,0120, ","  13.0"," ,E,0909, ","","","","","-1.6","E,0120","","","","","","","     80.0"," ,E","","","","","     13.92","E"
"TS000060765","1928","33.88","10.1","4.0","GABES, TS","        22","E","        16","E","         2","E","","","","","","","","","","","","","  52.0"," ,E,0129, ","","","","","","","","","","","","","    217.4"," ,E","","","","","",""
"TS000060765","1929","33.88","10.1","4.0","GABES, TS","        34","E","        15","E","         4","E","         0"," ","         3","E","","","","","","","   -0.6","E,0223, ","  69.0"," ,E,0204, ","","","","","-0.6","E,0223","","","","","","","    239.8"," ,E","","","","","     12.96","E"
"TS000060765","1930","33.88","10.1","4.0","GABES, TS","        21","E","        10","E","         0","E","","","","","","","","","","","","","  23.5"," ,E,1114, ","","","","","","","","","","","","","     75.4"," ,E","","","","","",""
"TS000060765","1932","33.88","10.1","4.0","GABES, TS","        24","E","        13","E","         3","E","","","","","","","","","","","","","  35.0"," ,E,0306, ","","","","","","","","","","","","","    183.4"," ,E","","","","","",""
