"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076499","1953","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","","","","","","","         0","S","         8","S","","","","","","","   -3.9","S,1226, ","","","","","-1.1","S,1110","-2.8","S,1213","0.0","S,0202","","","","","","","","","","","     14.08","S"
"MXM00076499","1954","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","","","","","","","         0","S","        10","S","","","","","","","   -1.1","S,1220,+","","","","","0.0","S,1214","","","0.0","S,0301","","","","","","","","","","","     13.49","S"
"MXM00076499","1959","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","","","","","","","         0","S","         6","S","","","","","","","   -1.7","S,1129, ","","","","","0.0","S,1119","","","-1.1","S,0110","","","","","","","","","","","     14.70","S"
"MXM00076499","1990","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","        46","S","        27","S","         8","S","","","","","","","","","","","","","  96.0"," ,S,0702, ","","","","","","","","","","","","","    607.0"," ,S","","","","","",""
"MXM00076499","2000","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","   2485.3","","    2485.3","m","        51","m","        35","m","         9","m","         0","m","         1","m","         0","m","       342","m","       207","m","    0.0","m,0105, ","  48.8"," ,m,1007, ","   42.2","m,0905, ","","","","","0.0","m,0105","","","","","    573.7"," ,m","     24.75","m","     31.93","m","     17.57","m"
"MXM00076499","2001","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","         0","m","         0","m","         0","m","","","","","         0","m","       339","m","       189","m","","","     0"," ,m,1231,+","   41.7","m,0611, ","","","","","","","","","","","      0.0"," ,m","","","     31.67","m","",""
"MXM00076499","2002","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","        49","m","        37","m","         8","m","","","","","         0","m","       331","m","       210","m","","","  54.4"," ,m,0911, ","   41.1","m,0503, ","","","","","","","","","","","    556.4"," ,m","","","     31.84","m","",""
"MXM00076499","2006","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","   2749.9","","    2749.9","m","        45","m","        33","m","         4","m","         0","m","         2","m","         0","m","       347","m","       230","m","    0.0","m,0214,+","  42.4"," ,m,0702, ","   42.8","m,0510, ","","","","","0.0","m,0214","","","","","    396.6"," ,m","     25.50","m","     32.92","m","     18.07","m"
"MXM00076499","2007","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     167.1","1","     167.1"," ","","","","","","","",""
"MXM00076499","2008","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","   2421.0","","    2421.0","m","        57","m","        46","m","        18","m","         0","m","         0","m","         0","m","       349","m","       190","m","    1.1","m,1211, "," 132.6"," ,m,0706, ","   43.3","m,0315, ","","","","","","","","","","","   1317.1"," ,m","     24.68","m","     31.74","m","     17.63","m"
"MXM00076499","2014","23.7667","-98.2","20.7","SOTO LA MARINA OBS, MX","","","","","        48","S","        29","S","         7","S","","","","","","","","","","","","","  88.6"," ,S,0914, ","","","","","","","","","","","","","    647.9"," ,S","","","","","",""
