"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UY000001405","1964","-31.7","-55.983","134.0","TACUAREMBO, UY","        59","I","        54","I","        14","I","","","","","","","  77.0"," ,I,0304, ","","","","","","","","","   1113.0"," ,I","",""
"UY000001405","1973","-31.7","-55.983","134.0","TACUAREMBO, UY","        75","I","        61","I","        19","I","","","","","",""," 106.0"," ,I,0122, ","","","","","","","","","   1543.0"," ,I","",""
"UY000001405","1975","-31.7","-55.983","134.0","TACUAREMBO, UY","        67","I","        60","I","         9","I","","","","","","","  90.0"," ,I,1116, ","","","","","","","","","   1090.0"," ,I","",""
"UY000001405","1976","-31.7","-55.983","134.0","TACUAREMBO, UY","        69","I","        59","I","        12","I","","","","","","","  77.0"," ,I,0119, ","","","","","","","","","   1053.0"," ,I","",""
"UY000001405","1977","-31.7","-55.983","134.0","TACUAREMBO, UY","        86","I","        80","I","        23","I","","","","","",""," 110.0"," ,I,0727,+","","","","","","","","","   1880.0"," ,I","",""
"UY000001405","1979","-31.7","-55.983","134.0","TACUAREMBO, UY","        64","I","        51","I","        16","I","","","","","","","  75.0"," ,I,0305, ","","","","","","","","","   1035.0"," ,I","",""
"UY000001405","1980","-31.7","-55.983","134.0","TACUAREMBO, UY","        66","I","        62","I","        19","I","","","","","",""," 110.0"," ,I,1218, ","","","","","","","","","   1386.0"," ,I","",""
"UY000001405","1981","-31.7","-55.983","134.0","TACUAREMBO, UY","        61","I","        57","I","        24","I","","","","","","","  81.0"," ,I,0807, ","","","","","","","","","   1380.0"," ,I","",""
"UY000001405","1982","-31.7","-55.983","134.0","TACUAREMBO, UY","        72","I","        70","I","        19","I","","","","","","","  83.0"," ,I,0911, ","","","","","","","","","   1394.0"," ,I","",""
"UY000001405","1983","-31.7","-55.983","134.0","TACUAREMBO, UY","        56","I","        52","I","        16","I","","","","","",""," 147.0"," ,I,0215, ","","","","","","","","","   1306.0"," ,I","",""
"UY000001405","1984","-31.7","-55.983","134.0","TACUAREMBO, UY","        77","I","        72","I","        26","I","","","","","",""," 116.0"," ,I,0528, ","","","","","","","","","   1759.0"," ,I","",""
"UY000001405","1985","-31.7","-55.983","134.0","TACUAREMBO, UY","        56","I","        52","I","        19","I","","","","","","","  86.0"," ,I,0507, ","","","","","","","","","   1244.0"," ,I","",""
"UY000001405","1986","-31.7","-55.983","134.0","TACUAREMBO, UY","        53","I","        49","I","        20","I","","","","","",""," 155.0"," ,I,0413, ","","","","","","","","","   1417.0"," ,I","",""
"UY000001405","1987","-31.7","-55.983","134.0","TACUAREMBO, UY","        71","I","        58","I","        15","I","","","","","",""," 130.0"," ,I,0401, ","","","","","","","","","   1132.0"," ,I","",""
"UY000001405","1989","-31.7","-55.983","134.0","TACUAREMBO, UY","        51","I","        38","I","        11","I","","","","","","","  62.0"," ,I,1217,+","","","","","","","","","    753.0"," ,I","",""
"UY000001405","1992","-31.7","-55.983","134.0","TACUAREMBO, UY","        74","I","        66","I","        13","I","","","","","",""," 100.0"," ,I,0429, ","","","","","","","","","   1208.0"," ,I","",""
"UY000001405","1993","-31.7","-55.983","134.0","TACUAREMBO, UY","        76","I","        69","I","        19","I","","","","","",""," 134.0"," ,I,0509, ","","","","","","","","","   1712.0"," ,I","",""
"UY000001405","1994","-31.7","-55.983","134.0","TACUAREMBO, UY","        82","I","        68","I","        15","I","","","","","",""," 100.0"," ,I,0728, ","","","","","","","","","   1215.0"," ,I","",""
"UY000001405","1995","-31.7","-55.983","134.0","TACUAREMBO, UY","        77","I","        61","I","        19","I","","","","","",""," 102.0"," ,I,0222, ","","","","","","","","","   1273.0"," ,I","",""
"UY000001405","1996","-31.7","-55.983","134.0","TACUAREMBO, UY","        87","I","        57","I","        17","I","","","","","","","  94.0"," ,I,0403, ","","","","","","","","","   1119.0"," ,I","",""
"UY000001405","1997","-31.7","-55.983","134.0","TACUAREMBO, UY","        91","I","        69","I","        16","I","","","","","",""," 116.0"," ,I,0519, ","","","","","","","","","   1373.0"," ,I","",""
"UY000001405","1998","-31.7","-55.983","134.0","TACUAREMBO, UY","        93","I","        73","I","        31","I","","","","","",""," 170.0"," ,I,0106, ","","","","","","","","","   1984.0"," ,I","",""
"UY000001405","2004","-31.7","-55.983","134.0","TACUAREMBO, UY","","","","","","","         0","S","        17","S","   -3.5","S,0717, ","","","-1.0","S,0519","-2.4","S,0614","-0.1","S,0810","-2.8","S,0809","","","     10.90","S"
