"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076382","1953","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","","","","","","","         0","S","        11","S","","","","","","","   -7.8","S,1225, ","","","","","-5.6","S,1213","-5.6","S,1213","-5.6","S,1213","-7.2","S,1223","0.0","S,0223","","","","","","","","","","","","","","","     11.43","S"
"MXM00076382","1956","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","","","","","","","         0","S","         9","S","         0","S","       337","S","       249","S","   -9.4","S,0204, ","","","   43.9","S,0511, ","-1.1","S,1125","","","","","","","-3.3","S,0211","-3.3","S,0211","-6.7","S,0205","-6.7","S,0205","-9.4","S,0204","","","     22.22","S","     34.11","S","     10.33","S"
"MXM00076382","1998","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        26","S","        11","S","         2","S","","","","","","","","","","","",""," 113.0"," ,S,0818, ","","","","","","","","","","","","","","","","","","","","","    269.2"," ,S","","","","","",""
"MXM00076382","2001","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        33","S","        11","S","         0","S","","","","","","","","","","","","","  14.0"," ,S,0910, ","","","","","","","","","","","","","","","","","","","","","     96.8"," ,S","","","","","",""
"MXM00076382","2008","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        22","S","        12","S","         1","S","","","","","","","","","","","","","  25.7"," ,S,1017, ","","","","","","","","","","","","","","","","","","","","","     93.7"," ,S","","","","","",""
"MXM00076382","2011","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        11","S","         6","S","         0","S","","","","","","","","","","","","","  20.3"," ,S,0710, ","","","","","","","","","","","","","","","","","","","","","     53.1"," ,S","","","","","",""
"MXM00076382","2012","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        17","S","         4","S","         1","S","","","","","","","","","","","","","  74.4"," ,S,0915, ","","","","","","","","","","","","","","","","","","","","","    111.1"," ,S","","","","","",""
"MXM00076382","2013","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        23","S","        12","S","         1","S","","","","","","","","","","","","","  25.4"," ,S,0721, ","","","","","","","","","","","","","","","","","","","","","    158.1"," ,S","","","","","",""
"MXM00076382","2016","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        38","S","        20","S","         3","S","","","","","","","","","","","","","  92.7"," ,S,0730, ","","","","","","","","","","","","","","","","","","","","","    333.4"," ,S","","","","","",""
"MXM00076382","2017","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        27","S","        15","S","         3","S","","","","","","","","","","","","","  76.5"," ,S,0927, ","","","","","","","","","","","","","","","","","","","","","    270.6"," ,S","","","","","",""
"MXM00076382","2018","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        23","S","        15","S","         5","S","","","","","","","","","","","","","  80.0"," ,S,0909, ","","","","","","","","","","","","","","","","","","","","","    377.1"," ,S","","","","","",""
"MXM00076382","2019","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        20","S","        10","S","         0","S","","","","","","","","","","","","","  19.3"," ,S,0601, ","","","","","","","","","","","","","","","","","","","","","     76.1"," ,S","","","","","",""
"MXM00076382","2020","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        18","S","        12","S","         1","S","","","","","","","","","","","","","  28.7"," ,S,0725, ","","","","","","","","","","","","","","","","","","","","","    120.1"," ,S","","","","","",""
"MXM00076382","2022","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        18","S","         8","S","         1","S","","","","","","","","","","","","","  59.9"," ,S,1006, ","","","","","","","","","","","","","","","","","","","","","    115.6"," ,S","","","","","",""
"MXM00076382","2024","25.568","-103.411","1124.1","TORREON INTERNATIONAL, MX","        17","S","        13","S","         2","S","","","","","","","","","","","","","  59.7"," ,S,0902, ","","","","","","","","","","","","","","","","","","","","","    252.7"," ,S","","","","","",""
