"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012819","1997","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","","","   1717.4","","    1717.4","M","","","","","","","","","","","         0","M","         2","M","         0","M","       309","M","        90","M","","","","","","","   -1.7","M,0119, ","","","","","","","   36.1","M,0704,+","","","","","-1.7","M,0119","","","","","","","","","","","","","     22.36","M","     27.60","M","     17.13","M","","","","","","","",""
"USW00012819","1998","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","","","   2054.5","","    2054.5","W","","","","","","","","","","","         0","W","         0","W","         0","W","       311","W","       112","W","","","","","","","    2.2","W,0101, ","","","","","","","   37.8","W,0622, ","","","","","","","","","","","     419.6","6","     419.6","W","","","","","     23.12","W","     28.25","W","     17.99","W","","","","","","","",""
"USW00012819","1999","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","       2.7","W","   1798.1","","    1798.1","W","       116","W","        62","W","        11","W","","","","","         0","W","         2","W","         0","W","       330","W","        93","W","","","","","","","   -2.2","W,0106, ","","","","","  66.5"," ,W,0428, ","   37.2","W,0802,+","","","","","-2.2","W,0106","-2.2","W,0106","","","     261.3","3","     261.3","W","    928.6"," ,W","","","     22.40","W","     27.89","W","     16.91","W","       130","W","       100","W","      14.3","W","      19.7","W"
"USW00012819","2000","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","       2.8","W","   1800.9","","    1800.9","W","       124","W","        48","W","         5","W","","","","","         0","W","         4","W","         0","W","       323","W","       111","W","","","","","","","   -3.3","W,1220, ","","","","","  72.1"," ,W,0907, ","   37.2","W,0720,+","-3.3","W,1220","-3.3","W,1220","-0.6","W,0127","","","","","     318.9","9","     318.9","W","    674.7"," ,W","","","     22.10","W","     28.07","W","     16.13","W","        60","W","        20","W","      20.1","W","      25.9","W"
"USW00012819","2001","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","       2.8","W","   1819.3","","    1819.3","W","       127","W","        63","W","        10","W","","","","","         0","W","         5","W","         0","W","       328","W","        88","W","","","","","","","   -1.7","W,0105, ","","","",""," 119.4"," ,W,0914, ","   36.1","W,0615, ","","","","","-0.6","W,0110","","","","","     475.6","6","     475.6","W","   1173.5"," ,W","","","     22.40","W","     27.80","W","     16.99","W","        20","W","        10","W","      16.1","W","      20.1","W"
"USW00012819","2002","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","       2.7","W","   1939.8","","    1939.8","W","       158","W","        83","W","        19","W","","","","","         0","W","         3","W","         0","W","       317","W","       100","W","","","","","","","   -1.1","W,0109,+","","","","","  76.7"," ,W,0721, ","   36.7","W,0717, ","","","","","-0.6","W,0228","","","","","     323.0","0","     323.0","W","   1461.7"," ,W","","","     22.41","W","     27.75","W","     17.07","W","        50","W","       360","W","      17.4","W","      65.7","W"
"USW00012819","2003","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","       2.7","W","   1940.1","","    1940.1","W","       128","W","        81","W","        16","W","","","","","         0","W","         2","W","         0","W","       317","W","        92","W","","","","","","","   -4.4","W,0124, ","","","","","  57.4"," ,W,0713, ","   35.0","W,0510, ","","","","","-1.1","W,0125","-4.4","W,0124","-4.4","W,0124","     506.9","9","     506.9","W","   1206.4"," ,W","","","     22.41","W","     27.68","W","     17.13","W","       120","W","       360","W","      16.1","W","      65.7","W"
"USW00012819","2004","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","       2.8","W","   1818.8","","    1818.8","W","       139","W","        63","W","        11","W","","","","","         0","W","         0","W","         0","W","       314","W","        99","W","","","","","","","    0.6","W,1215,+","","","",""," 119.9"," ,W,0926, ","   36.1","W,0601, ","","","","","","","","","","","     378.2","2","     378.2","W","   1159.9"," ,W","","","     22.26","W","     27.58","W","     16.94","W","       180","W","       190","W","      16.5","W","      21.5","W"
"USW00012819","2005","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","       2.7","B","   1775.7","","    1775.7","B","       145","B","        85","B","        13","B","","","","","         0","B","         1","B","         0","B","       313","B","        94","B","","","","","","","   -0.6","B,0124, ","","","","","  76.7"," ,B,1024, ","   37.2","B,0809, ","","","","","-0.6","W,0124","","","","","     374.3","3","     374.3","B","   1291.6"," ,B","","","     22.10","B","     27.22","B","     16.98","B","       350","B","       340","B","      14.3","B","      19.7","B"
"USW00012819","2006","28.82143","-81.80963","20.8","LEESBURG MUNICIPAL AIRPORT, FL US","","","   1858.7","","    1858.7","W","        94","W","        53","W","         6","W","","","","","         0","W","         2","W","         0","W","       329","W","       125","W","       183"," ","        27"," ","        83"," ","    0.0","W,0214,+","","","","","  51.1"," ,W,0511, ","   36.1","W,0812,+","","","","","0.0","W,0214","","","","","     399.4","4","     399.4","W","    740.7"," ,W","","","     22.43","W","     28.21","W","     16.65","W","","","","","","","",""
