"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN006031000","1925","29.167","75.733","221.0","HISSAR, IN","        35","I","        25","I","         3","I","","","","","","","","","","","","","  57.2"," ,I,0801, ","","","","","","","    297.6"," ,I","","","","","",""
"IN006031000","1926","29.167","75.733","221.0","HISSAR, IN","        51","I","        30","I","         7","I","","","","","","","","","","","",""," 346.7"," ,I,0816, ","","","","","","","   1014.1"," ,I","","","","","",""
"IN006031000","1927","29.167","75.733","221.0","HISSAR, IN","        40","I","        29","I","         9","I","","","","","","","","","","","","","  63.0"," ,I,0722, ","","","","","","","    489.9"," ,I","","","","","",""
"IN006031000","1928","29.167","75.733","221.0","HISSAR, IN","        45","I","        24","I","         5","I","","","","","","","","","","","",""," 100.6"," ,I,0822, ","","","","","","","    409.0"," ,I","","","","","",""
"IN006031000","1929","29.167","75.733","221.0","HISSAR, IN","        40","I","        22","I","         4","I","","","","","","","","","","","","","  91.9"," ,I,0704, ","","","","","","","    320.0"," ,I","","","","","",""
"IN006031000","1930","29.167","75.733","221.0","HISSAR, IN","        47","I","        27","I","         8","I","","","","","","","","","","","","","  55.9"," ,I,0716, ","","","","","","","    496.3"," ,I","","","","","",""
"IN006031000","1931","29.167","75.733","221.0","HISSAR, IN","        44","I","        26","I","         4","I","","","","","","","","","","","","","  51.6"," ,I,0901, ","","","","","","","    418.6"," ,I","","","","","",""
"IN006031000","1932","29.167","75.733","221.0","HISSAR, IN","        44","I","        22","I","         1","I","","","","","","","","","","","","","  58.9"," ,I,0710, ","","","","","","","    278.9"," ,I","","","","","",""
"IN006031000","1933","29.167","75.733","221.0","HISSAR, IN","        63","I","        38","I","         4","I","","","","","","","","","","","","","  74.7"," ,I,0919, ","","","","","","","    633.7"," ,I","","","","","",""
"IN006031000","1934","29.167","75.733","221.0","HISSAR, IN","        41","I","        28","I","         5","I","","","","","","","","","","","","","  59.7"," ,I,0709, ","","","","","","","    404.5"," ,I","","","","","",""
