"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00342680","2010","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1353.1","","    1353.1","0","","","","","","","        0","","         0","0","         0","0","        56","0","         3","0","       226","0","        95","0","  -12.8","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   40.0","0,0823,+","-0.6","0,1106","-3.9","0,1126","-5.0","0,1212","","","","","-1.1","0,0321","-2.2","0,0303","-6.1","0,0209","-12.2","0,0110","-12.2","0,0110","","","","","","","","","","","","","","","","","    981.4"," ,0","        0"," ,0","     17.30","0","     23.15","0","     11.46","0"
"USC00342680","2011","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1656.8","","    1656.8","K","","","","","","","","","","","         0","K","        53","K","         6","K","       238","K","       109","K","  -14.4","K,0210, ","","","","","","","   43.9","K,0804,+","-0.6","K,1117","-2.8","K,1128","-6.1","K,1207","","","","","-0.6","K,0315","-2.2","K,0306","-9.4","K,0211","-9.4","K,0211","-9.4","K,0211","    1613.1","1","","","    1613.1","K","","","","","","","","","","","","","","","     18.40","K","     24.85","K","     11.94","K"
"USC00342680","2012","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1415.8","","    1415.8","7","","","","","","","","","","","         0","7","        39","7","         2","7","       256","7","       104","7","   -9.4","7,1211, ","","","","","","","   41.7","7,0809, ","-0.6","7,1112","-3.3","7,1113","-5.6","7,1210","-9.4","7,1211","-9.4","7,1211","0.0","K,0213","-5.0","K,0212","-5.0","K,0212","","","","","    1285.2","2","","","    1285.2","7","","","","","","","","","","","    893.0"," ,7","","","     18.70","7","     24.93","7","     12.47","7"
"USC00342680","2013","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1256.6","","    1256.6","7","","","","","","","","","","","         0","7","        59","7","         4","7","       205","7","        85","7","  -10.0","7,1210,+","","","","","","","   40.0","7,0901, ","-1.1","7,1112","-3.9","7,1113","-4.4","7,1128","-7.2","7,1206","-10.0","7,1207","-4.4","7,0326","-4.4","7,0326","-4.4","7,0326","","","","","    1600.6","6","      31.1","7,3,2","    1600.6","7","      42.8","7,3,2","       1.1","7,3,2","       1.7","7,3,2","      15.1","7,3,2","      22.7","7,3,2","","","","","     16.80","7","     22.72","7","     10.88","7"
"USC00342680","2014","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1152.9","","    1152.9","7","","","","","","","","","","","         0","7","        56","7","         5","7","       218","7","        62","7","  -12.2","7,0303,+","","","","","","","   38.3","7,0727, ","-0.6","7,1101","-2.2","7,1112","-5.0","7,1114","-6.7","7,1117","","","-2.2","7,0415","-2.2","7,0415","-6.1","7,0304","-12.2","7,0303","-12.2","7,0303","    1928.3","3","      30.0","7,3,2","    1928.3","7","      40.0","7,3,2","       0.0","7,3,2","       0.6","7,3,2","      15.4","7,3,2","      21.9","7,3,2","    783.2"," ,7","","","     16.53","7","     22.35","7","     10.71","7"
"USC00342680","2015","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1258.7","","    1258.7","7","","","","","","","","","","","         0","7","        53","7","         4","7","       230","7","        90","7","  -10.6","7,0108, ","","","","","","","   38.9","7,0810,+","0.0","7,1121","-3.3","7,1122","","","","","","","-1.7","7,0307","-5.0","7,0306","-5.0","7,0306","-6.7","7,0305","-10.6","7,0108","    1688.1","1","      32.2","7,3,2","    1688.1","7","      41.1","7,3,2","       0.6","7,3,2","       1.1","7,3,2","      16.5","7,3,2","      22.8","7,3,2","","","","","     17.62","7","     23.31","7","     11.93","7"
"USC00342680","2016","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1348.7","","    1348.7","7","        86","7","        51","7","        13","7","","","","","         0","7","        37","7","         1","7","       245","7","        88","7","  -12.2","7,1219,+","","","","","  72.6"," ,7,0530, ","   38.9","7,0812,+","-1.1","7,1119","-2.2","7,1120","-5.6","7,1208","-7.8","7,1217","-12.2","7,1218","-2.8","7,0226","-2.8","7,0226","-5.0","7,0204","","","","","    1236.5","5","","","    1236.5","7","","","","","","","","","","","   1014.6"," ,7","","","     18.50","7","     24.50","7","     12.51","7"
"USC00342680","2017","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1169.6","","    1169.6","7","        80","7","        50","7","        14","7","","","","","         0","7","        35","7","         2","7","       257","7","        59","7","  -15.6","7,0107, ","","","","","  83.6"," ,7,0703, ","   36.1","7,0723, ","-2.2","7,1028","-2.2","7,1028","-4.4","7,1207","-9.4","7,1208","-9.4","7,1208","-1.1","7,0314","-4.4","7,0127","-4.4","7,0127","-7.8","7,0108","-15.6","7,0107","    1153.6","6","      30.6","7,3,2","    1153.6","7","      39.4","7,3,2","       0.0","7,3,2","       1.7","7,3,2","      16.9","7,3,2","      23.6","7,3,2","   1079.8"," ,7","","","     18.09","7","     24.11","7","     12.07","7"
"USC00342680","2018","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1339.7","","    1339.7","7","        97","7","        60","7","        23","7","","","","","         0","7","        58","7","         3","7","       209","7","        86","7","  -13.9","7,0117, ","","","",""," 115.6"," ,7,0922, ","   43.3","7,0721, ","-2.8","7,1110","-2.8","7,1110","-5.0","7,1205","","","","","-0.6","7,0408","-6.1","7,0212","-6.1","7,0212","-8.3","7,0205","-11.7","7,0118","    1586.6","6","      31.1","7,3,2","    1586.6","7","      39.4","7,3,2","      -1.1","7,3,2","       0.0","7,3,2","      15.8","7,3,2","      22.1","7,3,2","   1558.5"," ,7","","","     17.28","7","     23.02","7","     11.53","7"
"USC00342680","2019","33.9208","-96.3203","196.9","DURANT 6 SSE MESONET, OK US","   1279.8","","    1279.8","7","","","","","","","","","","","         0","7","        50","7","         2","7","       216","7","        80","7","   -8.3","7,0304, ","","","","","","","   38.3","7,0820, ","-0.6","7,1012","-2.2","7,1031","-7.2","7,1112","-7.2","7,1112","","","-4.4","7,0306","-4.4","7,0306","-4.4","7,0306","-7.8","7,0305","","","    1672.1","1","      30.6","7,3,2","    1672.1","7","      38.9","7,3,2","       1.1","7,3,2","       2.2","7,3,2","      15.7","7,3,2","      21.9","7,3,2","   1270.7"," ,7","","","     17.24","7","     22.90","7","     11.58","7"
