"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017050","1955","41.667","26.567","51.0","EDIRNE, TU","       115","S","        67","S","         9","S","         0","S","        34","S","         1","S","       170","S","        16","S","   -8.9","S,1128, ","  51.1"," ,S,1216, ","   36.1","S,0610, ","-1.1","S,1120","-2.8","S,1127","-8.9","S,1128","-8.9","S,1128","-8.9","S,1128","0.0","S,0318","-2.2","S,0317","-5.0","S,0307","-7.2","S,0305","    888.9"," ,S","     14.06","S","     19.00","S","      9.10","S"
"TUM00017050","1956","41.667","26.567","51.0","EDIRNE, TU","       107","S","        59","S","         5","S","","","","","        16","S","       165","S","        36","S","","","  45.0"," ,S,0313, ","   36.1","S,0831,+","","","","","","","","","","","","","","","","","","","    677.3"," ,S","","","     17.87","S","",""
"TUM00017050","1957","41.667","26.567","51.0","EDIRNE, TU","        88","S","        47","S","         6","S","         0","S","        66","S","        10","S","       174","S","        43","S","  -10.0","S,1203, ","  39.9"," ,S,0427, ","   37.8","S,0817,+","0.0","S,1122","-2.2","S,1126","-6.1","S,1201","-7.2","S,1202","-10.0","S,1203","0.0","S,0407","-2.2","S,0403","-6.1","S,0305","-7.2","S,0203","    585.0"," ,S","     13.62","S","     19.12","S","      8.11","S"
"TUM00017050","1958","41.667","26.567","51.0","EDIRNE, TU","       103","S","        47","S","         4","S","","","","","         2","S","       165","S","        47","S","","","  51.1"," ,S,0502, ","   41.1","S,0823, ","","","","","","","","","","","","","","","","","","","    557.8"," ,S","","","     19.83","S","",""
"TUM00017050","1959","41.667","26.567","51.0","EDIRNE, TU","        98","S","        53","S","         7","S","","","","","         6","S","       158","S","        27","S","","","  56.9"," ,S,1108, ","   38.9","S,0731, ","","","","","","","","","","","","","","","","","","","    714.4"," ,S","","","     18.40","S","",""
"TUM00017050","1978","41.667","26.567","51.0","EDIRNE, TU","        96","S","        52","S","         3","S","","","","","         2","S","       149","S","        24","S","","","  34.0"," ,S,0916, ","   38.0","S,0707, ","","","","","","","","","","","","","","","","","","","    499.3"," ,S","","","     19.12","S","",""
"TUM00017050","1980","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         5","S","       154","S","        20","S","","","","","   39.0","S,0711, ","","","","","","","","","","","","","","","","","","","","","","","     18.79","S","",""
"TUM00017050","1984","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         1","S","       159","S","        17","S","","","","","   36.2","S,0717, ","","","","","","","","","","","","","","","","","","","","","","","     18.85","S","",""
"TUM00017050","1989","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         2","S","       166","S","        21","S","","","","","   35.0","S,0714, ","","","","","","","","","","","","","","","","","","","","","","","     19.41","S","",""
"TUM00017050","1992","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         2","S","       168","S","        36","S","","","","","   36.2","S,0829, ","","","","","","","","","","","","","","","","","","","","","","","     19.31","S","",""
