"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00074077","1939","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        76","a","        59","a","         3","a","","","","","","","  73.7"," ,a,0226, ","","","","","","","    676.2"," ,a","",""
"ASN00074077","1940","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        48","a","        23","a","         0","a","","","","","","","  19.1"," ,a,0425, ","","","","","","","    234.7"," ,a","",""
"ASN00074077","1941","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        59","a","        33","a","         7","a","","","","","","","  86.9"," ,a,0104, ","","","","","","","    510.6"," ,a","",""
"ASN00074077","1942","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        76","a","        45","a","         0","a","","","","","","","  24.4"," ,a,0327, ","","","","","","","    410.0"," ,a","",""
"ASN00074077","1943","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        58","a","        29","a","         1","a","","","","","","","  26.9"," ,a,0121, ","","","","","","","    207.0"," ,a","",""
"ASN00074077","1944","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        46","a","        22","a","         0","a","","","","","","","  24.6"," ,a,1211, ","","","","","","","    217.2"," ,a","",""
"ASN00074077","1945","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        49","a","        31","a","         2","a","","","","","","","  27.2"," ,a,1027, ","","","","","","","    323.6"," ,a","",""
"ASN00074077","1946","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        59","a","        37","a","         2","a","","","","","","","  33.8"," ,a,0218, ","","","","","","","    366.5"," ,a","",""
"ASN00074077","1947","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        81","a","        45","a","         4","a","","","","","","","  31.8"," ,a,0909, ","","","","","","","    476.7"," ,a","",""
"ASN00074077","1948","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        68","a","        31","a","         2","a","","","","","","","  37.1"," ,a,0606, ","","","","","","","    320.9"," ,a","",""
