"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"CA003035228","2003","50.1167","-113.75","1040.0","PINE COULEE FP, AB CA","        61","C","       104","C","        10","C","   36.5","C,0723, ","","","","","     12.07","C"
"CA003035228","2004","50.1167","-113.75","1040.0","PINE COULEE FP, AB CA","","","","","","","","","    4638.5","5","    4638.5"," ","",""
