"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"GME00129143","1937","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","        8","","    80"," ,E,1206,+"
"GME00129143","1938","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       30","","   230"," ,E,0107, "
"GME00129143","1939","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       27","","   300"," ,E,0101, "
"GME00129143","1940","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       44","","   190"," ,E,0202, "
"GME00129143","1941","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       45","","   320"," ,E,0119, "
"GME00129143","1942","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       72","","   570"," ,E,0217, "
"GME00129143","1943","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       11","","    70"," ,E,0105,+"
"GME00129143","1944","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       37","","   170"," ,E,0215,+"
"GME00129143","1946","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","        4","","   120"," ,E,0223,+"
"GME00129143","1948","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       17","","    80"," ,E,1218, "
"GME00129143","1949","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       11","","    60"," ,E,1213, "
"GME00129143","1950","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       29","","   150"," ,E,1231,+"
"GME00129143","1951","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","        8","","   150"," ,E,0101, "
"GME00129143","1952","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       57","","   150"," ,E,0213, "
"GME00129143","1953","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       46","","   300"," ,E,0208,+"
"GME00129143","1954","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       11","","   250"," ,E,0110,+"
"GME00129143","1955","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       25","","   160"," ,E,0222, "
"GME00129143","1956","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       40","","   230"," ,E,0221,+"
"GME00129143","1957","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       18","","    70"," ,E,0117,+"
"GME00129143","1958","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       28","","   500"," ,E,0208, "
"GME00129143","1959","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       15","","   220"," ,E,0116, "
"GME00129143","1960","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       18","","    80"," ,E,0114,+"
"GME00129143","1961","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","        7","","   150"," ,E,0127,+"
"GME00129143","1962","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       32","","   130"," ,E,1122, "
"GME00129143","1963","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       71","","   250"," ,E,0222, "
"GME00129143","1964","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       19","","   110"," ,E,0316, "
"GME00129143","1965","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       52","","   220"," ,E,0304, "
"GME00129143","1966","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       17","","    90"," ,E,0115, "
"GME00129143","1967","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       14","","    40"," ,E,1222,+"
"GME00129143","1968","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       26","","   280"," ,E,0114, "
"GME00129143","1969","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       74","","   250"," ,E,0103, "
"GME00129143","1970","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       54","","   120"," ,E,0124,+"
"GME00129143","1971","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       37","","   110"," ,E,0312, "
"GME00129143","1972","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       17","","   110"," ,E,0131, "
"GME00129143","1973","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       23","","   160"," ,E,1201, "
"GME00129143","1974","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","        1","","    30"," ,E,0316, "
"GME00129143","1975","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","        4","","   160"," ,E,0320, "
"GME00129143","1976","48.7144","9.2103","401.0","STUTTGART HOHENHEIM, GM","       26","","   120"," ,E,0128, "
