"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA005042058","1985","53.15","-101.1","258.0","OVERFLOWING RIVER, MB CA","       105","C","        58","C","         3","C","        19","C","        96","C","       220","C","","","","","","","  -41.0","C,0202, ","   170"," ,C,1104, ","  39.0"," ,C,0812, ","","","-0.5","C,0810","-3.0","C,0908","-9.0","C,0912","-9.0","C,0912","-9.0","C,0912","0.0","C,0604","-3.0","C,0519","-5.0","C,0423","-8.0","C,0416","-13.5","C,0409","    522.0"," ,C","     1284"," ,C","","","     -8.15","C"
"CA005042058","1986","53.15","-101.1","258.0","OVERFLOWING RIVER, MB CA","       112","C","        52","C","         1","C","        16","C","","","","","","","","","","","","","   230"," ,C,0428, ","  31.0"," ,C,0705, ","","","","","","","","","","","","","","","","","","","","","","","    528.9"," ,C","     1700"," ,C","","","",""
"CA005042058","1987","53.15","-101.1","258.0","OVERFLOWING RIVER, MB CA","       115","C","        64","C","         4","C","        19","C","","","","","       102","C","        67","C","         4","C","","","   110"," ,C,1210, ","  38.5"," ,C,0621, ","   34.0","C,0728,+","","","","","","","","","","","","","","","","","","","","","    635.6"," ,C","     1121"," ,C","      9.13","C","",""
"CA005042058","1988","53.15","-101.1","258.0","OVERFLOWING RIVER, MB CA","       112","C","        48","C","         1","C","        17","C","","","","","","","","","","","","","   200"," ,C,0408, ","  36.0"," ,C,0501, ","","","","","","","","","","","","","","","","","","","","","","","    480.3"," ,C","     1619"," ,C","","","",""
