"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00087228","2005","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00087228","2006","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","   1577.9","","    1577.9","0","        93","0","        65","0","        15","0","        0","","         0","0","         0","0","        16","0","         0","0","       329","0","       130","0","","","   -5.6","0,0214, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  59.2"," ,0,0613, ","   36.1","0,0813,+","0.0","0,1026","","","","","-0.6","0,0328","-4.4","0,0215","-4.4","0,0215","","","","","","","   1112.2"," ,0","        0"," ,0","     21.22","0","     28.57","0","     13.87","0"
"USC00087228","2007","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","   1629.2","","    1629.2","0","       118","0","        66","0","        10","0","        0","","         0","0","         0","0","        11","0","         0","0","       329","0","       119","0","","","   -5.0","0,0217, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.2"," ,0,0826, ","   37.2","0,0811, ","-1.1","0,1117","","","","","-1.7","0,0306","-2.2","0,0219","-5.0","0,0217","","","     504.0","0","     504.0","0","    995.2"," ,0","        0"," ,0","     21.46","0","     28.54","0","     14.39","0"
"USC00087228","2008","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","   1545.4","","    1545.4","0","       115","0","        75","0","        13","0","        0","","         0","0","         0","0","        20","0","         0","0","       319","0","       108","0","","","   -2.8","0,0228,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.5"," ,0,0716, ","   37.8","0,0610, ","0.0","0,1029","-2.2","0,1203","","","-0.6","0,0326","-2.8","0,0228","","","","","     438.3","3","     438.3","0","   1198.6"," ,0","        0"," ,0","     21.16","0","     28.31","0","     14.01","0"
"USC00087228","2009","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","","","","","       129","0","        82","0","        11","0","","","","","","","","","","","","","","","","","","","","","",""," 101.9"," ,0,0520, ","","","","","","","","","","","","","","","","","     659.8","8","     659.8"," ","   1301.1"," ,0","","","","","","","",""
"USC00087228","2010","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","","","","","       112","N","        77","N","        15","N","","","","","","","","","","","","","","","","","","","","","",""," 100.1"," ,N,0312, ","","","","","","","","","","","","","","","","","","","","","   1348.7"," ,N","","","","","","","",""
"USC00087228","2011","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","   1659.6","","    1659.6","7","       102","7","        70","7","        15","7","","","","","         0","7","        13","7","         0","7","       329","7","       140","7","","","   -3.9","7,0213, ","","","","","  91.2"," ,7,0529, ","   37.2","7,0813,+","","","","","","","-0.6","7,0312","-2.2","7,0215","","","","","","","","","   1103.1"," ,7","","","     21.61","7","     28.97","7","     14.26","7"
"USC00087228","2012","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","   1659.3","","    1659.3","7","       117","7","        73","7","         7","7","","","","","         0","7","        22","7","         0","7","       336","7","       112","7","","","   -8.3","7,0104, ","","","",""," 104.1"," ,7,0625, ","   35.6","7,0810,+","-1.1","7,1109","-2.2","7,1123","-4.4","7,1223","-0.6","7,0305","-5.0","7,0214","-5.0","7,0214","-6.7","7,0213","     398.3","3","     398.3","7","   1076.5"," ,7","","","     21.51","7","     28.72","7","     14.30","7"
"USC00087228","2013","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","","","","","       140","N","        96","N","        13","N","","","","","","","","","","","","","","","","","","","","","","","  71.6"," ,N,0504, ","","","","","","","","","","","","","","","","","","","","","   1382.1"," ,N","","","","","","","",""
"USC00087228","2015","28.7991","-81.5373","27.4","MOUNT PLYMOUTH 1 SSW, FL US","   1978.4","","    1978.4","7","","","","","","","","","","","         0","7","         2","7","         0","7","       328","7","       100","7","","","   -5.6","7,0220, ","","","","","","","   36.1","7,0812,+","","","","","","","-1.1","7,0221","-5.6","7,0220","-5.6","7,0220","","","","","","","","","","","     22.73","7","     28.63","7","     16.83","7"
