"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00128992","2003","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","","","","","        26"," ","         6"," ","","","","","","","","","","","","","",""
"USC00128992","2004","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","       66","","","","        30"," ","        29"," ","   254"," ,0,1220, ","","","","","","","","","","","",""
"USC00128992","2005","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","       124","0","        66","0","         4","0","       68","","        17","0","        58"," ","        30"," ","   229"," ,0,1211,+","   157"," ,0,1209, ","  34.8"," ,0,0814, ","","","","","    735.7"," ,0","     1208"," ,0"
"USC00128992","2006","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","","","","","        54"," ","        32"," ","","","","","","","","","","","","","",""
"USC00128992","2007","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","","","","","        39"," ","        33"," ","","","","","","","","","","","","","",""
"USC00128992","2008","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","       66","","        22","0","        30"," ","        34"," ","   279"," ,0,0102, ","   201"," ,0,0221, ","","","","","","","","","     1895"," ,0"
"USC00128992","2009","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","       141","0","        87","0","        10","0","       59","","        21","0","        47"," ","        19"," ","   635"," ,0,0204, ","   432"," ,0,0204, "," 141.2"," ,0,0611, ","","","","","   1179.9"," ,0","     1835"," ,0"
"USC00128992","2010","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","       91","","        25","0","        49"," ","        36"," ","   356"," ,0,0109, ","   191"," ,0,0210, ","","","","","","","","","     1706"," ,0"
"USC00128992","2011","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","       146","7","        97","7","        11","7","","","","","        71"," ","        46"," ","","","","","  63.8"," ,7,0526, ","","","","","   1268.7"," ,7","",""
"USC00128992","2012","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","","","","","        53"," ","        30"," ","","","","","","","    2999.2","2","    2999.2","7","","","",""
"USC00128992","2013","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","","","","","        53"," ","        33"," ","","","","","","","","","","","","","",""
"USC00128992","2014","41.5436","-87.0319","264.9","VALPARAISO 5 NNE, IN US","","","","","","","","","","","         8"," ","         7"," ","","","","","","","","","","","","","",""
