"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094056","1999","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.6","W","","","","","       102","W","        38","W","         2","W","","","","","","","","","","","","","","","  31.2"," ,W,0605, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    420.9"," ,W","","","","","","","       270","W","       270","W","      38.9","W","      38.9","W"
"USW00094056","2000","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.7","W","    393.4","","     393.4","W","        99","W","        35","W","         5","W","        22","W","       171","W","        76","W","       129","W","        37","W","","","  -26.7","W,1224,+","  43.2"," ,W,0424, ","   40.0","W,0824, ","-0.6","W,0923","-2.8","W,0924","-5.0","W,1005","-8.3","W,1007","-10.0","W,1107","-2.2","W,0513","-2.2","W,0513","-4.4","W,0420","-7.8","W,0415","-9.4","W,0316","    3793.4","4","    3793.4","W","    492.0"," ,W","      7.55","W","     14.19","W","      0.90","W","       210","W","       280","W","      38.9","W","      38.9","W"
"USW00094056","2001","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.6","W","","","","","        81","W","        33","W","         2","W","","","","","","","","","","","","","","","  46.0"," ,W,0726, ","","","","","","","","","","","","","","","","","","","","","","","    4566.5","5","    4566.5","W","    324.3"," ,W","","","","","","","       260","W","        10","W","      38.0","W","      38.9","W"
"USW00094056","2002","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.8","W","    454.5","","     454.5","W","        73","W","        25","W","         0","W","        20","W","       190","W","        57","W","       126","W","        43","W","","","  -23.9","W,0303, ","  19.3"," ,W,0622, ","   42.2","W,0628, ","0.0","W,0926","-3.3","W,1012","-4.4","W,1019","-7.2","W,1023","-9.4","W,1029","-2.2","W,0524","-2.2","W,0524","-5.0","W,0425","-7.2","W,0405","-8.9","W,0404","","","","","    222.8"," ,W","      7.78","W","     14.49","W","      1.06","W","       330","W","       240","W","      25.0","W","      30.0","W"
"USW00094056","2003","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.7","W","    471.2","","     471.2","W","        84","W","        27","W","         0","W","        22","W","       157","W","        70","W","       127","W","        43","W","","","  -26.7","W,0122, ","  23.6"," ,W,0624, ","   42.2","W,0724, ","0.0","W,0925","-4.4","W,1025","-4.4","W,1025","-7.2","W,1031","-8.9","W,1101","-1.7","W,0520","-4.4","W,0408","-4.4","W,0408","-7.2","W,0405","-9.4","W,0329","    4290.0","0","    4290.0","W","    248.6"," ,W","      7.84","W","     14.29","W","      1.39","W","       300","W","       320","W","      21.9","W","      26.4","W"
"USW00094056","2004","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.7","W","    230.4","","     230.4","W","        88","W","        32","W","         5","W","        22","W","       166","W","        49","W","       124","W","        20","W","","","  -27.8","W,0128, ","  63.5"," ,W,1029, ","   37.2","W,0901,+","-1.7","W,1001","-3.9","W,1015","-4.4","W,1016","-6.7","W,1110","-8.9","W,1111","-1.7","W,0514","-2.8","W,0513","-9.4","W,0412","-9.4","W,0412","-9.4","W,0412","    4234.9","9","    4234.9","W","    496.5"," ,W","      7.73","W","     14.16","W","      1.30","W","       300","W","       300","W","      25.0","W","      29.5","W"
"USW00094056","2005","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.8","B","    404.2","","     404.2","B","       106","B","        33","B","         2","B","        23","B","       162","B","        50","B","       140","B","        32","B","","","  -30.0","B,0115, ","  27.4"," ,B,0607, ","   41.1","B,0716, ","0.0","B,1004","-3.3","B,1006","-5.0","B,1024","-11.7","B,1115","-11.7","B,1115","-0.6","W,0515","-5.6","W,0503","-5.6","W,0503","-8.9","W,0325","-8.9","W,0325","    3945.6","6","    3945.6","B","    377.8"," ,B","      8.56","B","     15.03","B","      2.08","B","         0","B","       300","B","     102.8","B","      27.7","B"
"USW00094056","2006","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.7","W","    494.2","","     494.2","W","        83","W","        29","W","         2","W","        10","W","       163","W","        40","W","       134","W","        46","W","","","  -25.5","W,0218, ","  32.3"," ,W,0808, ","   43.9","W,0730,+","0.0","W,0919","-5.5","W,1011","-5.5","W,1011","-7.1","W,1030","-10.5","W,1031","-1.0","W,0505","-3.8","W,0426","-8.2","W,0325","-8.2","W,0325","-12.1","W,0324","    3684.6","6","    3684.6","W","    317.7"," ,W","      9.12","W","     15.88","W","      2.36","W","       320","W","       330","W","      23.3","W","      31.3","W"
"USW00094056","2007","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.8","W","    483.0","","     483.0","W","        88","W","        31","W","         2","W","        16","W","       156","W","        55","W","       137","W","        42","W","","","  -27.1","W,0215, ","  75.7"," ,W,0726, ","   43.3","W,0707, ","-2.1","W,0914","-2.7","W,1027","-4.9","W,1102","-8.2","W,1105","-9.3","W,1115","-0.5","W,0417","-2.7","W,0413","-6.0","W,0409","-10.5","W,0408","-10.5","W,0408","    4076.1","1","    4076.1","W","    450.9"," ,W","      8.63","W","     15.33","W","      1.92","W","       220","W","       220","W","      22.8","W","      28.2","W"
"USW00094056","2008","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4341.5","5","    4341.5","W","","","","","","","","","","","","","","","",""
"USW00094056","2009","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","","","    201.4","","     201.4","W","       110","W","        39","W","         3","W","        24","W","       180","W","        80","W","       114","W","        11","W","","","  -27.7","W,1215, ","  35.3"," ,W,0703, ","   34.4","W,0812,+","0.0","W,1005","-2.7","W,1008","-7.1","W,1009","-7.1","W,1009","-10.5","W,1202","-2.7","W,0516","-2.7","W,0516","-10.5","W,0407","-10.5","W,0407","-10.5","W,0407","","","","","    444.6"," ,W","      6.07","W","     11.95","W","      0.20","W","","","","","","","",""
"USW00094056","2011","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","","","    367.4","","     367.4","W","       115","W","        45","W","         3","W","        29","W","       161","W","        69","W","       111","W","        28","W","","","  -28.8","W,0225, ","  29.0"," ,W,0520,+","   37.8","W,0719,+","-1.6","W,1018","-3.8","W,1019","-5.5","W,1020","-8.2","W,1103","-9.3","W,1116","-1.6","W,0503","-7.1","W,0420","-7.1","W,0420","-7.1","W,0420","-9.3","W,0313","    4740.5","5","    4740.5","W","    440.5"," ,W","      6.99","W","     13.09","W","      0.88","W","","","       310","W","","","      60.4","W"
"USW00094056","2012","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.6","W","","","","","        82","W","        33","W","         1","W","        16","W","       149","W","","","","","","","         1"," ","  -22.7","W,0119,+","  27.7"," ,W,0630, ","","","0.0","W,0922","-2.7","W,1004","-6.0","W,1005","-8.8","W,1006","-12.1","W,1110","-0.5","W,0417","-2.7","W,0411","-4.9","W,0307","-11.6","W,0303","-11.6","W,0303","","","","","    330.0"," ,W","","","","","      2.29","W","       320","W","       320","W","      24.1","W","      31.7","W"
"USW00094056","2013","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.6","W","    386.4","","     386.4","W","       106","W","        46","W","         1","W","        18","W","       195","W","        61","W","       130","W","        28","W","         3"," ","  -29.9","W,1207, ","  29.2"," ,W,0527, ","   38.9","W,0711, ","0.0","W,1004","-3.2","W,1024","-6.6","W,1105","-8.8","W,1106","-12.1","W,1111","-2.1","W,0505","-3.2","W,0504","-8.2","W,0423","-8.2","W,0423","-11.6","W,0409","    4296.0","0","    4296.0","W","    446.7"," ,W","      7.12","W","     13.46","W","      0.77","W","       270","W","       260","W","      23.7","W","      30.9","W"
"USW00094056","2014","45.032601","-102.01999","784.0","FAITH MUNICIPAL AIRPORT, SD US","       5.9","W","    239.4","","     239.4","W","       108","W","        49","W","         2","W","        36","W","       170","W","        70","W","       124","W","         8","W","         3"," ","  -28.2","W,0302, ","  75.2"," ,W,0823, ","   35.6","W,0721, ","0.0","W,0912","-5.5","W,1028","-5.5","W,1028","-12.1","W,1110","-12.1","W,1110","-1.0","W,0515","-2.7","W,0417","-6.6","W,0415","-16.0","W,0401","-16.0","W,0401","    4631.6","6","    4631.6","W","    505.0"," ,W","      6.44","W","     12.71","W","      0.16","W","       330","W","       250","W","      24.1","W","      30.9","W"
