"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00026606","1906","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        33","6","        29","6","         1","6","         3","6","","","","","","","","","","","","","","","","","   102"," ,6,1118, ","  25.4"," ,6,1227, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    282.2"," ,6","      254"," ,6","","","","","",""
"USC00026606","1907","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        48","6","        37","6","         1","6","         9","6","","","","","","","","","","","","","","","","","   102"," ,6,1118, ","  40.6"," ,6,1023, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    317.0"," ,6","      547"," ,6","","","","","",""
"USC00026606","1908","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        43","6","        31","6","         1","6","","","","","","","","","","","","","","","","","","","","","  25.4"," ,6,0213, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    335.8"," ,6","","","","","","","",""
"USC00026606","1909","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        37","6","        27","6","         0","6","         9","6","","","","","","","","","","","         1"," ","","","","","   114"," ,6,1205, ","  14.0"," ,6,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    211.1"," ,6","      699"," ,6","","","","","",""
"USC00026606","1915","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        48","6","        45","6","         0","6","","","","","","","","","","","","","","","","","","","","","  24.9"," ,6,0422, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    355.6"," ,6","","","","","","","",""
"USC00026606","1916","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        51","6","        46","6","         0","6","","","","","","","","","","","","","         1"," ","","","","","","","  25.1"," ,6,0828, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    350.0"," ,6","","","","","","","",""
"USC00026606","1917","35.05","-109.65","1652.9","PINTA, AZ US","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00026606","1918","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        42","6","        33","6","         1","6","","","","","","","","","","","","","","","","","","","","","  38.1"," ,6,0713, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    318.4"," ,6","","","","","","","",""
"USC00026606","1919","35.05","-109.65","1652.9","PINTA, AZ US","    470.5","","     470.5","6","","","","","","","","","        15","6","       165","6","        18","6","       189","6","        80","6","         4"," ","","","  -31.1","6,0102, ","","","","","   38.3","6,0629,+","-0.6","6,1008","-2.8","6,1021","-4.4","6,1028","-8.9","6,1101","-8.9","6,1101","0.0","6,0603","-2.2","6,0601","-6.1","6,0416","-6.7","6,0316","-8.9","6,0314","","","","","","","","","     10.59","6","     20.15","6","      1.04","6"
"USC00026606","1920","35.05","-109.65","1652.9","PINTA, AZ US","","","","","        50","6","        37","6","         2","6","","","","","","","         2","6","       169","6","        26","6","         3"," ","","","","","","","  35.6"," ,6,1020, ","   34.4","6,0710,+","","","","","","","","","","","","","","","","","","","","","","","","","    339.4"," ,6","","","","","     19.35","6","",""
