"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00129710","1883","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1884","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1885","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1886","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1887","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","       13","","","","","","","","","","","","","","   260"," ,E,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1888","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","       39","","","","","","","","","","","","","","   190"," ,E,0320, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1889","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","       31","","","","","","","","","","","","","","   240"," ,E,0227,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1891","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1892","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1893","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1894","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1895","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1896","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        5","","","","","","","","","","","","","","    40"," ,E,0127,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1897","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1898","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1899","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1900","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1901","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1902","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1903","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1904","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1905","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1906","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        6","","","","","","","","","","","","","","    40"," ,E,0115,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1907","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1908","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1909","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1910","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1911","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GME00129710","1912","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","        0","","","","","","","","","","","","","","     0"," ,E,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
