"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00105505","1917","43.25","-114.35","1463.0","MAGIC, ID US","         1"," ","    5381.7","7","    5381.7","6"
"USC00105505","1918","43.25","-114.35","1463.0","MAGIC, ID US","         1"," ","","","",""
