"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CTHO","1992","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","","","","","         0","U","        10","U","         0","U","       214","U","        98","U","   -3.3","U,0120, ","   42.8","U,0621, ","-1.1","U,1218","","","","","","","-1.1","U,0123","-3.3","U,0120","","","","","     18.49","U","     23.98","U","     13.00","U"
"USR0000CTHO","1993","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1072.4","","    1072.4","U","         0","U","        10","U","         0","U","       198","U","        79","U","   -5.0","U,1222,+","   43.3","U,0801, ","-0.6","U,1124","-5.0","U,1221","-5.0","U,1221","","","-0.6","U,0216","-2.2","U,0104","","","","","     17.37","U","     22.85","U","     11.90","U"
"USR0000CTHO","1994","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1180.2","","    1180.2","U","         0","U","         8","U","         0","U","       218","U","        98","U","   -2.2","U,0220, ","   41.1","U,0714,+","0.0","U,1126","","","","","","","-2.2","U,0220","-2.2","U,0220","    1268.1","1","    1268.1","U","     17.42","U","     23.25","U","     11.58","U"
"USR0000CTHO","1996","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1318.5","","    1318.5","U","         0","U","         1","U","         0","U","       208","U","        92","U","    0.0","U,0114, ","   42.2","U,0812,+","","","","","","","","","0.0","U,0114","","","","","","","     18.33","U","     23.59","U","     13.07","U"
"USR0000CTHO","1997","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1181.0","","    1181.0","U","         0","U","         4","U","         0","U","       212","U","        85","U","   -1.7","U,0114, ","   42.2","U,0805, ","0.0","U,1220","","","","","","","-1.7","U,0114","","","    1180.4","4","    1180.4","U","     18.15","U","     23.50","U","     12.79","U"
"USR0000CTHO","1998","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1065.3","","    1065.3","U","         0","U","         8","U","         0","U","       170","U","        66","U","   -7.8","U,1221, ","   43.9","U,0902,+","0.0","U,1205","-3.9","U,1206","-4.4","U,1220","-7.8","U,1221","0.0","U,0106","","","    1686.4","4","    1686.4","U","     16.32","U","     21.43","U","     11.22","U"
"USR0000CTHO","1999","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1167.0","","    1167.0","U","         0","U","         6","U","         0","U","       208","U","        91","U","   -3.9","U,0110,+","   45.6","U,0712, ","","","","","","","","","-2.2","U,0210","-2.2","U,0210","    1638.5","5","    1638.5","U","     17.55","U","     23.38","U","     11.72","U"
"USR0000CTHO","2000","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1172.1","","    1172.1","U","         0","U","         4","U","         0","U","       197","U","        93","U","   -1.1","U,1115, ","   43.3","U,0731, ","0.0","U,1114","","","","","","","-0.6","U,0102","","","    1284.9","9","    1284.9","U","     17.57","U","     23.16","U","     11.98","U"
"USR0000CTHO","2001","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1422.5","5","    1422.5","U","","","","","",""
"USR0000CTHO","2004","39.8644","-122.6097","317.0","THOMES CREEK CALIFORNIA, CA US","   1366.6","","    1366.6","U","         0","U","         3","U","         0","U","       216","U","       111","U","   -1.1","U,0104, ","   42.8","U,0706, ","0.0","U,1204","","","","","","","-1.1","U,0104","","","    1330.0","0","    1330.0","U","     18.48","U","     24.68","U","     12.29","U"
