"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00142472","2004","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        68","0","        59","0","        10","0","        3","","         0","0","","","","","   152"," ,0,0202, ","     0"," ,0,1231,+","  73.7"," ,0,0617, ","    978.0"," ,0","        0"," ,0"
"USC00142472","2005","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        50","0","        44","0","        13","0","","","         4","0","","","","","","","   152"," ,0,1218, "," 116.8"," ,0,0513, ","    845.5"," ,0","      440"," ,0"
"USC00142472","2007","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        67","0","        59","0","        10","0","","","         9","0","","","","","","","   229"," ,0,1223, ","  78.5"," ,0,0507, ","    900.8"," ,0","      648"," ,0"
"USC00142472","2009","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        55","0","        51","0","        12","0","","","         3","0","","","","","","","   178"," ,0,1225, ","  99.6"," ,0,0721, ","    970.3"," ,0","      241"," ,0"
"USC00142472","2010","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        55","0","        47","0","        11","0","","","         5","0","","","","","","","    84"," ,0,0129, ","  53.3"," ,0,0914, ","    850.0"," ,0","      291"," ,0"
"USC00142472","2011","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        59","K","        53","K","         7","K","","","","","","","         1"," ","","","","","  71.1"," ,K,0918, ","    717.2"," ,K","",""
"USC00142472","2012","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        55","7","        44","7","         7","7","","","","","         5"," ","         8"," ","","","","","  46.5"," ,7,0826, ","    614.9"," ,7","",""
"USC00142472","2013","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        69","7","        53","7","        12","7","","","","","         4"," ","         7"," ","","","",""," 121.4"," ,7,0730, ","   1001.2"," ,7","",""
"USC00142472","2014","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        65","7","        46","7","         6","7","","","","","         2"," ","","","","","","","  81.3"," ,7,0901, ","    710.2"," ,7","",""
"USC00142472","2015","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        62","7","        46","7","         7","7","        6","","         4","7","         5"," ","         4"," ","    25"," ,7,0305,+","    36"," ,7,0305,+","  61.5"," ,7,0517, ","    896.7"," ,7","      155"," ,7"
"USC00142472","2016","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        56","7","        50","7","        11","7","        5","","         3","7","         8"," ","         5"," ","    76"," ,7,0327,+","    89"," ,7,0327, ","  82.8"," ,7,0427, ","    961.9"," ,7","      216"," ,7"
"USC00142472","2017","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        53","7","        43","7","        11","7","        5","","         2","7","         2"," ","         4"," ","    51"," ,7,0106,+","    38"," ,7,1226,+","  55.4"," ,7,0325, ","    852.2"," ,7","       81"," ,7"
"USC00142472","2018","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        68","7","        49","7","        10","7","        9","","         3","7","         5"," ","         1"," ","   127"," ,7,1127,+","   127"," ,7,1126, ","  51.1"," ,7,1009, ","    874.1"," ,7","      276"," ,7"
"USC00142472","2019","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        68","7","        55","7","        16","7","       12","","         3","7","","","         5"," ","   102"," ,7,0303, ","    97"," ,7,0303, ","  91.4"," ,7,0704, ","   1168.2"," ,7","      239"," ,7"
"USC00142472","2020","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","","","","","","","","","","","         2"," ","         7"," ","","","","","","","","","",""
"USC00142472","2021","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","        38","7","        37","7","         9","7","        7","","         2","7","","","         4"," ","   102"," ,7,0102, ","   102"," ,7,0102, ","  87.1"," ,7,0626, ","    735.7"," ,7","      153"," ,7"
"USC00142472","2022","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","","","","","","","        9","","         2","7","         1"," ","         1"," ","   127"," ,7,0202, ","   114"," ,7,0202, ","","","    825.3"," ,7","      203"," ,7"
"USC00142472","2023","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","","","","","","","","","","","","","         3"," ","","","","","","","","","",""
"USC00142472","2024","38.3922","-96.6228","364.5","ELMDALE 2 NE, KS US","","","","","","","","","","","","","         1"," ","","","","","","","","","",""
