"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RQC00660147","1931","17.96667","-66.21667","14.9","AGUIRRE, PR US","   2997.9","","    2997.9","0","       156","0","       104","0","        19","0","","","","","         0","0","         0","0","         0","0","       365","0","        76","0","","","   17.2","0,0219, ","","","","","  79.2"," ,0,0919, ","   36.1","0,0828, ","","","","","   1542.4"," ,0","","","     26.54","0","     30.95","0","     22.12","0"
"RQC00660147","1932","17.96667","-66.21667","14.9","AGUIRRE, PR US","   2852.1","","    2852.1","0","       137","0","        84","0","        13","0","","","","","         0","0","         0","0","         0","0","       365","0","        86","0","","","   15.0","0,0219, ","","","","","  99.8"," ,0,0831, ","   35.6","0,1029, ","       0.0","0","       0.0","0","   1369.8"," ,0","","","     26.14","0","     30.79","0","     21.50","0"
"RQC00660147","1933","17.96667","-66.21667","14.9","AGUIRRE, PR US","   2737.1","","    2737.1","0","       134","0","        81","0","        16","0","","","","","         0","0","         0","0","         0","0","       365","0","        30","0","","","   15.6","0,0131, ","","","",""," 109.2"," ,0,0502, ","   35.6","0,0909, ","       0.0","0","       0.0","0","   1430.2"," ,0","","","     25.82","0","     30.54","0","     21.10","0"
"RQC00660147","1935","17.96667","-66.21667","14.9","AGUIRRE, PR US","   2605.4","","    2605.4","0","       105","0","        74","0","         7","0","","","","","         0","0","         0","0","         0","0","       365","0","        25","0","","","   15.0","0,0201, ","","","","","  78.7"," ,0,0204, ","   36.7","0,0827, ","","","","","    952.2"," ,0","","","     25.46","0","     30.16","0","     20.77","0"
"RQC00660147","1936","17.96667","-66.21667","14.9","AGUIRRE, PR US","","","","","       117","0","        89","0","        15","0","","","","","         0","0","         0","0","","","","","","","","","   16.7","0,0307, ","","","","","  83.8"," ,0,0721, ","","","","","","","   1249.1"," ,0","","","","","","","     21.94","0"
"RQC00660147","1937","17.96667","-66.21667","14.9","AGUIRRE, PR US","   3026.8","","    3026.8","0","        96","0","        67","0","        11","0","","","","","         0","0","         0","0","         0","0","       363","0","        99","0","","","   16.1","0,0125, ","","","",""," 123.2"," ,0,0809, ","   35.6","0,0909,+","       0.0","0","       0.0","0","   1022.1"," ,0","","","     26.66","0","     30.90","0","     22.42","0"
"RQC00660147","1938","17.96667","-66.21667","14.9","AGUIRRE, PR US","   2945.5","","    2945.5","0","        86","0","        59","0","        11","0","","","","","         0","0","         0","0","         0","0","       365","0","        70","0","","","   16.7","0,0305, ","","","",""," 198.1"," ,0,1108, ","   34.4","0,1011, ","       0.0","0","       0.0","0","   1091.7"," ,0","","","     26.39","0","     30.74","0","     22.04","0"
"RQC00660147","1939","17.96667","-66.21667","14.9","AGUIRRE, PR US","   2985.5","","    2985.5","0","        95","0","        64","0","         4","0","","","","","         0","0","         0","0","         0","0","       365","0","        93","0","","","   17.2","0,0220,+","","","","","  55.9"," ,0,0904, ","   35.0","0,1008, ","       0.0","0","       0.0","0","    615.7"," ,0","","","     26.50","0","     30.79","0","     22.21","0"
"RQC00660147","1940","17.96667","-66.21667","14.9","AGUIRRE, PR US","","","","","       128","0","        90","0","        12","0","","","","","         0","0","         0","0","","","","","","","","","   18.3","0,0303,+","","","","","  74.9"," ,0,0923, ","","","","","","","   1135.9"," ,0","","","","","","","     22.68","0"
"RQC00660147","1941","17.96667","-66.21667","14.9","AGUIRRE, PR US","   3170.4","","    3170.4","0","       104","0","        79","0","        11","0","","","","","         0","0","         0","0","         0","0","       363","0","       125","0","","","   16.1","0,0108, ","","","","","  69.9"," ,0,0927, ","   33.9","0,0922,+","       0.0","0","       0.0","0","    929.9"," ,0","","","     27.06","0","     31.27","0","     22.85","0"
"RQC00660147","1942","17.96667","-66.21667","14.9","AGUIRRE, PR US","   3232.0","","    3232.0","0","       132","0","       100","0","        10","0","","","","","         0","0","         0","0","         0","0","       363","0","       157","0","","","   18.3","0,0210, ","","","","","  91.4"," ,0,1105, ","   34.4","0,0907,+","       0.0","0","       0.0","0","   1193.2"," ,0","","","     27.28","0","     31.52","0","     23.04","0"
"RQC00660147","1943","17.96667","-66.21667","14.9","AGUIRRE, PR US","","","","","        99","0","        79","0","        10","0","","","","","         0","0","         0","0","","","","","","","","","   16.1","0,0208, ","","","",""," 177.8"," ,0,1014, ","","","","","","","   1312.3"," ,0","","","","","","","     22.34","0"
"RQC00660147","1944","17.96667","-66.21667","14.9","AGUIRRE, PR US","   2962.6","","    2962.6","0","        91","0","        66","0","        15","0","","","","","         0","0","         0","0","         0","0","       363","0","       129","0","","","   16.1","0,0208, ","","","",""," 152.4"," ,0,0712, ","   35.6","0,1018, ","       0.0","0","       0.0","0","   1307.1"," ,0","","","     26.65","0","     31.26","0","     22.05","0"
