"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00014954","2011","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014954","2012","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","        19"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014954","2013","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014954","2014","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014954","2015","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014954","2016","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","","","","","","","","","        24"," ","         1"," ","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014954","2017","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","","","","","","","","","","","","","","","","","        87"," ","        13"," ","        44"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014954","2018","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","       4.4","W","    446.4","","     446.4","W","","","","","","","        23","W","       174","W","        78","W","       131","W","        13","W","       163"," ","        26"," ","        44"," ","  -27.1","W,0102,+","","","   37.8","W,0528, ","-3.2","W,1011","-3.2","W,1011","-5.5","W,1107","-11.6","W,1109","-11.6","W,1109","0.0","W,0428","-5.5","W,0420","-5.5","W,0420","-7.1","W,0417","-10.5","W,0407","","","","","","","      7.10","W","     11.78","W","      2.42","W","       110","W","      17.0","W"
"USW00014954","2019","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","       4.5","W","    340.0","","     340.0","W","","","","","","","        38","W","       162","W","        80","W","       125","W","         1","W","       155"," ","        22"," ","        39"," ","  -33.8","W,0131, ","","","   33.3","W,0719, ","0.0","W,1011","-2.7","W,1014","-6.0","W,1030","-7.1","W,1105","-10.5","W,1106","0.0","W,0428","-3.2","W,0414","-4.9","W,0317","-7.7","W,0316","-12.7","W,0311","    4559.3","3","    4559.3","W","","","      6.48","W","     11.17","W","      1.80","W","       300","W","      16.5","W"
"USW00014954","2020","44.21667","-93.91667","311.2","MANKATO MUNICIPAL AIRPORT, MN US","","","","","","","        90","W","        49","W","         7","W","","","","","","","","","","","       111"," ","        19"," ","        22"," ","","","  93.5"," ,W,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    759.1"," ,W","","","","","","","","","",""
