"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ICM00004082","1987","64.296","-15.227","7.3","HORNAFJORDUR, IC","        17","S","         1","S","         0","S","   21.4","S,0521, ","      7.66","S"
"ICM00004082","1990","64.296","-15.227","7.3","HORNAFJORDUR, IC","        12","S","         0","S","         0","S","   18.0","S,0805, ","      7.36","S"
"ICM00004082","1991","64.296","-15.227","7.3","HORNAFJORDUR, IC","        12","S","         1","S","         0","S","   22.7","S,0709, ","      8.21","S"
"ICM00004082","1993","64.296","-15.227","7.3","HORNAFJORDUR, IC","        24","S","         0","S","         0","S","   18.0","S,0824, ","      7.37","S"
"ICM00004082","1994","64.296","-15.227","7.3","HORNAFJORDUR, IC","        32","S","         0","S","         0","S","   19.4","S,0807, ","      7.27","S"
"ICM00004082","1996","64.296","-15.227","7.3","HORNAFJORDUR, IC","        32","S","         0","S","         0","S","   18.6","S,0909, ","      7.79","S"
"ICM00004082","1997","64.296","-15.227","7.3","HORNAFJORDUR, IC","        17","S","         0","S","         0","S","   18.7","S,0813, ","      7.84","S"
"ICM00004082","1999","64.296","-15.227","7.3","HORNAFJORDUR, IC","        24","S","         2","S","         0","S","   23.8","S,0726, ","      7.44","S"
"ICM00004082","2001","64.296","-15.227","7.3","HORNAFJORDUR, IC","        19","S","         0","S","         0","S","   16.8","S,0603, ","      8.12","S"
"ICM00004082","2002","64.296","-15.227","7.3","HORNAFJORDUR, IC","        25","S","         0","S","         0","S","   20.3","S,0608, ","      8.81","S"
"ICM00004082","2003","64.296","-15.227","7.3","HORNAFJORDUR, IC","        11","S","         1","S","         0","S","   22.1","S,0718, ","      8.79","S"
"ICM00004082","2004","64.296","-15.227","7.3","HORNAFJORDUR, IC","        22","S","         2","S","         0","S","   22.9","S,0809, ","      8.67","S"
"ICM00004082","2006","64.296","-15.227","7.3","HORNAFJORDUR, IC","         8","S","         0","S","         0","S","   19.6","S,0806, ","      8.63","S"
"ICM00004082","2008","64.296","-15.227","7.3","HORNAFJORDUR, IC","        14","S","         2","S","         0","S","   22.8","S,0730, ","      8.08","S"
