"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00137792","1945","56.52","13.34","35.0","KNARED, SW","     25.0","","      25.0","E","","","         3","E","       151","E","        25","E","        67","E","         0","E","  -20.0","E,0131, ","","","   31.0","E,0717,+","-1.0","E,0906","-2.5","E,0929","-4.5","E,0930","-7.0","E,1127","-11.5","E,1212","-1.5","E,0526","-2.5","E,0508","-7.5","E,0416","-7.5","E,0416","-9.0","E,0308","","","","","      7.13","E","     12.37","E","      1.89","E"
"SWE00137792","1946","56.52","13.34","35.0","KNARED, SW","     17.0","","      17.0","E","","","         5","E","       157","E","        35","E","        61","E","         0","E","  -23.5","E,0227, ","","","   31.0","E,0725,+","-1.0","E,0930","-6.0","E,1003","-6.0","E,1003","-9.0","E,1023","-9.0","E,1023","0.0","E,0518","-4.0","E,0512","-5.0","E,0509","-21.0","E,0316","-21.0","E,0316","    4192.4","4","    4192.4","E","      6.52","E","     11.78","E","      1.27","E"
"SWE00137792","1947","56.52","13.34","35.0","KNARED, SW","     51.8","","      51.8","E","","","        20","E","       174","E","        66","E","       103","E","         3","E","  -29.5","E,0310, ","","","   36.5","E,0630, ","-0.5","E,0829","-3.0","E,1002","-6.0","E,1003","-8.0","E,1019","-13.5","E,1118","-3.5","E,0523","-3.5","E,0523","-6.0","E,0504","-14.0","E,0318","-14.0","E,0318","    4626.4","4","    4626.4","E","      6.04","E","     12.10","E","     -0.04","E"
"SWE00137792","1948","56.52","13.34","35.0","KNARED, SW","     24.2","","      24.2","E","","","         5","E","       136","E","        31","E","        79","E","         5","E","  -22.0","E,0111,+","","","   34.0","E,0802,+","0.0","E,0829","-3.5","E,0923","-4.5","E,1009","-7.0","E,1107","-11.0","E,1108","-0.5","E,0524","-4.0","E,0521","-5.0","E,0330","-9.5","E,0302","-9.5","E,0302","    4069.2","2","    4069.2","E","      7.21","E","     12.55","E","      1.87","E"
"SWE00137792","1949","56.52","13.34","35.0","KNARED, SW","     11.1","","      11.1","E","","","         0","E","       115","E","        11","E","        81","E","         0","E","  -17.0","E,0303, ","","","   30.0","E,0701, ","-3.5","E,1007","-3.5","E,1007","-6.0","E,1028","-11.0","E,1212","-11.0","E,1212","-1.0","E,0624","-3.5","E,0510","-7.0","E,0402","-7.0","E,0402","-15.0","E,0307","    3980.4","4","    3980.4","E","      8.06","E","     13.07","E","      3.05","E"
"SWE00137792","1950","56.52","13.34","35.0","KNARED, SW","      9.7","","       9.7","E","","","         2","E","       151","E","        29","E","        80","E","         0","E","  -19.0","E,1228,+","","","   31.5","E,0608, ","0.0","E,0925","-3.0","E,1019","-7.5","E,1022","-7.5","E,1022","-11.0","E,1119","-2.0","E,0612","-4.0","E,0516","-5.0","E,0407","-7.0","E,0315","-15.5","E,0314","    3813.5","5","    3813.5","E","      6.98","E","     12.14","E","      1.83","E"
"SWE00137792","1951","56.52","13.34","35.0","KNARED, SW","     19.8","","      19.8","E","","","         0","E","       158","E","        19","E","        62","E","         0","E","  -16.5","E,0122, ","","","   29.0","E,0830, ","-2.0","E,0920","-3.0","E,0921","-5.5","E,1009","-7.5","E,1024","-9.0","E,1211","0.0","E,0602","-2.5","E,0518","-5.0","E,0512","-7.0","E,0422","-14.0","E,0330","    4358.2","2","    4358.2","E","      7.21","E","     12.19","E","      2.24","E"
"SWE00137792","1952","56.52","13.34","35.0","KNARED, SW","      9.7","","       9.7","E","","","         2","E","       159","E","        22","E","        45","E","         0","E","  -19.0","E,1205, ","","","   32.0","E,0707,+","-0.5","E,0910","-4.0","E,1011","-6.0","E,1104","-10.5","E,1128","-10.5","E,1128","-2.0","E,0527","-4.0","E,0521","-4.5","E,0520","-7.5","E,0331","-13.5","E,0329","    4002.0","0","    4002.0","E","      6.10","E","     10.78","E","      1.42","E"
"SWE00137792","1953","56.52","13.34","35.0","KNARED, SW","     45.7","","      45.7","E","","","         3","E","       126","E","        25","E","        59","E","         1","E","  -20.5","E,0209, ","","","   34.0","E,0630, ","-0.8","E,0914","-2.5","E,1009","-6.0","E,1116","-9.0","E,1229","-9.0","E,1229","-0.5","E,0515","-2.5","E,0510","-4.5","E,0508","-7.5","E,0420","-10.0","E,0210","    4263.4","4","    4263.4","E","      8.05","E","     12.92","E","      3.18","E"
"SWE00137792","1954","56.52","13.34","35.0","KNARED, SW","     14.1","","      14.1","E","","","         2","E","       146","E","        50","E","        47","E","         0","E","  -19.0","E,0222,+","","","   30.0","E,0620,+","-0.8","E,0920","-3.0","E,1002","-5.0","E,1003","-8.0","E,1116","-10.5","E,1225","-2.0","E,0513","-4.5","E,0428","-4.5","E,0428","-9.0","E,0315","-9.0","E,0315","    4064.9","9","    4064.9","E","      6.61","E","     11.13","E","      2.09","E"
"SWE00137792","1955","56.52","13.34","35.0","KNARED, SW","     46.7","","      46.7","E","","","        22","E","       169","E","        43","E","        76","E","         2","E","  -28.0","E,0225,+","","","   33.5","E,0713, ","-0.6","E,0928","-3.5","E,1018","-5.6","E,1019","-7.0","E,1031","-9.0","E,1125","0.0","E,0620","-3.5","E,0610","-7.0","E,0427","-7.0","E,0427","-9.5","E,0402","    4704.0","0","    4704.0","E","      5.75","E","     11.30","E","      0.21","E"
