"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00096600","1899","33.816667","-84.483333","246.9","OAKDALE, GA US","","","","","","","         1"," ","","","",""
"USC00096600","1900","33.816667","-84.483333","246.9","OAKDALE, GA US","        91","6","        82","6","        13","6","         1"," ","  52.6"," ,6,0915, ","   1374.0"," ,6"
"USC00096600","1902","33.816667","-84.483333","246.9","OAKDALE, GA US","        85","6","        72","6","         6","6","         2"," ","  52.3"," ,6,0228, ","   1079.8"," ,6"
"USC00096600","1903","33.816667","-84.483333","246.9","OAKDALE, GA US","","","","","","","         8"," ","","","",""
"USC00096600","1904","33.816667","-84.483333","246.9","OAKDALE, GA US","","","","","","","         2"," ","","","",""
"USC00096600","1905","33.816667","-84.483333","246.9","OAKDALE, GA US","","","","","","","         2"," ","","","",""
"USC00096600","1906","33.816667","-84.483333","246.9","OAKDALE, GA US","        96","6","        82","6","        18","6","         1"," ","  98.3"," ,6,0814, ","   1527.1"," ,6"
"USC00096600","1907","33.816667","-84.483333","246.9","OAKDALE, GA US","","","","","","","         6"," ","","","",""
"USC00096600","1908","33.816667","-84.483333","246.9","OAKDALE, GA US","        73","6","        66","6","        14","6","         2"," ","  81.3"," ,6,0425, ","   1190.6"," ,6"
"USC00096600","1909","33.816667","-84.483333","246.9","OAKDALE, GA US","","","","","","","         4"," ","","","",""
